Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 06:16:19 PM    Departure (PHX) @ Sunday 03:16:19 PM MST,,,FlightAware ADS-B (KIWA)
Sun 06:16:19 PM,33.4310,-111.9927, 90,152,175,"1,775"
Sun 06:16:35 PM,33.4313,-111.9798, 89,154,177,"2,425"
Sun 06:16:51 PM,33.4316,-111.9659, 88,172,198,"2,750"
Sun 06:17:07 PM,33.4318,-111.9482, 90,197,227,"3,125"
Sun 06:17:23 PM,33.4320,-111.9303, 88,212,244,"3,700"
Sun 06:17:44 PM,33.4329,-111.9059, 87,224,258,"4,500"
Sun 06:18:02 PM,33.4334,-111.8824, 97,234,269,"5,325"
Sun 06:18:18 PM,33.4262,-111.8648, 136,237,273,"6,050"
Sun 06:18:35 PM,33.4095,-111.8544, 170,245,282,"6,800"
Sun 06:18:52 PM,33.3891,-111.8584, 206,246,283,"7,750"
Sun 06:19:15 PM,33.3680,-111.8738, 214,249,287,"8,775"
Sun 06:19:48 PM,33.3362,-111.8994, 212,256,295,"10,250"
Sun 06:20:06 PM,33.3187,-111.9154, 229,258,297,"10,950"
Sun 06:20:26 PM,33.3068,-111.9388, 241,262,302,"11,800"
Sun 06:20:48 PM,33.2928,-111.9709, 246,289,333,"12,225"
Sun 06:21:05 PM,33.2891,-111.9953, 274,312,359,"12,300"
Sun 06:21:25 PM,33.2964,-112.0296, 288,327,376,"12,750"
Sun 06:21:55 PM,33.3110,-112.0807, 288,329,379,"13,950"
Sun 06:22:25 PM,33.3255,-112.1338, 288,333,383,"15,125"
Sun 06:22:55 PM,33.3400,-112.1873, 288,336,387,"16,200"
Sun 06:23:25 PM,33.3544,-112.2411, 288,339,390,"17,275"
Sun 06:23:55 PM,33.3685,-112.2935, 288,340,391,"18,325"
Sun 06:24:25 PM,33.3831,-112.3483, 288,343,395,"19,300"
Sun 06:25:03 PM,33.4016,-112.4178, 288,354,407,"20,250"
Sun 06:25:33 PM,33.4163,-112.4731, 288,360,414,"21,025"
Sun 06:26:03 PM,33.4320,-112.5322, 288,370,426,"21,550"
Sun 06:26:24 PM,33.4422,-112.5711, 286,373,429,"22,075"
Sun 06:26:59 PM,33.4508,-112.6422, 271,374,430,"22,900"
Sun 06:27:29 PM,33.4516,-112.7041, 271,380,437,"23,500"
Sun 06:27:57 PM,33.4527,-112.7676, 274,386,444,"24,125"
Sun 06:28:24 PM,33.4615,-112.8227, 288,396,456,"24,525"
Sun 06:29:04 PM,33.4890,-112.9034, 293,400,460,"25,350"
Sun 06:29:34 PM,33.5109,-112.9656, 293,402,463,"26,025"
Sun 06:30:04 PM,33.5322,-113.0267, 293,399,459,"26,875"
Sun 06:30:34 PM,33.5541,-113.0894, 293,401,461,"27,500"
Sun 06:31:04 PM,33.5753,-113.1503, 293,404,465,"28,100"
Sun 06:31:34 PM,33.5970,-113.2128, 293,406,467,"28,750"
Sun 06:32:04 PM,33.6189,-113.2760, 293,408,470,"29,375"
Sun 06:32:34 PM,33.6399,-113.3368, 292,411,473,"29,925"
Sun 06:33:04 PM,33.6619,-113.4004, 292,409,471,"30,000"
Sun 06:33:34 PM,33.6844,-113.4658, 292,407,468,"30,000"
Sun 06:34:04 PM,33.7060,-113.5286, 292,421,484,"30,000"
Sun 06:34:34 PM,33.7278,-113.5922, 292,424,488,"30,000"
Sun 06:35:05 PM,33.7507,-113.6591, 292,424,488,"30,000"
Sun 06:35:35 PM,33.7732,-113.7248, 292,427,491,"30,000"
Sun 06:36:06 PM,33.7956,-113.7906, 292,427,491,"30,000"
Sun 06:36:36 PM,33.8186,-113.8582, 292,427,491,"30,000"
Sun 06:37:06 PM,33.8413,-113.9249, 292,428,493,"30,000"
Sun 06:37:36 PM,33.8636,-113.9905, 292,428,493,"30,000"
Sun 06:38:07 PM,33.8865,-114.0584, 292,428,493,"30,000"
Sun 06:38:37 PM,33.9059,-114.1254, 286,425,489,"30,000"
Sun 06:39:14 PM,33.9217,-114.2103, 282,426,490,"30,000"
Sun 06:39:46 PM,33.9342,-114.2839, 282,426,490,"30,000"
Sun 06:40:19 PM,33.9471,-114.3604, 281,424,488,"30,000"
Sun 06:40:50 PM,33.9592,-114.4327, 281,422,486,"30,000"
Sun 06:41:20 PM,33.9703,-114.5017, 279,420,483,"30,000"
Sun 06:41:50 PM,33.9776,-114.5709, 276,419,482,"30,000"
Sun 06:42:34 PM,33.9858,-114.6746, 276,416,479,"30,000"
Sun 06:43:04 PM,33.9914,-114.7449, 275,415,478,"30,000"
Sun 06:43:35 PM,33.9968,-114.8139, 275,415,478,"30,000"
Sun 06:44:05 PM,34.0022,-114.8833, 275,416,479,"30,000"
Sun 06:44:35 PM,34.0076,-114.9523, 275,415,478,"30,000"
Sun 06:45:06 PM,34.0129,-115.0214, 275,413,475,"30,000"
Sun 06:45:36 PM,34.0181,-115.0887, 275,413,475,"30,000"
Sun 06:46:06 PM,34.0234,-115.1583, 275,414,476,"30,000"
Sun 06:46:36 PM,34.0286,-115.2280, 275,413,475,"30,000"
Sun 06:47:06 PM,34.0337,-115.2960, 275,416,479,"30,000"
Sun 06:47:36 PM,34.0389,-115.3660, 275,420,483,"30,000"
Sun 06:48:06 PM,34.0440,-115.4353, 275,420,483,"30,000"
Sun 06:48:36 PM,34.0491,-115.5058, 275,423,487,"30,000"
Sun 06:49:07 PM,34.0544,-115.5778, 275,420,483,"30,000"
Sun 06:49:30 PM,34.0580,-115.6280, 275,419,482,"30,000"
Sun 06:50:00 PM,34.0632,-115.7005, 276,418,481,"30,000"
Sun 06:50:30 PM,34.0681,-115.7704, 276,416,479,"30,000"
Sun 06:51:00 PM,34.0729,-115.8393, 276,416,479,"30,000"
Sun 06:51:31 PM,34.0778,-115.9093, 276,414,476,"30,000"
Sun 06:52:01 PM,34.0827,-115.9796, 276,412,474,"30,000"
Sun 06:52:31 PM,34.0874,-116.0490, 276,420,483,"30,000"
Sun 06:53:01 PM,34.0923,-116.1198, 276,429,494,"30,000"
Sun 06:53:45 PM,34.0994,-116.2272, 274,427,491,"30,000"
Sun 06:54:13 PM,34.0995,-116.2918, 267,424,488,"30,000"
Sun 06:54:52 PM,34.0915,-116.3845, 263,425,489,"30,000"
Sun 06:55:22 PM,34.0849,-116.4523, 263,422,486,"30,000"
Sun 06:55:52 PM,34.0782,-116.5202, 263,418,481,"29,225"
Sun 06:56:22 PM,34.0712,-116.5903, 263,408,470,"28,150"
Sun 06:56:52 PM,34.0647,-116.6564, 263,388,447,"27,100"
Sun 06:57:22 PM,34.0583,-116.7194, 263,373,429,"26,100"
Sun 06:57:52 PM,34.0523,-116.7784, 263,368,423,"25,175"
Sun 06:58:22 PM,34.0458,-116.8433, 263,363,418,"24,125"
Sun 06:58:52 PM,34.0399,-116.9015, 263,355,409,"23,200"
Sun 06:59:22 PM,34.0341,-116.9588, 263,351,404,"22,300"
Sun 06:59:52 PM,34.0282,-117.0159, 263,350,403,"21,375"
Sun 07:00:33 PM,34.0193,-117.0945, 262,341,392,"20,100"
Sun 07:01:03 PM,34.0128,-117.1488, 262,341,392,"19,225"
Sun 07:01:33 PM,34.0055,-117.2090, 262,337,388,"18,250"
Sun 07:01:56 PM,34.0008,-117.2487, 262,336,387,"17,550"
Sun 07:02:20 PM,33.9953,-117.2944, 262,339,390,"16,850"
Sun 07:02:50 PM,33.9888,-117.3491, 262,332,382,"15,925"
Sun 07:03:20 PM,33.9826,-117.4017, 262,326,375,"15,075"
Sun 07:03:50 PM,33.9762,-117.4562, 262,315,362,"14,225"
Sun 07:04:06 PM,33.9749,-117.4870, 273,314,361,"13,925"
Sun 07:04:25 PM,33.9796,-117.5192, 285,316,364,"13,450"
Sun 07:04:55 PM,33.9908,-117.5666, 286,314,361,"12,750"
Sun 07:05:38 PM,34.0082,-117.6399, 286,313,360,"11,625"
Sun 07:06:01 PM,34.0175,-117.6798, 284,304,350,"11,025"
Sun 07:06:24 PM,34.0201,-117.7177, 266,290,334,"10,475"
Sun 07:06:47 PM,34.0169,-117.7522, 263,276,318,"9,975"
Sun 07:07:17 PM,34.0125,-117.7966, 263,261,300,"9,325"
Sun 07:07:47 PM,34.0084,-117.8392, 263,244,281,"8,700"
Sun 07:08:17 PM,34.0046,-117.8780, 263,231,266,"8,125"
Sun 07:08:47 PM,34.0009,-117.9151, 264,229,264,"7,600"
Sun 07:09:17 PM,33.9972,-117.9529, 263,227,261,"7,025"
Sun 07:09:47 PM,33.9935,-117.9912, 263,228,262,"6,475"
Sun 07:10:17 PM,33.9898,-118.0276, 263,220,253,"5,950"
Sun 07:10:47 PM,33.9862,-118.0639, 264,204,235,"5,425"
