Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 07:23:00 PM    Left Gate (PHX) @ Sunday 04:23:00 PM MST,,,Airline
,,,
Taxi Time: 10 minutes,,,
Sun 07:33:10 PM    Departure (PHX) @ Sunday 04:33:10 PM MST,,,FlightAware ADS-B (KIWA)
Sun 07:33:10 PM,33.4310,-112.0001, 90,160,184,"1,375"
Sun 07:33:26 PM,33.4312,-111.9849, 89,160,184,"2,125"
Sun 07:33:42 PM,33.4316,-111.9704, 88,182,209,"2,425"
Sun 07:33:58 PM,33.4323,-111.9522, 88,207,238,"2,725"
Sun 07:34:14 PM,33.4331,-111.9332, 87,218,251,"3,325"
Sun 07:34:37 PM,33.4340,-111.9073, 88,219,252,"4,625"
Sun 07:34:54 PM,33.4340,-111.8842, 97,226,260,"5,675"
Sun 07:35:11 PM,33.4253,-111.8645, 131,233,268,"6,700"
Sun 07:35:29 PM,33.4098,-111.8510, 147,231,266,"8,050"
Sun 07:35:46 PM,33.3919,-111.8451, 179,242,278,"8,975"
Sun 07:36:03 PM,33.3739,-111.8513, 210,252,290,"9,850"
Sun 07:36:21 PM,33.3605,-111.8681, 237,258,297,"10,825"
Sun 07:36:39 PM,33.3539,-111.8936, 268,260,299,"12,000"
Sun 07:37:18 PM,33.3581,-111.9493, 277,280,322,"13,950"
Sun 07:37:48 PM,33.3628,-112.0011, 277,336,387,"14,400"
Sun 07:38:04 PM,33.3666,-112.0310, 281,361,415,"14,600"
Sun 07:38:34 PM,33.3760,-112.0921, 280,375,432,"15,950"
Sun 07:39:04 PM,33.3854,-112.1548, 280,369,425,"17,550"
Sun 07:39:34 PM,33.3929,-112.2075, 280,330,380,"19,250"
Sun 07:40:04 PM,33.4008,-112.2631, 280,327,376,"21,050"
Sun 07:40:34 PM,33.4085,-112.3166, 280,331,381,"22,500"
Sun 07:41:04 PM,33.4168,-112.3727, 280,338,389,"23,800"
Sun 07:41:34 PM,33.4250,-112.4281, 280,351,404,"24,375"
Sun 07:42:04 PM,33.4336,-112.4862, 280,350,403,"24,875"
Sun 07:42:34 PM,33.4416,-112.5415, 280,353,406,"25,150"
Sun 07:42:59 PM,33.4487,-112.5925, 277,355,409,"26,100"
Sun 07:43:24 PM,33.4506,-112.6390, 271,350,403,"26,850"
Sun 07:43:55 PM,33.4514,-112.6998, 271,347,399,"27,500"
Sun 07:44:25 PM,33.4522,-112.7562, 271,344,396,"27,975"
Sun 07:44:54 PM,33.4588,-112.8124, 285,346,398,"28,000"
Sun 07:45:11 PM,33.4674,-112.8412, 293,347,399,"28,000"
Sun 07:45:42 PM,33.4868,-112.8972, 293,345,397,"28,000"
Sun 07:46:13 PM,33.5058,-112.9518, 293,353,406,"28,000"
Sun 07:46:44 PM,33.5256,-113.0083, 293,357,411,"28,000"
Sun 07:47:16 PM,33.5463,-113.0675, 293,356,410,"28,000"
Sun 07:47:46 PM,33.5647,-113.1202, 293,356,410,"28,000"
Sun 07:48:16 PM,33.5844,-113.1771, 293,357,411,"28,000"
Sun 07:48:47 PM,33.6026,-113.2294, 293,358,412,"28,000"
Sun 07:49:17 PM,33.6227,-113.2877, 292,357,411,"28,000"
Sun 07:49:47 PM,33.6414,-113.3415, 293,357,411,"28,000"
Sun 07:50:17 PM,33.6608,-113.3977, 292,357,411,"28,000"
Sun 07:50:47 PM,33.6794,-113.4515, 292,357,411,"28,000"
Sun 07:51:17 PM,33.6985,-113.5069, 292,358,412,"28,050"
Sun 07:51:47 PM,33.7174,-113.5622, 292,360,414,"28,925"
Sun 07:52:17 PM,33.7368,-113.6189, 292,367,422,"29,900"
Sun 07:52:47 PM,33.7560,-113.6753, 292,384,442,"30,350"
Sun 07:53:17 PM,33.7768,-113.7357, 292,396,456,"30,975"
Sun 07:53:47 PM,33.7970,-113.7944, 292,406,467,"31,550"
Sun 07:54:17 PM,33.8192,-113.8596, 292,417,480,"32,025"
Sun 07:54:47 PM,33.8422,-113.9272, 292,423,487,"32,000"
Sun 07:55:17 PM,33.8635,-113.9895, 292,422,486,"32,000"
Sun 07:55:48 PM,33.8860,-114.0563, 292,421,484,"32,000"
Sun 07:56:17 PM,33.9054,-114.1201, 286,419,482,"32,000"
Sun 07:56:46 PM,33.9173,-114.1856, 282,418,481,"32,000"
Sun 07:57:23 PM,33.9319,-114.2710, 282,417,480,"32,000"
Sun 07:57:56 PM,33.9449,-114.3483, 282,417,480,"32,000"
Sun 07:58:26 PM,33.9561,-114.4144, 281,418,481,"32,000"
Sun 07:58:56 PM,33.9678,-114.4839, 281,419,482,"32,000"
Sun 07:59:26 PM,33.9794,-114.5533, 281,420,483,"32,000"
Sun 07:59:56 PM,33.9904,-114.6195, 281,421,484,"31,750"
Sun 08:00:26 PM,34.0020,-114.6893, 281,422,486,"31,250"
Sun 08:00:56 PM,34.0134,-114.7578, 281,428,493,"30,800"
Sun 08:01:26 PM,34.0251,-114.8280, 281,431,496,"30,325"
Sun 08:01:56 PM,34.0367,-114.8982, 281,431,496,"30,025"
Sun 08:02:26 PM,34.0481,-114.9686, 281,429,494,"30,000"
Sun 08:02:56 PM,34.0597,-115.0397, 281,428,493,"30,000"
Sun 08:03:26 PM,34.0716,-115.1125, 281,428,493,"30,000"
Sun 08:03:56 PM,34.0829,-115.1821, 281,420,483,"30,000"
Sun 08:04:24 PM,34.0924,-115.2414, 281,419,482,"30,000"
Sun 08:04:55 PM,34.1044,-115.3168, 281,418,481,"30,000"
Sun 08:05:25 PM,34.1147,-115.3809, 281,417,480,"30,000"
Sun 08:06:03 PM,34.1283,-115.4653, 282,415,478,"30,000"
Sun 08:06:24 PM,34.1361,-115.5142, 282,415,478,"30,000"
Sun 08:06:54 PM,34.1472,-115.5850, 281,413,475,"30,000"
Sun 08:07:22 PM,34.1576,-115.6509, 280,413,475,"30,000"
Sun 08:07:55 PM,34.1602,-115.7228, 268,409,471,"30,000"
Sun 08:08:13 PM,34.1566,-115.7640, 264,409,471,"30,000"
Sun 08:08:43 PM,34.1503,-115.8305, 263,408,470,"30,000"
Sun 08:09:13 PM,34.1438,-115.8979, 263,407,468,"30,000"
Sun 08:09:43 PM,34.1369,-115.9680, 263,406,467,"30,000"
Sun 08:10:13 PM,34.1304,-116.0346, 263,406,467,"30,000"
Sun 08:10:43 PM,34.1238,-116.1007, 263,406,467,"30,000"
Sun 08:11:13 PM,34.1172,-116.1682, 263,406,467,"30,000"
Sun 08:11:43 PM,34.1106,-116.2348, 263,406,467,"30,000"
Sun 08:12:13 PM,34.1039,-116.3018, 263,406,467,"30,000"
Sun 08:12:39 PM,34.0980,-116.3581, 264,405,466,"30,000"
Sun 08:13:09 PM,34.0902,-116.4290, 264,403,464,"30,000"
Sun 08:13:39 PM,34.0834,-116.4924, 263,394,453,"29,600"
Sun 08:14:02 PM,34.0779,-116.5439, 263,387,445,"28,625"
Sun 08:14:22 PM,34.0735,-116.5856, 263,375,432,"28,325"
Sun 08:14:42 PM,34.0693,-116.6269, 265,375,432,"27,600"
Sun 08:15:03 PM,34.0654,-116.6713, 264,375,432,"26,775"
Sun 08:15:33 PM,34.0600,-116.7328, 264,375,432,"25,650"
Sun 08:15:51 PM,34.0564,-116.7728, 264,375,432,"24,925"
Sun 08:16:21 PM,34.0509,-116.8314, 263,374,430,"23,825"
Sun 08:16:51 PM,34.0441,-116.8973, 262,370,426,"22,700"
Sun 08:17:12 PM,34.0386,-116.9389, 261,369,425,"21,850"
Sun 08:17:42 PM,34.0310,-116.9973, 261,366,421,"20,750"
Sun 08:18:12 PM,34.0234,-117.0570, 262,362,417,"19,650"
Sun 08:18:42 PM,34.0166,-117.1173, 262,357,411,"18,600"
Sun 08:19:12 PM,34.0094,-117.1778, 262,348,400,"17,525"
Sun 08:19:44 PM,34.0024,-117.2356, 262,342,394,"16,325"
Sun 08:20:14 PM,33.9953,-117.2923, 261,333,383,"15,175"
Sun 08:20:44 PM,33.9886,-117.3452, 262,312,359,"14,300"
Sun 08:21:03 PM,33.9850,-117.3775, 264,294,338,"13,925"
Sun 08:21:33 PM,33.9804,-117.4235, 263,281,323,"13,475"
Sun 08:22:03 PM,33.9752,-117.4699, 264,277,319,"12,725"
Sun 08:22:24 PM,33.9757,-117.5033, 277,280,322,"12,225"
Sun 08:23:06 PM,33.9865,-117.5660, 282,279,321,"11,200"
Sun 08:23:31 PM,33.9932,-117.6041, 283,276,318,"10,600"
Sun 08:24:05 PM,34.0018,-117.6541, 282,263,303,"10,075"
Sun 08:24:22 PM,34.0054,-117.6790, 275,272,313,"9,975"
Sun 08:24:52 PM,34.0024,-117.7258, 263,273,314,"9,350"
Sun 08:25:22 PM,33.9983,-117.7690, 264,264,304,"8,800"
Sun 08:25:52 PM,33.9941,-117.8133, 263,269,310,"8,250"
Sun 08:26:22 PM,33.9897,-117.8589, 263,271,312,"7,650"
Sun 08:26:46 PM,33.9862,-117.8947, 265,265,305,"7,225"
Sun 08:27:16 PM,33.9821,-117.9374, 263,260,299,"6,650"
Sun 08:27:46 PM,33.9778,-117.9803, 263,254,292,"6,100"
Sun 08:28:16 PM,33.9737,-118.0219, 263,248,285,"5,575"
Sun 08:28:46 PM,33.9697,-118.0621, 264,246,283,"5,050"
Sun 08:29:16 PM,33.9658,-118.1024, 264,235,270,"4,500"
Sun 08:29:39 PM,33.9628,-118.1327, 263,227,261,"4,125"
Sun 08:30:09 PM,33.9590,-118.1703, 263,221,254,"3,500"
Sun 08:30:39 PM,33.9553,-118.2064, 263,211,243,"2,900"
Sun 08:31:09 PM,33.9521,-118.2382, 263,193,222,"2,350"
Sun 08:31:39 PM,33.9491,-118.2682, 263,168,193,"1,900"
Sun 08:32:09 PM,33.9464,-118.2946, 263,146,168,"1,450"
Sun 08:32:39 PM,33.9440,-118.3165, 263,132,152,"1,125"
,,,
Sun 08:32:45 PM,33.9436,-118.3210, 264,134,154,"1,050"
,,,
Sun 08:32:55 PM,33.9429,-118.3281, 264,132,152,925
Sun 08:33:11 PM,33.9418,-118.3392, 263,132,152,750
Sun 08:33:27 PM,33.9404,-118.3520, 263,131,151,550
Sun 08:33:43 PM,33.9394,-118.3628, 264,132,152,350
Sun 08:33:59 PM,33.9383,-118.3741, 263,129,148,175
Sun 08:34:15 PM,33.9370,-118.3862, 263,132,152,
,,,
Sun 08:34:49 PM    Arrival (LAX) @ Sunday 05:34:49 PM PDT,,,FlightAware
,,,
Taxi Time: 9 minutes,,,
Sun 08:44:00 PM    Gate Arrival (LAX) @ Sunday 05:44:00 PM PDT,,,Airline
