Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 08:46:59 PM    Departure (PHX) @ Sunday 05:46:59 PM MST,,,FlightAware ADS-B (KSDL)
Sun 08:46:59 PM,33.4312,-111.9934, 88,175,201,"1,500"
Sun 08:47:15 PM,33.4319,-111.9775, 87,176,203,"2,250"
Sun 08:47:31 PM,33.4326,-111.9608, 87,187,215,"2,750"
Sun 08:47:47 PM,33.4331,-111.9444, 89,199,229,"3,150"
Sun 08:48:03 PM,33.4334,-111.9271, 89,217,250,"3,425"
Sun 08:48:19 PM,33.4340,-111.9053, 88,240,276,"3,750"
Sun 08:48:36 PM,33.4320,-111.8809, 107,256,295,"4,150"
Sun 08:48:52 PM,33.4220,-111.8623, 137,263,303,"4,750"
Sun 08:49:08 PM,33.4064,-111.8496, 155,264,304,"5,450"
Sun 08:49:25 PM,33.3860,-111.8470, 186,268,308,"6,275"
Sun 08:49:44 PM,33.3651,-111.8585, 219,279,321,"7,025"
Sun 08:50:04 PM,33.3516,-111.8854, 257,289,333,"7,875"
Sun 08:50:25 PM,33.3537,-111.9213, 283,297,342,"8,800"
Sun 08:50:51 PM,33.3589,-111.9604, 277,293,337,"9,975"
Sun 08:51:21 PM,33.3638,-112.0095, 277,296,341,"11,300"
Sun 08:51:51 PM,33.3712,-112.0612, 280,326,375,"11,875"
Sun 08:52:21 PM,33.3791,-112.1149, 280,354,407,"12,375"
Sun 08:52:51 PM,33.3879,-112.1752, 280,374,430,"12,975"
Sun 08:53:21 PM,33.3972,-112.2380, 280,376,433,"14,200"
Sun 08:53:51 PM,33.4060,-112.2991, 280,378,435,"15,350"
Sun 08:54:08 PM,33.4108,-112.3317, 281,382,440,"15,750"
Sun 08:54:38 PM,33.4203,-112.3971, 280,385,443,"16,900"
Sun 08:55:08 PM,33.4294,-112.4597, 280,390,449,"17,800"
Sun 08:55:38 PM,33.4386,-112.5227, 280,393,452,"18,725"
Sun 08:56:06 PM,33.4475,-112.5857, 278,397,457,"19,600"
Sun 08:56:23 PM,33.4500,-112.6199, 272,395,455,"20,050"
Sun 08:56:59 PM,33.4511,-112.7018, 271,400,460,"21,050"
Sun 08:57:29 PM,33.4521,-112.7648, 271,401,461,"21,850"
Sun 08:57:48 PM,33.4570,-112.8072, 285,407,468,"22,250"
Sun 08:58:26 PM,33.4837,-112.8879, 293,412,474,"23,200"
Sun 08:58:56 PM,33.5066,-112.9535, 293,417,480,"23,750"
Sun 08:59:26 PM,33.5286,-113.0167, 293,423,487,"24,275"
Sun 08:59:56 PM,33.5516,-113.0827, 293,429,494,"24,775"
Sun 09:00:26 PM,33.5741,-113.1474, 293,433,498,"25,325"
Sun 09:00:56 PM,33.5964,-113.2115, 293,431,496,"26,025"
Sun 09:01:26 PM,33.6206,-113.2813, 293,429,494,"26,800"
Sun 09:01:56 PM,33.6424,-113.3446, 292,414,476,"27,800"
Sun 09:02:26 PM,33.6641,-113.4071, 293,406,467,"28,000"
Sun 09:02:56 PM,33.6870,-113.4734, 292,409,471,"28,000"
Sun 09:03:27 PM,33.7079,-113.5343, 292,410,472,"28,000"
Sun 09:03:57 PM,33.7303,-113.5996, 292,411,473,"28,000"
