Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 09:49:39 AM    Departure (PHX) @ Sunday 06:49:39 AM MST,,,FlightAware ADS-B (KFFZ)
Sun 09:49:39 AM,33.4310,-112.0198, 269,139,160,"1,800"
Sun 09:49:55 AM,33.4307,-112.0320, 267,134,154,"2,575"
Sun 09:50:11 AM,33.4301,-112.0448, 267,149,171,"3,125"
Sun 09:50:27 AM,33.4282,-112.0573, 254,167,192,"3,525"
Sun 09:50:43 AM,33.4239,-112.0731, 252,186,214,"3,975"
Sun 09:50:59 AM,33.4198,-112.0886, 253,193,222,"4,725"
Sun 09:51:21 AM,33.4130,-112.1144, 252,230,265,"5,250"
Sun 09:51:51 AM,33.4024,-112.1534, 252,259,298,"6,250"
Sun 09:52:13 AM,33.3946,-112.1830, 256,272,313,"7,150"
Sun 09:52:30 AM,33.3926,-112.2089, 273,281,323,"7,900"
Sun 09:52:59 AM,33.3991,-112.2564, 281,288,331,"9,450"
Sun 09:53:29 AM,33.4059,-112.3007, 280,285,328,"11,050"
Sun 09:53:59 AM,33.4130,-112.3492, 280,301,346,"12,075"
Sun 09:54:29 AM,33.4203,-112.3975, 280,310,357,"13,100"
Sun 09:54:59 AM,33.4280,-112.4496, 280,316,364,"14,275"
Sun 09:55:29 AM,33.4355,-112.5008, 280,320,368,"15,450"
Sun 09:55:59 AM,33.4432,-112.5534, 280,327,376,"16,500"
Sun 09:56:24 AM,33.4489,-112.5970, 275,320,368,"17,700"
Sun 09:57:01 AM,33.4511,-112.6641, 271,307,353,"19,275"
Sun 09:57:31 AM,33.4518,-112.7133, 271,292,336,"20,775"
Sun 09:58:02 AM,33.4524,-112.7627, 271,288,331,"22,025"
Sun 09:58:19 AM,33.4538,-112.7891, 277,299,344,"22,475"
Sun 09:58:36 AM,33.4597,-112.8194, 288,320,368,"22,950"
Sun 09:59:14 AM,33.4813,-112.8819, 293,333,383,"23,975"
Sun 09:59:45 AM,33.5005,-112.9364, 293,343,395,"24,675"
Sun 10:00:15 AM,33.5188,-112.9887, 293,350,403,"25,300"
Sun 10:00:45 AM,33.5377,-113.0425, 293,352,405,"26,100"
Sun 10:01:15 AM,33.5572,-113.0984, 293,353,406,"26,925"
Sun 10:01:45 AM,33.5759,-113.1523, 293,356,410,"27,700"
Sun 10:02:15 AM,33.5946,-113.2061, 293,358,412,"28,475"
Sun 10:02:45 AM,33.6129,-113.2589, 293,364,419,"29,100"
Sun 10:03:15 AM,33.6330,-113.3169, 292,367,422,"29,850"
Sun 10:03:46 AM,33.6532,-113.3755, 293,366,421,"30,000"
Sun 10:04:21 AM,33.6763,-113.4427, 292,367,422,"30,000"
Sun 10:04:53 AM,33.6966,-113.5014, 292,368,423,"30,000"
Sun 10:05:23 AM,33.7158,-113.5574, 292,366,421,"30,000"
Sun 10:05:53 AM,33.7352,-113.6139, 292,367,422,"30,000"
Sun 10:06:23 AM,33.7547,-113.6708, 292,366,421,"30,000"
Sun 10:06:53 AM,33.7739,-113.7270, 292,364,419,"30,000"
Sun 10:07:23 AM,33.7929,-113.7825, 292,363,418,"30,000"
Sun 10:07:53 AM,33.8119,-113.8387, 292,362,417,"30,000"
Sun 10:08:23 AM,33.8308,-113.8940, 292,363,418,"30,000"
Sun 10:08:53 AM,33.8500,-113.9508, 292,361,415,"30,000"
Sun 10:09:23 AM,33.8686,-114.0054, 292,363,418,"30,000"
Sun 10:09:53 AM,33.8876,-114.0617, 292,366,421,"30,000"
Sun 10:10:24 AM,33.9051,-114.1194, 286,355,409,"30,000"
Sun 10:10:54 AM,33.9157,-114.1754, 282,347,399,"30,000"
Sun 10:11:32 AM,33.9282,-114.2490, 282,349,402,"30,000"
Sun 10:12:02 AM,33.9382,-114.3079, 281,348,400,"30,000"
Sun 10:12:32 AM,33.9476,-114.3635, 282,346,398,"30,000"
Sun 10:13:03 AM,33.9571,-114.4200, 281,346,398,"30,000"
Sun 10:13:35 AM,33.9675,-114.4821, 281,346,398,"30,000"
Sun 10:14:06 AM,33.9770,-114.5389, 281,344,396,"30,000"
Sun 10:14:36 AM,33.9864,-114.5947, 281,344,396,"30,000"
Sun 10:15:06 AM,33.9958,-114.6516, 281,343,395,"30,000"
Sun 10:15:36 AM,34.0050,-114.7071, 281,343,395,"30,000"
Sun 10:16:06 AM,34.0143,-114.7634, 281,343,395,"30,000"
Sun 10:16:36 AM,34.0235,-114.8190, 281,340,391,"30,000"
Sun 10:17:06 AM,34.0327,-114.8752, 281,341,392,"30,000"
Sun 10:17:36 AM,34.0416,-114.9297, 281,341,392,"30,000"
Sun 10:18:08 AM,34.0520,-114.9933, 281,341,392,"30,000"
Sun 10:18:38 AM,34.0606,-115.0460, 281,341,392,"30,000"
Sun 10:19:08 AM,34.0700,-115.1034, 281,344,396,"30,000"
Sun 10:19:39 AM,34.0794,-115.1613, 281,347,399,"30,000"
Sun 10:20:09 AM,34.0884,-115.2166, 281,346,398,"30,000"
Sun 10:20:39 AM,34.0980,-115.2763, 281,345,397,"30,000"
Sun 10:21:09 AM,34.1071,-115.3330, 281,346,398,"30,000"
Sun 10:21:39 AM,34.1161,-115.3887, 281,345,397,"30,000"
Sun 10:22:10 AM,34.1253,-115.4465, 281,346,398,"30,000"
Sun 10:22:41 AM,34.1346,-115.5048, 281,345,397,"30,000"
Sun 10:23:11 AM,34.1439,-115.5631, 281,344,396,"30,000"
Sun 10:23:54 AM,34.1566,-115.6437, 281,344,396,"30,000"
Sun 10:24:20 AM,34.1617,-115.6889, 272,331,381,"30,000"
Sun 10:25:04 AM,34.1560,-115.7715, 263,320,368,"30,000"
Sun 10:25:34 AM,34.1510,-115.8236, 263,320,368,"30,000"
Sun 10:26:04 AM,34.1457,-115.8775, 263,320,368,"30,000"
Sun 10:26:35 AM,34.1406,-115.9302, 263,319,367,"30,000"
Sun 10:27:05 AM,34.1353,-115.9844, 263,321,369,"30,000"
Sun 10:27:35 AM,34.1301,-116.0371, 264,322,371,"30,000"
Sun 10:28:05 AM,34.1249,-116.0909, 263,324,373,"30,000"
Sun 10:28:36 AM,34.1193,-116.1466, 263,326,375,"30,000"
Sun 10:29:06 AM,34.1140,-116.2008, 263,328,377,"30,000"
Sun 10:29:36 AM,34.1084,-116.2571, 263,331,381,"30,000"
Sun 10:30:06 AM,34.1029,-116.3118, 263,333,383,"30,000"
Sun 10:30:26 AM,34.0991,-116.3475, 263,333,383,"30,000"
Sun 10:30:56 AM,34.0930,-116.4044, 263,336,387,"30,000"
Sun 10:31:26 AM,34.0874,-116.4568, 263,336,387,"30,000"
Sun 10:31:56 AM,34.0811,-116.5150, 263,336,387,"30,000"
Sun 10:32:25 AM,34.0758,-116.5641, 264,337,388,"30,000"
Sun 10:32:55 AM,34.0696,-116.6245, 264,342,394,"30,000"
Sun 10:33:25 AM,34.0644,-116.6826, 264,345,397,"29,975"
Sun 10:33:55 AM,34.0590,-116.7403, 264,361,415,"29,175"
Sun 10:34:23 AM,34.0538,-116.7963, 264,362,417,"28,300"
Sun 10:34:42 AM,34.0503,-116.8334, 264,365,420,"27,700"
Sun 10:35:12 AM,34.0445,-116.8951, 264,361,415,"26,700"
Sun 10:35:42 AM,34.0378,-116.9527, 263,365,420,"25,750"
Sun 10:36:02 AM,34.0327,-116.9953, 262,369,425,"25,125"
Sun 10:36:28 AM,34.0265,-117.0472, 262,367,422,"24,275"
Sun 10:37:07 AM,34.0168,-117.1270, 262,364,419,"22,975"
Sun 10:37:37 AM,34.0096,-117.1869, 262,358,412,"22,000"
Sun 10:38:07 AM,34.0035,-117.2435, 264,360,414,"21,125"
Sun 10:38:37 AM,33.9989,-117.3069, 265,362,417,"20,125"
Sun 10:39:07 AM,33.9950,-117.3636, 265,361,415,"19,175"
Sun 10:39:37 AM,33.9909,-117.4241, 265,357,411,"18,350"
Sun 10:40:07 AM,33.9869,-117.4835, 265,351,404,"17,400"
Sun 10:40:37 AM,33.9828,-117.5423, 265,342,394,"16,500"
Sun 10:41:07 AM,33.9789,-117.5986, 265,329,379,"15,600"
