Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 10:51:51 AM    Departure (PHX) @ Sunday 07:51:51 AM MST,,,FlightAware ADS-B (KPHX)
Sun 10:51:51 AM,33.4311,-112.0016, 89,167,192,"1,100"
Sun 10:52:07 AM,33.4311,-111.9877, 90,164,189,"1,800"
Sun 10:52:23 AM,33.4315,-111.9723, 87,165,190,"2,525"
Sun 10:52:39 AM,33.4321,-111.9565, 87,188,216,"2,850"
Sun 10:52:55 AM,33.4327,-111.9400, 88,212,244,"3,125"
Sun 10:53:23 AM,33.4340,-111.9064, 88,217,250,"4,400"
Sun 10:53:41 AM,33.4340,-111.8834, 100,223,257,"5,175"
Sun 10:53:59 AM,33.4252,-111.8645, 134,228,262,"5,925"
Sun 10:54:15 AM,33.4103,-111.8517, 148,234,269,"6,650"
Sun 10:54:31 AM,33.3936,-111.8456, 175,246,283,"7,175"
Sun 10:54:47 AM,33.3766,-111.8506, 205,257,296,"7,800"
Sun 10:55:05 AM,33.3591,-111.8696, 237,283,326,"8,175"
Sun 10:55:21 AM,33.3533,-111.8932, 266,288,331,"8,725"
Sun 10:55:47 AM,33.3565,-111.9330, 276,299,344,"9,750"
Sun 10:56:17 AM,33.3612,-111.9845, 276,326,375,"10,475"
Sun 10:56:35 AM,33.3642,-112.0172, 278,348,400,"10,725"
Sun 10:57:05 AM,33.3726,-112.0737, 280,343,395,"12,200"
Sun 10:57:35 AM,33.3812,-112.1317, 280,343,395,"13,675"
Sun 10:58:05 AM,33.3898,-112.1891, 280,373,429,"14,275"
Sun 10:58:35 AM,33.3987,-112.2487, 280,376,433,"15,525"
Sun 10:58:54 AM,33.4045,-112.2881, 280,374,430,"16,425"
Sun 10:59:14 AM,33.4106,-112.3294, 281,376,433,"17,250"
Sun 10:59:44 AM,33.4202,-112.3950, 280,385,443,"18,400"
Sun 11:00:14 AM,33.4293,-112.4578, 280,392,451,"19,425"
Sun 11:00:44 AM,33.4384,-112.5197, 280,396,456,"20,475"
Sun 11:01:14 AM,33.4479,-112.5867, 278,401,461,"21,475"
Sun 11:01:37 AM,33.4505,-112.6364, 271,407,468,"22,125"
Sun 11:02:07 AM,33.4515,-112.7049, 271,412,474,"23,075"
Sun 11:02:33 AM,33.4528,-112.7659, 274,416,479,"23,825"
