Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 11:04:02 AM    Departure (PHX) @ Sunday 08:04:02 AM MST,,,FlightAware ADS-B (KPHX)
Sun 11:04:02 AM,33.4310,-112.0302, 270,177,204,"2,225"
Sun 11:04:18 AM,33.4308,-112.0452, 267,189,217,"3,125"
Sun 11:04:34 AM,33.4281,-112.0619, 254,221,254,"3,525"
Sun 11:04:50 AM,33.4225,-112.0829, 252,236,272,"4,300"
Sun 11:05:16 AM,33.4134,-112.1150, 251,248,285,"5,950"
Sun 11:05:46 AM,33.4020,-112.1563, 253,265,305,"7,700"
Sun 11:06:08 AM,33.3944,-112.1865, 256,269,310,"9,050"
Sun 11:06:29 AM,33.3946,-112.2205, 281,280,322,"10,450"
Sun 11:06:49 AM,33.3992,-112.2497, 280,301,346,"11,175"
Sun 11:07:19 AM,33.4068,-112.3028, 281,339,390,"12,000"
Sun 11:07:49 AM,33.4151,-112.3594, 280,352,405,"13,425"
Sun 11:08:19 AM,33.4233,-112.4169, 280,362,417,"15,150"
Sun 11:08:49 AM,33.4324,-112.4776, 280,372,428,"16,875"
Sun 11:09:19 AM,33.4421,-112.5413, 281,369,425,"18,900"
Sun 11:09:48 AM,33.4508,-112.5924, 281,309,356,"20,525"
Sun 11:10:17 AM,33.4529,-112.6364, 270,269,310,"21,025"
Sun 11:10:47 AM,33.4521,-112.6816, 269,269,310,"21,075"
Sun 11:11:17 AM,33.4523,-112.7276, 271,268,308,"22,525"
Sun 11:11:47 AM,33.4526,-112.7696, 271,270,311,"24,000"
Sun 11:12:03 AM,33.4546,-112.7951, 279,285,328,"24,750"
Sun 11:12:26 AM,33.4640,-112.8327, 293,316,364,"25,375"
Sun 11:12:59 AM,33.4833,-112.8867, 293,324,373,"26,775"
Sun 11:13:29 AM,33.5006,-112.9361, 292,330,380,"27,900"
Sun 11:14:00 AM,33.5189,-112.9898, 292,362,417,"28,025"
Sun 11:14:31 AM,33.5392,-113.0474, 293,379,436,"28,000"
Sun 11:15:01 AM,33.5598,-113.1054, 293,369,425,"27,975"
Sun 11:15:31 AM,33.5791,-113.1598, 292,335,386,"28,000"
Sun 11:16:02 AM,33.5964,-113.2114, 292,327,376,"28,000"
Sun 11:16:32 AM,33.6135,-113.2615, 292,327,376,"28,000"
Sun 11:17:02 AM,33.6310,-113.3120, 293,325,374,"28,000"
Sun 11:17:34 AM,33.6496,-113.3657, 293,324,373,"28,000"
Sun 11:18:05 AM,33.6669,-113.4156, 293,324,373,"28,000"
Sun 11:18:38 AM,33.6859,-113.4706, 293,325,374,"28,000"
Sun 11:19:09 AM,33.7039,-113.5229, 292,327,376,"28,000"
Sun 11:19:39 AM,33.7210,-113.5728, 292,327,376,"28,000"
Sun 11:20:10 AM,33.7395,-113.6268, 292,330,380,"28,000"
Sun 11:20:41 AM,33.7567,-113.6770, 292,331,381,"28,000"
Sun 11:21:13 AM,33.7759,-113.7333, 292,332,382,"28,000"
Sun 11:21:43 AM,33.7937,-113.7853, 292,333,383,"28,000"
Sun 11:22:13 AM,33.8108,-113.8355, 292,332,382,"28,000"
Sun 11:22:43 AM,33.8289,-113.8884, 292,331,381,"28,000"
Sun 11:23:13 AM,33.8453,-113.9369, 292,328,377,"28,000"
Sun 11:23:43 AM,33.8627,-113.9888, 292,324,373,"28,000"
Sun 11:24:13 AM,33.8796,-114.0384, 292,323,372,"28,000"
Sun 11:24:43 AM,33.8959,-114.0863, 292,321,369,"28,000"
Sun 11:25:07 AM,33.9075,-114.1277, 284,303,349,"28,000"
Sun 11:25:40 AM,33.9167,-114.1814, 281,298,343,"28,000"
Sun 11:26:10 AM,33.9249,-114.2297, 281,300,345,"28,000"
Sun 11:26:40 AM,33.9332,-114.2792, 282,302,348,"28,000"
Sun 11:27:10 AM,33.9416,-114.3279, 282,301,346,"28,000"
Sun 11:27:40 AM,33.9500,-114.3778, 281,302,348,"28,000"
Sun 11:28:10 AM,33.9579,-114.4251, 281,304,350,"28,000"
Sun 11:28:40 AM,33.9663,-114.4751, 281,305,351,"28,000"
Sun 11:29:11 AM,33.9751,-114.5280, 281,304,350,"28,000"
Sun 11:29:41 AM,33.9833,-114.5784, 281,327,376,"28,025"
Sun 11:30:11 AM,33.9926,-114.6350, 282,357,411,"28,025"
Sun 11:30:42 AM,34.0032,-114.6961, 282,367,422,"28,000"
Sun 11:31:16 AM,34.0145,-114.7624, 281,367,422,"28,000"
Sun 11:31:46 AM,34.0244,-114.8229, 281,368,423,"28,000"
Sun 11:32:17 AM,34.0348,-114.8877, 281,370,426,"28,000"
Sun 11:32:50 AM,34.0459,-114.9563, 281,371,427,"28,000"
Sun 11:33:20 AM,34.0556,-115.0157, 281,371,427,"28,000"
Sun 11:33:50 AM,34.0653,-115.0751, 281,372,428,"28,000"
Sun 11:34:20 AM,34.0756,-115.1380, 281,373,429,"28,000"
Sun 11:34:50 AM,34.0849,-115.1953, 281,372,428,"28,000"
Sun 11:35:20 AM,34.0950,-115.2582, 281,372,428,"28,000"
Sun 11:35:50 AM,34.1049,-115.3194, 281,373,429,"28,000"
Sun 11:36:20 AM,34.1146,-115.3796, 281,373,429,"28,000"
Sun 11:36:51 AM,34.1253,-115.4462, 281,374,430,"28,000"
Sun 11:37:21 AM,34.1347,-115.5060, 281,376,433,"28,000"
Sun 11:37:51 AM,34.1442,-115.5662, 281,377,434,"28,000"
Sun 11:38:21 AM,34.1539,-115.6284, 281,379,436,"28,000"
Sun 11:38:42 AM,34.1602,-115.6740, 276,373,429,"28,000"
Sun 11:39:06 AM,34.1604,-115.7234, 265,362,417,"28,000"
Sun 11:39:41 AM,34.1539,-115.7918, 263,367,422,"28,000"
Sun 11:40:11 AM,34.1481,-115.8523, 264,370,426,"28,000"
Sun 11:40:41 AM,34.1422,-115.9138, 263,371,427,"28,000"
Sun 11:41:11 AM,34.1362,-115.9756, 263,372,428,"28,000"
Sun 11:41:41 AM,34.1299,-116.0388, 263,375,432,"28,000"
Sun 11:42:11 AM,34.1238,-116.1014, 263,377,434,"28,000"
Sun 11:42:41 AM,34.1177,-116.1639, 263,378,435,"28,000"
Sun 11:43:11 AM,34.1114,-116.2268, 263,377,434,"28,000"
Sun 11:43:43 AM,34.1049,-116.2924, 263,378,435,"28,000"
Sun 11:44:13 AM,34.0987,-116.3533, 263,378,435,"28,000"
Sun 11:44:48 AM,34.0906,-116.4281, 264,376,433,"28,000"
Sun 11:45:16 AM,34.0844,-116.4853, 264,376,433,"28,000"
Sun 11:45:46 AM,34.0772,-116.5511, 263,377,434,"28,000"
Sun 11:46:16 AM,34.0707,-116.6111, 263,378,435,"28,000"
Sun 11:46:53 AM,34.0637,-116.6904, 264,378,435,"28,000"
Sun 11:47:17 AM,34.0594,-116.7374, 264,377,434,"28,000"
Sun 11:47:47 AM,34.0534,-116.8018, 264,379,436,"28,000"
Sun 11:48:17 AM,34.0478,-116.8622, 265,368,423,"28,000"
Sun 11:48:37 AM,34.0437,-116.9044, 263,369,425,"28,000"
Sun 11:49:07 AM,34.0364,-116.9644, 261,379,436,"27,775"
Sun 11:49:37 AM,34.0282,-117.0284, 261,372,428,"26,525"
Sun 11:49:56 AM,34.0235,-117.0657, 262,366,421,"25,825"
Sun 11:50:26 AM,34.0167,-117.1261, 263,360,414,"24,600"
Sun 11:50:54 AM,34.0106,-117.1805, 262,355,409,"23,425"
Sun 11:51:23 AM,34.0036,-117.2390, 264,351,404,"22,300"
Sun 11:51:53 AM,33.9998,-117.2949, 265,347,399,"21,225"
Sun 11:52:23 AM,33.9958,-117.3522, 265,346,398,"20,125"
Sun 11:52:53 AM,33.9919,-117.4108, 265,343,395,"19,000"
Sun 11:53:23 AM,33.9880,-117.4666, 265,338,389,"17,925"
Sun 11:53:53 AM,33.9841,-117.5238, 266,331,381,"16,875"
Sun 11:54:23 AM,33.9804,-117.5774, 265,329,379,"15,850"
Sun 11:54:53 AM,33.9767,-117.6328, 265,329,379,"15,125"
Sun 11:55:23 AM,33.9732,-117.6851, 265,320,368,"14,800"
Sun 11:55:53 AM,33.9693,-117.7397, 265,323,372,"14,125"
Sun 11:56:23 AM,33.9645,-117.7931, 264,328,377,"14,125"
Sun 11:56:53 AM,33.9594,-117.8496, 264,328,377,"14,125"
Sun 11:57:23 AM,33.9548,-117.9032, 264,326,375,"14,125"
Sun 11:57:53 AM,33.9502,-117.9557, 264,320,368,"13,250"
Sun 11:58:20 AM,33.9459,-118.0030, 265,316,364,"12,375"
Sun 11:58:40 AM,33.9426,-118.0413, 265,314,361,"11,600"
Sun 11:59:03 AM,33.9401,-118.0804, 266,310,357,"10,825"
Sun 11:59:33 AM,33.9367,-118.1292, 265,291,335,"10,375"
