Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 11:01:21 AM    Departure (PHX) @ Sunday 08:01:21 AM MST,,,FlightAware ADS-B (KPHX)
Sun 11:01:21 AM,33.4310,-112.0174, 270,165,190,"1,300"
Sun 11:01:37 AM,33.4306,-112.0304, 267,166,191,"1,850"
Sun 11:01:53 AM,33.4296,-112.0458, 264,169,194,"2,575"
Sun 11:02:09 AM,33.4274,-112.0623, 258,193,222,"3,025"
Sun 11:02:25 AM,33.4231,-112.0800, 251,220,253,"3,375"
Sun 11:02:54 AM,33.4130,-112.1123, 251,214,246,"5,150"
Sun 11:03:15 AM,33.4064,-112.1366, 252,224,258,"6,300"
Sun 11:03:45 AM,33.3962,-112.1745, 252,239,275,"7,725"
Sun 11:04:06 AM,33.3917,-112.2022, 268,241,277,"8,125"
Sun 11:04:22 AM,33.3933,-112.2217, 281,251,289,"8,250"
Sun 11:04:46 AM,33.3990,-112.2547, 281,249,287,"9,275"
Sun 11:05:22 AM,33.4063,-112.3034, 280,251,289,"11,125"
Sun 11:05:52 AM,33.4123,-112.3434, 280,248,285,"12,800"
Sun 11:06:22 AM,33.4185,-112.3860, 280,279,321,"13,550"
Sun 11:06:52 AM,33.4260,-112.4360, 280,295,339,"14,750"
Sun 11:07:22 AM,33.4328,-112.4825, 280,303,349,"15,975"
Sun 11:07:52 AM,33.4403,-112.5339, 280,313,360,"17,150"
Sun 11:08:22 AM,33.4477,-112.5845, 280,309,356,"18,525"
Sun 11:08:40 AM,33.4502,-112.6158, 272,290,334,"19,700"
Sun 11:09:10 AM,33.4512,-112.6615, 271,272,313,"21,475"
Sun 11:09:40 AM,33.4517,-112.7049, 271,260,299,"23,100"
Sun 11:10:10 AM,33.4519,-112.7483, 270,276,318,"23,825"
Sun 11:10:33 AM,33.4536,-112.7863, 278,306,352,"24,050"
Sun 11:10:53 AM,33.4605,-112.8215, 288,339,390,"24,200"
Sun 11:11:33 AM,33.4850,-112.8924, 293,366,421,"24,850"
Sun 11:12:03 AM,33.5053,-112.9500, 293,376,433,"25,525"
Sun 11:12:33 AM,33.5250,-113.0061, 293,386,444,"26,175"
Sun 11:13:03 AM,33.5463,-113.0673, 293,392,451,"26,975"
Sun 11:13:33 AM,33.5678,-113.1287, 293,392,451,"27,925"
Sun 11:14:03 AM,33.5889,-113.1892, 293,393,452,"28,775"
Sun 11:14:33 AM,33.6094,-113.2487, 292,395,455,"29,500"
Sun 11:15:03 AM,33.6308,-113.3107, 293,397,457,"30,225"
Sun 11:15:33 AM,33.6517,-113.3715, 293,400,460,"30,875"
Sun 11:16:03 AM,33.6727,-113.4322, 293,400,460,"31,600"
Sun 11:16:33 AM,33.6932,-113.4916, 292,401,461,"32,000"
Sun 11:17:03 AM,33.7148,-113.5546, 292,401,461,"32,000"
Sun 11:17:33 AM,33.7364,-113.6175, 292,402,463,"32,000"
Sun 11:18:03 AM,33.7580,-113.6808, 292,403,464,"32,000"
Sun 11:18:33 AM,33.7790,-113.7424, 292,403,464,"32,000"
Sun 11:19:03 AM,33.7994,-113.8019, 292,404,465,"32,000"
Sun 11:19:33 AM,33.8205,-113.8640, 292,404,465,"32,000"
Sun 11:20:03 AM,33.8422,-113.9278, 292,403,464,"32,000"
Sun 11:20:33 AM,33.8629,-113.9880, 293,384,442,"31,975"
Sun 11:21:03 AM,33.8824,-114.0452, 292,354,407,"32,000"
Sun 11:21:33 AM,33.9005,-114.1001, 290,341,392,"32,000"
Sun 11:21:49 AM,33.9075,-114.1292, 283,327,376,"32,000"
Sun 11:22:17 AM,33.9153,-114.1755, 282,324,373,"32,000"
Sun 11:22:47 AM,33.9249,-114.2309, 282,323,372,"32,000"
Sun 11:23:17 AM,33.9339,-114.2840, 282,322,371,"32,000"
Sun 11:23:47 AM,33.9432,-114.3374, 282,321,369,"32,000"
Sun 11:24:18 AM,33.9521,-114.3904, 281,320,368,"32,000"
Sun 11:24:48 AM,33.9609,-114.4434, 282,321,369,"32,000"
Sun 11:25:19 AM,33.9700,-114.4967, 282,321,369,"32,000"
Sun 11:25:49 AM,33.9789,-114.5497, 281,320,368,"32,000"
Sun 11:26:19 AM,33.9873,-114.6004, 281,321,369,"32,000"
Sun 11:26:49 AM,33.9959,-114.6529, 281,322,371,"32,000"
Sun 11:27:20 AM,34.0050,-114.7080, 281,335,386,"32,025"
Sun 11:27:50 AM,34.0142,-114.7637, 282,356,410,"32,025"
Sun 11:28:20 AM,34.0244,-114.8236, 282,366,421,"31,625"
Sun 11:28:50 AM,34.0348,-114.8862, 281,366,421,"31,150"
Sun 11:29:20 AM,34.0442,-114.9434, 281,363,418,"30,675"
Sun 11:30:05 AM,34.0585,-115.0327, 281,361,415,"30,000"
Sun 11:30:35 AM,34.0679,-115.0917, 281,361,415,"30,000"
Sun 11:31:05 AM,34.0779,-115.1527, 281,361,415,"30,000"
Sun 11:31:35 AM,34.0873,-115.2101, 282,361,415,"30,000"
