Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 01:00:30 PM    Departure (PHX) @ Sunday 10:00:30 AM MST,,,FlightAware ADS-B (KDVT)
Sun 01:00:30 PM,33.4308,-112.0340, 268,181,208,"1,800"
Sun 01:00:46 PM,33.4297,-112.0480, 260,181,208,"2,425"
Sun 01:01:02 PM,33.4262,-112.0653, 253,201,231,"2,800"
Sun 01:01:18 PM,33.4217,-112.0825, 253,224,258,"3,000"
Sun 01:01:44 PM,33.4132,-112.1139, 252,218,251,"4,425"
Sun 01:02:14 PM,33.4028,-112.1520, 252,247,284,"5,350"
Sun 01:02:38 PM,33.3941,-112.1844, 255,254,292,"6,425"
Sun 01:02:57 PM,33.3925,-112.2095, 275,266,306,"7,225"
Sun 01:03:15 PM,33.3964,-112.2362, 280,273,314,"8,275"
Sun 01:04:00 PM,33.4065,-112.3040, 282,285,328,"10,725"
Sun 01:04:42 PM,33.4266,-112.3762, 289,350,403,"11,450"
Sun 01:05:12 PM,33.4426,-112.4308, 289,352,405,"13,075"
Sun 01:05:42 PM,33.4587,-112.4876, 289,363,418,"14,425"
Sun 01:06:12 PM,33.4752,-112.5466, 288,380,437,"15,450"
Sun 01:06:42 PM,33.4918,-112.6060, 289,392,451,"16,525"
Sun 01:07:12 PM,33.5096,-112.6696, 289,401,461,"17,575"
Sun 01:07:42 PM,33.5272,-112.7316, 288,400,460,"19,000"
Sun 01:08:12 PM,33.5440,-112.7910, 289,375,432,"21,275"
Sun 01:08:42 PM,33.5603,-112.8497, 288,371,427,"22,775"
Sun 01:09:12 PM,33.5763,-112.9077, 288,371,427,"24,050"
Sun 01:09:42 PM,33.5927,-112.9670, 288,372,428,"25,250"
Sun 01:10:12 PM,33.6086,-113.0243, 288,378,435,"26,175"
Sun 01:10:42 PM,33.6250,-113.0829, 289,374,430,"27,450"
Sun 01:11:12 PM,33.6416,-113.1428, 288,369,425,"28,675"
Sun 01:11:42 PM,33.6576,-113.2009, 288,368,423,"29,750"
Sun 01:12:12 PM,33.6739,-113.2601, 288,365,420,"30,800"
Sun 01:12:42 PM,33.6894,-113.3169, 288,363,418,"31,750"
Sun 01:13:12 PM,33.7046,-113.3722, 288,364,419,"32,000"
Sun 01:13:42 PM,33.7209,-113.4318, 288,362,417,"32,000"
Sun 01:14:15 PM,33.7379,-113.4951, 288,378,435,"32,025"
Sun 01:14:46 PM,33.7558,-113.5607, 288,388,447,"32,000"
Sun 01:15:16 PM,33.7716,-113.6178, 288,387,445,"32,000"
Sun 01:15:46 PM,33.7889,-113.6807, 288,387,445,"32,000"
Sun 01:16:16 PM,33.8057,-113.7426, 288,386,444,"32,000"
Sun 01:16:47 PM,33.8221,-113.8034, 288,385,443,"32,000"
Sun 01:17:17 PM,33.8389,-113.8661, 288,383,441,"32,000"
Sun 01:17:47 PM,33.8553,-113.9273, 288,382,440,"32,000"
Sun 01:18:17 PM,33.8713,-113.9871, 288,380,437,"32,000"
Sun 01:18:47 PM,33.8877,-114.0482, 288,379,436,"32,000"
Sun 01:19:17 PM,33.9041,-114.1108, 286,375,432,"32,000"
Sun 01:19:56 PM,33.9172,-114.1856, 282,371,427,"32,000"
Sun 01:20:26 PM,33.9277,-114.2468, 282,375,432,"32,000"
Sun 01:20:56 PM,33.9381,-114.3082, 282,376,433,"32,000"
Sun 01:21:26 PM,33.9483,-114.3677, 282,376,433,"32,000"
Sun 01:21:56 PM,33.9589,-114.4304, 281,375,432,"32,000"
Sun 01:22:27 PM,33.9695,-114.4941, 281,374,430,"32,000"
Sun 01:22:57 PM,33.9798,-114.5560, 281,374,430,"32,000"
Sun 01:23:27 PM,33.9904,-114.6190, 282,376,433,"32,000"
Sun 01:23:57 PM,34.0001,-114.6773, 281,375,432,"32,000"
Sun 01:24:27 PM,34.0102,-114.7382, 281,376,433,"32,000"
Sun 01:24:58 PM,34.0207,-114.8026, 281,378,435,"32,000"
Sun 01:25:28 PM,34.0312,-114.8655, 281,378,435,"32,000"
Sun 01:25:58 PM,34.0413,-114.9273, 281,376,433,"32,000"
Sun 01:26:28 PM,34.0512,-114.9889, 281,376,433,"32,000"
Sun 01:26:58 PM,34.0612,-115.0508, 281,377,434,"32,000"
Sun 01:27:29 PM,34.0715,-115.1131, 281,375,432,"32,000"
