Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 01:57:36 PM    Departure (PHX) @ Sunday 10:57:36 AM MST,,,FlightAware ADS-B (KPHX)
Sun 01:57:36 PM,33.4311,-111.9999, 90,172,198,"1,175"
Sun 01:57:52 PM,33.4311,-111.9849, 89,168,193,"1,925"
Sun 01:58:08 PM,33.4315,-111.9697, 87,173,199,"2,625"
Sun 01:58:24 PM,33.4325,-111.9533, 86,184,212,"3,250"
Sun 01:58:40 PM,33.4332,-111.9389, 87,190,219,"3,900"
Sun 01:59:07 PM,33.4344,-111.9066, 88,204,235,"5,050"
Sun 01:59:25 PM,33.4320,-111.8873, 110,205,236,"5,725"
Sun 01:59:44 PM,33.4206,-111.8699, 141,232,267,"6,075"
Sun 02:00:00 PM,33.4016,-111.8622, 173,264,304,"6,475"
Sun 02:00:19 PM,33.3782,-111.8716, 215,289,333,"7,350"
Sun 02:00:37 PM,33.3653,-111.8933, 249,295,339,"8,200"
Sun 02:00:55 PM,33.3632,-111.9250, 274,295,339,"9,300"
Sun 02:01:39 PM,33.3726,-111.9958, 278,328,377,"10,850"
Sun 02:02:23 PM,33.3839,-112.0820, 279,353,406,"12,525"
Sun 02:02:53 PM,33.3912,-112.1374, 279,362,417,"13,775"
Sun 02:03:17 PM,33.3974,-112.1843, 280,358,412,"15,050"
Sun 02:03:47 PM,33.4051,-112.2438, 280,364,419,"16,325"
Sun 02:04:07 PM,33.4102,-112.2838, 280,367,422,"17,175"
Sun 02:04:36 PM,33.4168,-112.3359, 279,370,426,"18,475"
Sun 02:05:06 PM,33.4253,-112.4025, 279,376,433,"19,575"
Sun 02:05:36 PM,33.4332,-112.4652, 279,382,440,"20,650"
Sun 02:06:06 PM,33.4411,-112.5277, 279,390,449,"21,625"
Sun 02:06:34 PM,33.4487,-112.5911, 276,396,456,"22,625"
Sun 02:06:50 PM,33.4505,-112.6242, 272,397,457,"23,100"
Sun 02:07:29 PM,33.4517,-112.7117, 271,406,467,"24,200"
Sun 02:07:52 PM,33.4526,-112.7641, 273,411,473,"24,800"
Sun 02:08:10 PM,33.4570,-112.8023, 282,414,476,"25,150"
Sun 02:08:53 PM,33.4882,-112.8993, 292,418,481,"26,400"
Sun 02:09:23 PM,33.5100,-112.9622, 293,420,483,"27,225"
Sun 02:09:53 PM,33.5320,-113.0249, 293,422,486,"27,925"
Sun 02:10:23 PM,33.5549,-113.0911, 292,422,486,"27,975"
Sun 02:10:53 PM,33.5772,-113.1553, 293,426,490,"27,975"
Sun 02:11:23 PM,33.5998,-113.2203, 293,426,490,"28,000"
Sun 02:11:53 PM,33.6226,-113.2861, 293,426,490,"28,000"
Sun 02:12:23 PM,33.6442,-113.3485, 293,426,490,"28,000"
Sun 02:12:53 PM,33.6679,-113.4172, 293,426,490,"28,000"
Sun 02:13:23 PM,33.6914,-113.4854, 292,426,490,"28,000"
Sun 02:13:53 PM,33.7129,-113.5480, 292,426,490,"28,000"
Sun 02:14:24 PM,33.7360,-113.6156, 292,425,489,"28,000"
Sun 02:14:54 PM,33.7591,-113.6830, 292,425,489,"27,975"
Sun 02:15:24 PM,33.7809,-113.7468, 292,425,489,"27,975"
Sun 02:15:54 PM,33.8034,-113.8129, 292,423,487,"28,000"
Sun 02:16:24 PM,33.8250,-113.8761, 292,423,487,"27,975"
Sun 02:16:54 PM,33.8472,-113.9417, 292,423,487,"27,975"
Sun 02:17:24 PM,33.8700,-114.0089, 292,423,487,"27,975"
Sun 02:17:54 PM,33.8912,-114.0718, 292,424,488,"27,975"
Sun 02:18:16 PM,33.9051,-114.1217, 286,425,489,"27,975"
Sun 02:18:48 PM,33.9189,-114.1946, 281,423,487,"28,000"
Sun 02:19:22 PM,33.9322,-114.2716, 282,424,488,"28,000"
Sun 02:19:59 PM,33.9465,-114.3564, 282,422,486,"28,000"
Sun 02:20:30 PM,33.9588,-114.4290, 282,422,486,"28,000"
Sun 02:21:00 PM,33.9708,-114.5006, 281,422,486,"27,975"
Sun 02:21:30 PM,33.9819,-114.5673, 281,409,471,"28,000"
Sun 02:22:00 PM,33.9927,-114.6324, 281,389,448,"28,000"
Sun 02:22:31 PM,34.0033,-114.6958, 281,389,448,"28,000"
Sun 02:23:02 PM,34.0144,-114.7630, 281,391,450,"27,975"
Sun 02:23:32 PM,34.0250,-114.8270, 281,390,449,"28,000"
Sun 02:24:03 PM,34.0356,-114.8914, 281,390,449,"28,000"
Sun 02:24:33 PM,34.0463,-114.9565, 281,389,448,"28,000"
Sun 02:25:03 PM,34.0568,-115.0211, 281,389,448,"28,000"
Sun 02:25:33 PM,34.0670,-115.0839, 281,390,449,"28,000"
Sun 02:26:04 PM,34.0778,-115.1505, 281,390,449,"28,000"
Sun 02:26:34 PM,34.0884,-115.2159, 281,411,473,"28,000"
