Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 02:46:05 AM    Departure (PHX) @ Sunday 11:46:05 PM MST,,,FlightAware ADS-B (KPHX)
Mon 02:46:05 AM,33.4309,-112.0044, 92,150,173,"1,275"
Mon 02:46:21 AM,33.4306,-111.9912, 92,138,159,"2,150"
Mon 02:46:37 AM,33.4305,-111.9776, 89,158,182,"2,625"
Mon 02:46:53 AM,33.4311,-111.9620, 87,187,215,"2,850"
Mon 02:47:09 AM,33.4320,-111.9452, 86,204,235,"3,300"
Mon 02:47:25 AM,33.4327,-111.9265, 89,209,241,"4,125"
Mon 02:47:42 AM,33.4330,-111.9068, 89,229,264,"4,600"
Mon 02:47:59 AM,33.4333,-111.8839, 94,237,273,"5,425"
Mon 02:48:17 AM,33.4258,-111.8626, 131,243,280,"6,300"
Mon 02:48:34 AM,33.4110,-111.8487, 150,246,283,"7,125"
Mon 02:48:52 AM,33.3903,-111.8423, 183,253,291,"7,900"
Mon 02:49:11 AM,33.3690,-111.8517, 212,260,299,"8,750"
Mon 02:49:28 AM,33.3544,-111.8671, 235,268,308,"9,350"
Mon 02:49:44 AM,33.3485,-111.8905, 269,263,303,"10,075"
Mon 02:50:09 AM,33.3520,-111.9258, 282,269,310,"11,100"
Mon 02:50:30 AM,33.3579,-111.9565, 281,287,330,"11,750"
Mon 02:50:47 AM,33.3620,-111.9853, 278,310,357,"11,875"
Mon 02:51:17 AM,33.3684,-112.0384, 279,328,377,"12,775"
Mon 02:51:57 AM,33.3785,-112.1078, 280,332,382,"14,400"
Mon 02:52:20 AM,33.3860,-112.1498, 285,333,383,"15,450"
Mon 02:53:00 AM,33.4031,-112.2220, 286,344,396,"16,700"
Mon 02:53:30 AM,33.4167,-112.2792, 286,347,399,"17,850"
Mon 02:54:00 AM,33.4294,-112.3331, 286,351,404,"18,850"
Mon 02:54:30 AM,33.4429,-112.3902, 286,353,406,"19,850"
Mon 02:55:00 AM,33.4560,-112.4460, 286,357,411,"20,750"
Mon 02:55:30 AM,33.4696,-112.5038, 286,365,420,"21,500"
Mon 02:56:00 AM,33.4837,-112.5640, 286,373,429,"22,150"
Mon 02:56:30 AM,33.4974,-112.6226, 286,378,435,"22,925"
Mon 02:57:00 AM,33.5119,-112.6846, 286,383,441,"23,700"
Mon 02:57:30 AM,33.5260,-112.7454, 285,388,447,"24,400"
Mon 02:58:00 AM,33.5407,-112.8087, 286,391,450,"25,100"
Mon 02:58:30 AM,33.5551,-112.8707, 285,395,455,"25,800"
Mon 02:59:00 AM,33.5699,-112.9351, 285,399,459,"26,525"
Mon 02:59:30 AM,33.5844,-112.9979, 285,399,459,"27,325"
Mon 03:00:00 AM,33.5988,-113.0608, 285,398,458,"28,175"
Mon 03:00:30 AM,33.6137,-113.1259, 285,405,466,"28,725"
Mon 03:01:00 AM,33.6292,-113.1937, 285,416,479,"29,150"
Mon 03:01:30 AM,33.6436,-113.2596, 283,419,482,"29,775"
Mon 03:02:00 AM,33.6548,-113.3266, 280,417,480,"30,500"
Mon 03:02:30 AM,33.6649,-113.3938, 280,416,479,"31,250"
Mon 03:03:00 AM,33.6752,-113.4631, 280,417,480,"31,850"
Mon 03:03:30 AM,33.6853,-113.5311, 280,421,484,"32,325"
Mon 03:04:00 AM,33.6955,-113.6006, 280,428,493,"32,725"
Mon 03:04:30 AM,33.7060,-113.6712, 280,427,491,"33,300"
Mon 03:05:00 AM,33.7160,-113.7398, 280,423,487,"34,000"
Mon 03:05:30 AM,33.7261,-113.8087, 280,423,487,"34,000"
Mon 03:06:00 AM,33.7366,-113.8808, 280,423,487,"34,000"
Mon 03:06:30 AM,33.7469,-113.9516, 280,421,484,"34,000"
Mon 03:07:00 AM,33.7563,-114.0170, 280,423,487,"34,000"
Mon 03:07:30 AM,33.7665,-114.0877, 280,423,487,"34,000"
Mon 03:08:00 AM,33.7762,-114.1552, 280,430,495,"34,000"
Mon 03:08:30 AM,33.7864,-114.2271, 280,440,506,"34,000"
Mon 03:09:00 AM,33.7969,-114.3005, 280,446,513,"34,000"
Mon 03:09:30 AM,33.8072,-114.3736, 280,444,511,"34,000"
Mon 03:10:00 AM,33.8175,-114.4469, 280,443,510,"34,000"
Mon 03:10:30 AM,33.8277,-114.5192, 280,443,510,"34,000"
