Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 03:19:00 PM    Left Gate (PHX) @ Sunday 12:19:00 PM MST,,,Airline
,,,
Taxi Time: 14 minutes,,,
Sun 03:33:29 PM    Departure (PHX) @ Sunday 12:33:29 PM MST,,,FlightAware ADS-B (KFFZ)
Sun 03:33:29 PM,33.4311,-111.9982, 90,162,186,"1,350"
Sun 03:33:45 PM,33.4313,-111.9831, 89,167,192,"2,000"
Sun 03:34:01 PM,33.4316,-111.9671, 88,181,208,"2,525"
Sun 03:34:17 PM,33.4323,-111.9499, 87,201,231,"2,825"
Sun 03:34:33 PM,33.4330,-111.9308, 88,219,252,"3,200"
Sun 03:34:55 PM,33.4334,-111.9073, 89,213,245,"4,325"
Sun 03:35:12 PM,33.4336,-111.8856, 98,220,253,"5,025"
Sun 03:35:30 PM,33.4257,-111.8662, 133,225,259,"5,725"
Sun 03:35:52 PM,33.4056,-111.8494, 153,230,265,"6,750"
Sun 03:36:09 PM,33.3902,-111.8459, 184,237,273,"7,375"
Sun 03:36:26 PM,33.3703,-111.8554, 218,251,289,"8,100"
Sun 03:36:43 PM,33.3582,-111.8731, 240,258,297,"8,725"
Sun 03:36:59 PM,33.3539,-111.8943, 269,263,303,"9,425"
Sun 03:37:40 PM,33.3586,-111.9553, 276,278,320,"11,025"
Sun 03:38:10 PM,33.3632,-112.0048, 276,312,359,"11,550"
Sun 03:38:40 PM,33.3704,-112.0563, 280,336,387,"12,275"
Sun 03:39:10 PM,33.3786,-112.1116, 280,345,397,"13,375"
Sun 03:39:40 PM,33.3873,-112.1703, 280,364,419,"14,300"
Sun 03:40:10 PM,33.3963,-112.2310, 280,381,438,"15,075"
Sun 03:40:40 PM,33.4054,-112.2934, 280,388,447,"16,175"
Sun 03:41:10 PM,33.4147,-112.3567, 280,390,449,"17,375"
Sun 03:41:40 PM,33.4242,-112.4223, 280,392,451,"18,550"
Sun 03:42:10 PM,33.4332,-112.4840, 279,398,458,"19,550"
Sun 03:42:40 PM,33.4428,-112.5531, 280,407,468,"20,400"
Sun 03:43:01 PM,33.4485,-112.5978, 277,410,472,"21,025"
Sun 03:43:22 PM,33.4502,-112.6457, 271,413,475,"21,675"
Sun 03:43:52 PM,33.4512,-112.7142, 271,417,480,"22,575"
Sun 03:44:11 PM,33.4520,-112.7580, 273,421,484,"23,100"
Sun 03:44:28 PM,33.4569,-112.8003, 281,424,488,"23,525"
Sun 03:44:48 PM,33.4683,-112.8444, 292,429,494,"24,025"
Sun 03:45:25 PM,33.4969,-112.9265, 293,439,505,"24,850"
Sun 03:45:55 PM,33.5199,-112.9922, 293,444,511,"25,525"
Sun 03:46:25 PM,33.5444,-113.0626, 293,447,514,"26,250"
Sun 03:46:55 PM,33.5668,-113.1267, 293,446,513,"27,025"
Sun 03:47:25 PM,33.5915,-113.1976, 293,446,513,"27,825"
Sun 03:47:55 PM,33.6150,-113.2655, 293,448,516,"28,450"
Sun 03:48:25 PM,33.6392,-113.3352, 293,452,520,"28,950"
Sun 03:48:55 PM,33.6628,-113.4037, 292,453,521,"29,575"
Sun 03:49:25 PM,33.6876,-113.4759, 292,452,520,"30,275"
Sun 03:49:55 PM,33.7107,-113.5427, 292,448,516,"31,100"
Sun 03:50:25 PM,33.7351,-113.6140, 292,444,511,"31,875"
Sun 03:50:56 PM,33.7579,-113.6807, 292,445,512,"32,000"
Sun 03:51:26 PM,33.7821,-113.7517, 292,444,511,"32,000"
Sun 03:51:57 PM,33.8068,-113.8241, 292,444,511,"32,000"
Sun 03:52:28 PM,33.8298,-113.8915, 292,444,511,"32,000"
Sun 03:52:58 PM,33.8539,-113.9622, 292,444,511,"32,000"
Sun 03:53:28 PM,33.8763,-114.0282, 292,445,512,"32,000"
Sun 03:53:55 PM,33.8981,-114.0937, 290,444,511,"32,000"
Sun 03:54:26 PM,33.9135,-114.1642, 282,443,510,"32,000"
Sun 03:55:08 PM,33.9308,-114.2651, 282,443,510,"32,000"
Sun 03:55:39 PM,33.9438,-114.3411, 282,443,510,"32,000"
Sun 03:56:09 PM,33.9562,-114.4148, 282,443,510,"32,000"
Sun 03:56:40 PM,33.9684,-114.4875, 281,437,503,"32,000"
Sun 03:57:10 PM,33.9805,-114.5592, 281,422,486,"31,975"
Sun 03:57:41 PM,33.9922,-114.6293, 281,417,480,"31,975"
Sun 03:58:12 PM,34.0036,-114.6983, 281,416,479,"32,000"
Sun 03:58:42 PM,34.0150,-114.7677, 281,416,479,"32,000"
Sun 03:59:12 PM,34.0261,-114.8349, 281,416,479,"32,000"
Sun 03:59:42 PM,34.0373,-114.9030, 281,416,479,"32,000"
Sun 04:00:13 PM,34.0484,-114.9714, 281,416,479,"32,000"
Sun 04:00:43 PM,34.0598,-115.0414, 281,415,478,"32,000"
Sun 04:01:13 PM,34.0708,-115.1087, 281,415,478,"32,000"
Sun 04:01:43 PM,34.0820,-115.1778, 281,414,476,"32,000"
Sun 04:02:14 PM,34.0931,-115.2457, 281,413,475,"32,000"
Sun 04:02:37 PM,34.1016,-115.2988, 282,411,473,"32,000"
Sun 04:03:07 PM,34.1125,-115.3658, 281,411,473,"32,000"
Sun 04:03:37 PM,34.1232,-115.4331, 282,410,472,"32,000"
Sun 04:04:07 PM,34.1341,-115.5016, 282,410,472,"32,000"
Sun 04:04:25 PM,34.1395,-115.5356, 281,410,472,"32,000"
Sun 04:04:55 PM,34.1514,-115.6108, 281,409,471,"32,000"
Sun 04:05:19 PM,34.1587,-115.6601, 277,407,468,"31,800"
Sun 04:05:41 PM,34.1605,-115.7131, 268,412,474,"31,525"
Sun 04:05:58 PM,34.1576,-115.7522, 264,422,486,"31,300"
Sun 04:06:40 PM,34.1479,-115.8536, 263,432,497,"30,675"
Sun 04:07:10 PM,34.1412,-115.9230, 263,437,503,"30,225"
Sun 04:07:40 PM,34.1341,-115.9961, 263,436,502,"29,750"
Sun 04:08:10 PM,34.1271,-116.0680, 263,432,497,"29,275"
Sun 04:08:40 PM,34.1204,-116.1362, 263,428,493,"28,775"
Sun 04:09:10 PM,34.1132,-116.2095, 263,422,486,"28,225"
Sun 04:09:40 PM,34.1061,-116.2799, 263,424,488,"27,700"
Sun 04:09:58 PM,34.1020,-116.3205, 264,423,487,"27,400"
Sun 04:10:18 PM,34.0968,-116.3695, 263,422,486,"27,075"
Sun 04:10:36 PM,34.0924,-116.4100, 263,420,483,"26,750"
Sun 04:11:17 PM,34.0825,-116.5034, 264,408,470,"26,025"
Sun 04:11:44 PM,34.0757,-116.5655, 263,394,453,"25,550"
Sun 04:12:14 PM,34.0692,-116.6280, 264,387,445,"24,975"
Sun 04:12:44 PM,34.0635,-116.6934, 264,383,441,"24,450"
Sun 04:13:06 PM,34.0594,-116.7376, 264,376,433,"24,125"
Sun 04:13:37 PM,34.0535,-116.8013, 265,371,427,"23,575"
Sun 04:14:07 PM,34.0476,-116.8639, 263,367,422,"23,075"
Sun 04:14:23 PM,34.0441,-116.8973, 262,364,419,"22,725"
Sun 04:14:53 PM,34.0365,-116.9557, 261,355,409,"21,850"
Sun 04:15:23 PM,34.0290,-117.0130, 261,349,402,"20,950"
Sun 04:15:39 PM,34.0250,-117.0443, 262,346,398,"20,450"
Sun 04:16:09 PM,34.0182,-117.1018, 262,341,392,"19,475"
Sun 04:16:39 PM,34.0117,-117.1573, 262,336,387,"18,575"
Sun 04:17:09 PM,34.0053,-117.2121, 262,333,383,"17,650"
Sun 04:17:51 PM,33.9957,-117.2914, 262,341,392,"16,025"
Sun 04:18:30 PM,33.9872,-117.3621, 263,335,386,"14,800"
Sun 04:19:00 PM,33.9808,-117.4180, 262,331,381,"13,825"
Sun 04:19:27 PM,33.9752,-117.4667, 265,327,376,"13,000"
Sun 04:19:47 PM,33.9766,-117.5021, 280,316,364,"12,700"
Sun 04:20:23 PM,33.9902,-117.5630, 287,314,361,"11,650"
Sun 04:21:04 PM,34.0066,-117.6326, 286,311,358,"10,400"
Sun 04:21:30 PM,34.0167,-117.6757, 286,299,344,"9,925"
Sun 04:21:49 PM,34.0203,-117.7050, 272,285,328,"9,775"
Sun 04:22:17 PM,34.0172,-117.7481, 264,277,319,"9,525"
Sun 04:22:47 PM,34.0124,-117.7948, 263,277,319,"9,250"
Sun 04:23:15 PM,34.0082,-117.8388, 263,275,316,"9,175"
Sun 04:23:45 PM,34.0037,-117.8836, 263,283,326,"8,625"
Sun 04:24:09 PM,34.0001,-117.9213, 263,289,333,"7,800"
Sun 04:24:39 PM,33.9955,-117.9693, 264,286,329,"6,825"
Sun 04:25:09 PM,33.9909,-118.0153, 263,258,297,"6,525"
Sun 04:25:39 PM,33.9867,-118.0572, 263,250,288,"5,650"
Sun 04:26:09 PM,33.9831,-118.0942, 263,233,268,"4,825"
Sun 04:26:39 PM,33.9793,-118.1316, 263,189,217,"4,525"
Sun 04:27:09 PM,33.9763,-118.1616, 263,188,216,"3,825"
Sun 04:27:39 PM,33.9733,-118.1929, 263,187,215,"3,425"
Sun 04:28:09 PM,33.9702,-118.2242, 263,180,207,"2,800"
Sun 04:28:32 PM,33.9678,-118.2471, 263,173,199,"2,450"
Sun 04:29:02 PM,33.9651,-118.2743, 263,166,191,"2,025"
Sun 04:29:29 PM,33.9626,-118.2979, 263,151,174,"1,650"
,,,
Sun 04:30:00 PM,33.9601,-118.3239, 263,152,175,"1,300"
,,,
Sun 04:30:15 PM,33.9587,-118.3375, 263,153,176,"1,050"
Sun 04:30:31 PM,33.9574,-118.3496, 263,152,175,850
Sun 04:30:47 PM,33.9560,-118.3636, 264,151,174,625
Sun 04:31:03 PM,33.9547,-118.3764, 263,149,171,425
Sun 04:31:19 PM,33.9534,-118.3894, 263,147,169,200
Sun 04:31:35 PM,33.9521,-118.4026, 263,146,168,
Sun 04:31:51 PM,33.9508,-118.4146, 263,115,132,
,,,
Sun 04:32:25 PM    Arrival (LAX) @ Sunday 01:32:25 PM PDT,,,FlightAware
,,,
Taxi Time: 6 minutes,,,
Sun 04:39:00 PM    Gate Arrival (LAX) @ Sunday 01:39:00 PM PDT,,,Airline
