Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 05:00:31 PM    Departure (PHX) @ Thursday 03:00:31 PM MST,,,FlightAware ADS-B (KPHX)
Thu 05:00:31 PM,33.4310,-112.0300, 268,165,190,"2,150"
Thu 05:00:47 PM,33.4303,-112.0456, 266,169,194,"2,975"
Thu 05:01:03 PM,33.4277,-112.0607, 253,189,217,"3,350"
Thu 05:01:19 PM,33.4231,-112.0773, 252,208,239,"3,775"
Thu 05:01:35 PM,33.4186,-112.0940, 253,219,252,"4,275"
Thu 05:01:51 PM,33.4133,-112.1145, 253,233,268,"4,900"
Thu 05:02:19 PM,33.4032,-112.1502, 251,245,282,"6,150"
Thu 05:02:45 PM,33.3941,-112.1844, 254,253,291,"7,300"
Thu 05:03:02 PM,33.3920,-112.2076, 273,258,297,"8,050"
Thu 05:03:30 PM,33.3979,-112.2457, 282,263,303,"9,300"
Thu 05:04:10 PM,33.4069,-112.3041, 280,281,323,"10,750"
Thu 05:04:40 PM,33.4137,-112.3522, 280,300,345,"11,650"
Thu 05:05:10 PM,33.4212,-112.4030, 280,307,353,"12,750"
Thu 05:05:40 PM,33.4287,-112.4540, 280,313,360,"13,825"
Thu 05:06:10 PM,33.4361,-112.5044, 280,312,359,"15,050"
Thu 05:06:40 PM,33.4434,-112.5544, 280,315,362,"16,100"
Thu 05:07:07 PM,33.4493,-112.6006, 276,319,367,"16,975"
Thu 05:07:25 PM,33.4508,-112.6336, 271,322,371,"17,575"
Thu 05:07:55 PM,33.4514,-112.6863, 271,329,379,"18,425"
Thu 05:08:25 PM,33.4521,-112.7419, 271,335,386,"19,250"
Thu 05:08:41 PM,33.4527,-112.7744, 272,337,388,"19,700"
Thu 05:08:59 PM,33.4570,-112.8074, 284,335,386,"20,325"
Thu 05:09:37 PM,33.4774,-112.8702, 293,338,389,"21,325"
Thu 05:10:08 PM,33.4968,-112.9254, 293,344,396,"22,100"
Thu 05:10:38 PM,33.5156,-112.9791, 293,348,400,"22,825"
Thu 05:11:08 PM,33.5346,-113.0337, 293,350,403,"23,600"
