Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 04:50:00 PM    Left Gate (PHX) @ Thursday 02:50:00 PM MST,,,Airline
,,,
Taxi Time: 17 minutes,,,
Thu 05:07:24 PM    Departure (PHX) @ Thursday 03:07:24 PM MST,,,FlightAware ADS-B (KPHX)
Thu 05:07:24 PM,33.4311,-112.0279, 270,181,208,"1,625"
Thu 05:07:40 PM,33.4308,-112.0446, 267,182,209,"2,450"
Thu 05:07:56 PM,33.4286,-112.0610, 257,193,222,"2,950"
Thu 05:08:12 PM,33.4248,-112.0769, 252,207,238,"3,300"
Thu 05:08:28 PM,33.4194,-112.0956, 250,222,255,"3,650"
Thu 05:08:44 PM,33.4135,-112.1150, 250,242,278,"3,975"
Thu 05:09:14 PM,33.4023,-112.1548, 252,249,287,"5,325"
Thu 05:09:40 PM,33.3933,-112.1891, 257,248,285,"6,625"
Thu 05:09:59 PM,33.3939,-112.2160, 280,254,292,"7,500"
Thu 05:10:29 PM,33.4000,-112.2575, 280,261,300,"8,700"
Thu 05:10:59 PM,33.4062,-112.2997, 280,263,303,"9,975"
Thu 05:11:29 PM,33.4126,-112.3433, 280,286,329,"10,725"
Thu 05:11:59 PM,33.4200,-112.3928, 280,308,354,"11,500"
Thu 05:12:29 PM,33.4274,-112.4434, 280,315,362,"12,575"
Thu 05:12:59 PM,33.4349,-112.4948, 280,317,365,"13,800"
Thu 05:13:29 PM,33.4428,-112.5487, 280,324,373,"14,850"
Thu 05:13:54 PM,33.4491,-112.5935, 278,328,377,"15,725"
Thu 05:14:14 PM,33.4507,-112.6278, 271,330,380,"16,450"
Thu 05:14:44 PM,33.4514,-112.6852, 271,335,386,"17,475"
Thu 05:15:14 PM,33.4521,-112.7390, 271,343,395,"18,300"
Thu 05:15:36 PM,33.4530,-112.7847, 273,345,397,"19,075"
Thu 05:16:05 PM,33.4657,-112.8352, 293,351,404,"19,700"
Thu 05:16:35 PM,33.4850,-112.8905, 293,361,415,"20,400"
Thu 05:17:05 PM,33.5034,-112.9433, 293,365,420,"21,175"
Thu 05:17:35 PM,33.5238,-113.0018, 293,370,426,"21,925"
Thu 05:18:05 PM,33.5442,-113.0605, 293,374,430,"22,725"
Thu 05:18:35 PM,33.5637,-113.1167, 293,377,434,"23,475"
Thu 05:19:05 PM,33.5843,-113.1759, 293,389,448,"23,850"
Thu 05:19:35 PM,33.6048,-113.2351, 293,393,452,"24,425"
Thu 05:20:05 PM,33.6261,-113.2963, 292,398,458,"24,950"
Thu 05:20:35 PM,33.6470,-113.3572, 293,403,464,"25,475"
Thu 05:21:05 PM,33.6678,-113.4174, 292,407,468,"26,025"
Thu 05:21:35 PM,33.6902,-113.4822, 292,409,471,"26,625"
Thu 05:22:05 PM,33.7112,-113.5433, 292,411,473,"27,150"
Thu 05:22:35 PM,33.7335,-113.6085, 292,413,475,"27,700"
Thu 05:23:05 PM,33.7552,-113.6718, 292,417,480,"28,000"
Thu 05:23:35 PM,33.7773,-113.7363, 292,417,480,"28,000"
Thu 05:24:05 PM,33.7985,-113.7986, 292,417,480,"28,000"
