Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 06:54:00 PM    Left Gate (PHX) @ Thursday 04:54:00 PM MST,,,Airline
,,,
Taxi Time: 26 minutes,,,
Thu 07:20:38 PM    Departure (PHX) @ Thursday 05:20:38 PM MST,,,FlightAware ADS-B (KPHX)
Thu 07:20:38 PM,33.4312,-111.9979, 88,169,194,"1,850"
Thu 07:20:54 PM,33.4318,-111.9827, 87,174,200,"2,750"
Thu 07:21:10 PM,33.4322,-111.9650, 89,195,224,"3,200"
Thu 07:21:26 PM,33.4324,-111.9480, 89,223,257,"3,600"
Thu 07:21:42 PM,33.4326,-111.9280, 89,235,270,"4,200"
Thu 07:21:59 PM,33.4332,-111.9053, 88,243,280,"5,125"
Thu 07:22:15 PM,33.4332,-111.8832, 99,253,291,"5,850"
Thu 07:22:31 PM,33.4242,-111.8626, 135,258,297,"6,500"
Thu 07:22:48 PM,33.4073,-111.8516, 162,255,293,"7,325"
Thu 07:23:05 PM,33.3874,-111.8481, 184,253,291,"8,200"
Thu 07:23:21 PM,33.3702,-111.8552, 215,249,287,"8,900"
Thu 07:23:37 PM,33.3576,-111.8710, 238,247,284,"9,675"
Thu 07:23:55 PM,33.3527,-111.8950, 273,244,281,"10,500"
Thu 07:24:32 PM,33.3581,-111.9458, 275,253,291,"12,225"
Thu 07:25:02 PM,33.3614,-111.9882, 276,275,316,"13,275"
Thu 07:25:18 PM,33.3638,-112.0143, 278,290,334,"13,775"
Thu 07:25:56 PM,33.3736,-112.0789, 280,334,384,"14,350"
Thu 07:26:26 PM,33.3815,-112.1319, 280,339,390,"15,575"
Thu 07:26:56 PM,33.3898,-112.1883, 280,346,398,"16,775"
Thu 07:27:26 PM,33.3981,-112.2445, 280,354,407,"17,875"
Thu 07:27:47 PM,33.4040,-112.2844, 280,360,414,"18,650"
Thu 07:28:17 PM,33.4128,-112.3444, 280,367,422,"19,675"
Thu 07:28:47 PM,33.4218,-112.4056, 280,369,425,"20,850"
Thu 07:29:17 PM,33.4305,-112.4660, 280,371,427,"21,975"
Thu 07:29:47 PM,33.4396,-112.5289, 280,377,434,"22,975"
Thu 07:30:17 PM,33.4482,-112.5885, 278,383,441,"23,800"
Thu 07:30:55 PM,33.4511,-112.6725, 271,393,452,"24,850"
Thu 07:31:25 PM,33.4520,-112.7349, 271,399,459,"25,575"
Thu 07:31:44 PM,33.4539,-112.7794, 277,401,461,"26,100"
Thu 07:32:01 PM,33.4605,-112.8169, 286,403,464,"26,550"
Thu 07:32:46 PM,33.4917,-112.9111, 292,404,465,"27,800"
Thu 07:33:16 PM,33.5128,-112.9718, 293,404,465,"28,575"
Thu 07:33:46 PM,33.5333,-113.0304, 293,404,465,"29,300"
Thu 07:34:16 PM,33.5565,-113.0966, 293,404,465,"30,025"
Thu 07:34:46 PM,33.5762,-113.1535, 293,406,467,"30,600"
Thu 07:35:16 PM,33.5985,-113.2176, 293,408,470,"31,150"
Thu 07:35:46 PM,33.6205,-113.2811, 292,409,471,"31,800"
Thu 07:36:16 PM,33.6421,-113.3434, 292,411,473,"32,000"
Thu 07:36:48 PM,33.6660,-113.4125, 292,410,472,"32,000"
Thu 07:37:18 PM,33.6875,-113.4753, 293,410,472,"32,000"
Thu 07:37:48 PM,33.7098,-113.5399, 292,411,473,"32,000"
Thu 07:38:18 PM,33.7313,-113.6023, 292,412,474,"32,000"
Thu 07:38:50 PM,33.7539,-113.6687, 292,412,474,"32,000"
Thu 07:39:20 PM,33.7750,-113.7307, 292,411,473,"32,000"
Thu 07:39:50 PM,33.7968,-113.7951, 292,413,475,"32,000"
Thu 07:40:21 PM,33.8194,-113.8612, 292,412,474,"32,000"
Thu 07:40:51 PM,33.8413,-113.9253, 292,412,474,"32,000"
Thu 07:41:22 PM,33.8623,-113.9875, 292,412,474,"32,000"
Thu 07:41:52 PM,33.8849,-114.0543, 292,411,473,"32,000"
Thu 07:42:22 PM,33.9046,-114.1175, 287,410,472,"32,000"
Thu 07:42:43 PM,33.9133,-114.1631, 282,410,472,"32,000"
Thu 07:43:13 PM,33.9253,-114.2322, 282,410,472,"32,000"
Thu 07:43:43 PM,33.9363,-114.2979, 282,410,472,"32,000"
Thu 07:44:13 PM,33.9480,-114.3667, 281,410,472,"32,000"
Thu 07:44:43 PM,33.9590,-114.4313, 282,407,468,"31,975"
Thu 07:45:13 PM,33.9702,-114.4963, 282,382,440,"32,000"
Thu 07:45:43 PM,33.9805,-114.5576, 281,372,428,"32,000"
Thu 07:46:13 PM,33.9907,-114.6195, 281,372,428,"32,000"
Thu 07:46:44 PM,34.0006,-114.6804, 281,372,428,"32,000"
Thu 07:47:14 PM,34.0102,-114.7391, 281,372,428,"32,000"
Thu 07:47:46 PM,34.0210,-114.8044, 281,371,427,"32,000"
Thu 07:48:16 PM,34.0313,-114.8664, 281,371,427,"32,000"
Thu 07:48:46 PM,34.0412,-114.9264, 281,371,427,"32,000"
Thu 07:49:16 PM,34.0512,-114.9877, 281,373,429,"32,000"
Thu 07:49:46 PM,34.0611,-115.0487, 281,373,429,"32,000"
Thu 07:50:16 PM,34.0711,-115.1104, 281,373,429,"32,000"
Thu 07:50:46 PM,34.0810,-115.1717, 281,373,429,"32,000"
Thu 07:51:16 PM,34.0910,-115.2331, 281,373,429,"32,000"
Thu 07:51:46 PM,34.1008,-115.2936, 281,373,429,"32,000"
Thu 07:52:16 PM,34.1108,-115.3559, 281,373,429,"32,000"
Thu 07:52:46 PM,34.1204,-115.4156, 281,373,429,"32,000"
Thu 07:53:13 PM,34.1290,-115.4697, 282,372,428,"32,000"
Thu 07:53:43 PM,34.1391,-115.5331, 281,373,429,"32,000"
