Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 08:35:07 AM    Departure (PHX) @ Thursday 06:35:07 AM MST,,,FlightAware ADS-B (KPHX)
Thu 08:35:07 AM,33.4407,-111.9866, 90,191,220,"1,700"
Thu 08:35:23 AM,33.4404,-111.9702, 93,193,222,"2,450"
Thu 08:35:39 AM,33.4391,-111.9519, 95,215,247,"2,975"
Thu 08:35:55 AM,33.4376,-111.9306, 94,233,268,"3,650"
Thu 08:36:16 AM,33.4361,-111.9041, 93,240,276,"4,775"
Thu 08:36:34 AM,33.4342,-111.8813, 105,245,282,"5,750"
Thu 08:36:52 AM,33.4224,-111.8607, 144,245,282,"6,750"
Thu 08:37:10 AM,33.4043,-111.8529, 178,245,282,"7,775"
Thu 08:37:26 AM,33.3875,-111.8577, 209,246,283,"8,575"
Thu 08:37:44 AM,33.3727,-111.8763, 243,249,287,"9,675"
Thu 08:38:02 AM,33.3684,-111.9000, 272,255,293,"10,775"
Thu 08:38:32 AM,33.3734,-111.9438, 279,275,316,"12,050"
Thu 08:39:02 AM,33.3793,-111.9894, 278,299,344,"13,050"
Thu 08:39:32 AM,33.3854,-112.0431, 278,335,386,"13,825"
Thu 08:40:02 AM,33.3921,-112.1009, 278,352,405,"14,950"
Thu 08:40:32 AM,33.3992,-112.1605, 278,362,417,"16,275"
Thu 08:41:02 AM,33.4062,-112.2192, 278,365,420,"17,650"
Thu 08:41:32 AM,33.4133,-112.2796, 278,368,423,"19,000"
Thu 08:42:02 AM,33.4203,-112.3407, 278,373,429,"20,250"
Thu 08:42:32 AM,33.4272,-112.4007, 278,379,436,"21,400"
Thu 08:43:02 AM,33.4346,-112.4648, 278,382,440,"22,600"
Thu 08:43:32 AM,33.4416,-112.5251, 278,377,434,"23,900"
Thu 08:44:02 AM,33.4489,-112.5886, 277,377,434,"25,025"
Thu 08:44:25 AM,33.4508,-112.6371, 271,380,437,"25,650"
Thu 08:44:56 AM,33.4516,-112.7005, 271,389,448,"26,325"
Thu 08:45:27 AM,33.4530,-112.7697, 274,395,455,"27,175"
Thu 08:45:43 AM,33.4576,-112.8038, 283,395,455,"27,850"
Thu 08:46:06 AM,33.4703,-112.8496, 293,394,453,"28,800"
Thu 08:46:36 AM,33.4922,-112.9125, 293,392,451,"29,800"
Thu 08:47:06 AM,33.5129,-112.9720, 293,399,459,"30,350"
Thu 08:47:36 AM,33.5346,-113.0340, 293,407,468,"30,900"
Thu 08:48:06 AM,33.5562,-113.0957, 293,411,473,"31,475"
Thu 08:48:36 AM,33.5781,-113.1584, 293,404,465,"32,000"
Thu 08:49:06 AM,33.5990,-113.2185, 293,397,457,"32,000"
Thu 08:49:36 AM,33.6207,-113.2814, 293,396,456,"32,000"
Thu 08:50:06 AM,33.6410,-113.3402, 292,396,456,"32,000"
Thu 08:50:36 AM,33.6619,-113.4009, 292,396,456,"32,000"
Thu 08:51:06 AM,33.6829,-113.4616, 292,396,456,"32,000"
Thu 08:51:36 AM,33.7044,-113.5242, 292,396,456,"32,000"
Thu 08:52:06 AM,33.7252,-113.5849, 292,397,457,"32,000"
Thu 08:52:36 AM,33.7456,-113.6442, 293,399,459,"32,000"
Thu 08:53:06 AM,33.7661,-113.7040, 292,397,457,"32,000"
Thu 08:53:36 AM,33.7873,-113.7666, 292,396,456,"32,000"
Thu 08:54:06 AM,33.8084,-113.8281, 292,398,458,"32,000"
Thu 08:54:36 AM,33.8300,-113.8918, 292,398,458,"32,000"
Thu 08:55:06 AM,33.8503,-113.9515, 292,398,458,"32,000"
Thu 08:55:36 AM,33.8711,-114.0129, 292,399,459,"32,000"
Thu 08:56:06 AM,33.8926,-114.0768, 292,400,460,"32,000"
Thu 08:56:27 AM,33.9052,-114.1192, 286,395,455,"32,000"
Thu 08:56:57 AM,33.9168,-114.1822, 282,394,453,"32,000"
Thu 08:57:28 AM,33.9284,-114.2501, 281,396,456,"32,000"
Thu 08:57:59 AM,33.9394,-114.3154, 282,398,458,"32,000"
Thu 08:58:29 AM,33.9510,-114.3840, 281,404,465,"32,000"
Thu 08:59:01 AM,33.9622,-114.4508, 281,418,481,"32,000"
Thu 08:59:31 AM,33.9741,-114.5213, 281,431,496,"32,000"
Thu 09:00:02 AM,33.9862,-114.5937, 282,431,496,"32,000"
Thu 09:00:34 AM,33.9990,-114.6706, 281,432,497,"32,000"
Thu 09:01:05 AM,34.0115,-114.7467, 281,433,498,"32,000"
Thu 09:01:35 AM,34.0232,-114.8174, 281,433,498,"32,000"
Thu 09:02:06 AM,34.0350,-114.8898, 281,434,499,"32,000"
Thu 09:02:37 AM,34.0468,-114.9613, 281,434,499,"32,000"
Thu 09:03:07 AM,34.0588,-115.0351, 281,435,501,"32,000"
Thu 09:03:37 AM,34.0702,-115.1044, 281,435,501,"32,000"
Thu 09:04:08 AM,34.0820,-115.1774, 281,435,501,"32,000"
Thu 09:04:38 AM,34.0936,-115.2493, 281,436,502,"32,000"
Thu 09:05:08 AM,34.1048,-115.3188, 281,436,502,"32,000"
Thu 09:05:38 AM,34.1168,-115.3933, 281,436,502,"32,000"
Thu 09:06:08 AM,34.1278,-115.4623, 281,435,501,"32,000"
Thu 09:06:39 AM,34.1400,-115.5385, 281,435,501,"32,000"
Thu 09:07:09 AM,34.1509,-115.6075, 281,435,501,"32,000"
Thu 09:07:25 AM,34.1569,-115.6461, 280,435,501,"32,000"
Thu 09:07:44 AM,34.1604,-115.6934, 272,433,498,"32,000"
Thu 09:08:03 AM,34.1588,-115.7395, 265,434,499,"32,000"
Thu 09:08:32 AM,34.1524,-115.8085, 265,432,497,"32,000"
Thu 09:09:02 AM,34.1454,-115.8817, 263,433,498,"32,000"
Thu 09:09:32 AM,34.1383,-115.9545, 263,433,498,"32,000"
Thu 09:10:02 AM,34.1312,-116.0262, 263,433,498,"32,000"
Thu 09:10:32 AM,34.1244,-116.0957, 264,434,499,"32,000"
Thu 09:11:02 AM,34.1172,-116.1675, 263,435,501,"32,000"
Thu 09:11:32 AM,34.1102,-116.2390, 263,435,501,"32,000"
Thu 09:12:02 AM,34.1031,-116.3101, 263,434,499,"31,175"
Thu 09:12:37 AM,34.0940,-116.3941, 262,426,490,"29,375"
Thu 09:13:16 AM,34.0847,-116.4834, 263,416,479,"27,775"
Thu 09:13:55 AM,34.0748,-116.5743, 263,419,482,"26,900"
Thu 09:14:18 AM,34.0692,-116.6281, 264,412,474,"26,175"
Thu 09:14:48 AM,34.0632,-116.6963, 264,403,464,"25,075"
Thu 09:15:12 AM,34.0586,-116.7471, 264,396,456,"24,250"
Thu 09:15:52 AM,34.0504,-116.8335, 264,384,442,"22,775"
Thu 09:16:29 AM,34.0420,-116.9140, 261,378,435,"21,400"
Thu 09:16:59 AM,34.0338,-116.9765, 261,371,427,"20,350"
Thu 09:17:29 AM,34.0260,-117.0367, 261,365,420,"19,325"
Thu 09:17:59 AM,34.0190,-117.0961, 262,357,411,"18,325"
Thu 09:18:16 AM,34.0151,-117.1288, 262,355,409,"17,775"
Thu 09:18:46 AM,34.0083,-117.1862, 263,349,402,"16,875"
Thu 09:19:06 AM,34.0037,-117.2253, 263,345,397,"16,250"
Thu 09:19:36 AM,33.9971,-117.2794, 262,340,391,"15,275"
Thu 09:19:55 AM,33.9927,-117.3158, 262,336,387,"14,675"
Thu 09:20:25 AM,33.9861,-117.3728, 262,328,377,"13,700"
Thu 09:20:55 AM,33.9798,-117.4266, 262,322,371,"12,775"
Thu 09:21:21 AM,33.9748,-117.4710, 263,317,365,"12,075"
Thu 09:21:45 AM,33.9765,-117.5103, 279,294,338,"11,825"
Thu 09:22:15 AM,33.9845,-117.5575, 282,275,316,"11,300"
Thu 09:22:45 AM,33.9920,-117.5993, 282,256,295,"10,925"
Thu 09:23:15 AM,33.9995,-117.6413, 282,246,283,"10,475"
Thu 09:23:36 AM,34.0046,-117.6706, 279,266,306,"10,200"
Thu 09:23:54 AM,34.0054,-117.6978, 266,281,323,"9,875"
Thu 09:24:18 AM,34.0017,-117.7358, 264,285,328,"9,375"
Thu 09:24:48 AM,33.9973,-117.7825, 264,277,319,"8,775"
Thu 09:25:18 AM,33.9929,-117.8274, 263,269,310,"8,200"
