Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 08:45:45 AM    Departure (PHX) @ Thursday 06:45:45 AM MST,,,FlightAware ADS-B (KDVT)
Thu 08:45:45 AM,33.4408,-112.0046, 91,150,173,"1,550"
Thu 08:46:01 AM,33.4406,-111.9907, 92,150,173,"2,250"
Thu 08:46:17 AM,33.4399,-111.9777, 94,165,190,"2,675"
Thu 08:46:33 AM,33.4388,-111.9617, 95,199,229,"2,825"
Thu 08:46:49 AM,33.4376,-111.9429, 94,215,247,"3,300"
Thu 08:47:19 AM,33.4359,-111.9061, 93,231,266,"4,625"
Thu 08:47:38 AM,33.4342,-111.8797, 100,247,284,"5,325"
Thu 08:47:55 AM,33.4250,-111.8592, 134,268,308,"5,650"
Thu 08:48:18 AM,33.4014,-111.8415, 158,272,313,"6,650"
Thu 08:48:35 AM,33.3812,-111.8379, 188,274,315,"7,425"
Thu 08:48:53 AM,33.3599,-111.8494, 219,274,315,"8,350"
Thu 08:49:10 AM,33.3475,-111.8717, 251,275,316,"9,300"
Thu 08:49:53 AM,33.3537,-111.9357, 281,274,315,"11,600"
Thu 08:50:23 AM,33.3605,-111.9818, 280,304,350,"12,100"
Thu 08:50:53 AM,33.3684,-112.0350, 280,334,384,"12,425"
Thu 08:51:23 AM,33.3768,-112.0916, 280,340,391,"13,425"
Thu 08:51:39 AM,33.3813,-112.1220, 280,344,396,"13,950"
Thu 08:52:09 AM,33.3894,-112.1778, 280,350,403,"14,850"
Thu 08:52:39 AM,33.3974,-112.2325, 280,354,407,"15,725"
Thu 08:53:09 AM,33.4060,-112.2919, 280,354,407,"16,775"
Thu 08:53:39 AM,33.4146,-112.3516, 280,355,409,"17,725"
Thu 08:54:10 AM,33.4232,-112.4108, 280,359,413,"18,500"
Thu 08:54:40 AM,33.4313,-112.4674, 280,363,418,"19,225"
Thu 08:55:10 AM,33.4400,-112.5284, 280,363,418,"20,075"
Thu 08:55:33 AM,33.4464,-112.5731, 279,365,420,"20,600"
Thu 08:55:50 AM,33.4497,-112.6082, 275,365,420,"20,975"
Thu 08:56:06 AM,33.4510,-112.6405, 271,366,421,"21,350"
Thu 08:56:36 AM,33.4518,-112.7036, 271,370,426,"21,975"
Thu 08:57:06 AM,33.4525,-112.7600, 272,374,430,"22,475"
Thu 08:57:24 AM,33.4561,-112.7997, 281,379,436,"22,825"
Thu 08:57:42 AM,33.4656,-112.8361, 292,381,438,"23,300"
Thu 08:58:12 AM,33.4864,-112.8954, 293,381,438,"24,000"
Thu 08:58:42 AM,33.5057,-112.9505, 293,388,447,"24,350"
Thu 08:59:12 AM,33.5268,-113.0109, 293,389,448,"24,900"
Thu 08:59:42 AM,33.5480,-113.0715, 293,394,453,"25,275"
Thu 09:00:12 AM,33.5700,-113.1344, 293,380,437,"26,425"
Thu 09:00:42 AM,33.5889,-113.1891, 293,375,432,"27,350"
Thu 09:01:12 AM,33.6095,-113.2484, 293,373,429,"28,000"
Thu 09:01:42 AM,33.6289,-113.3045, 292,378,435,"28,000"
Thu 09:02:12 AM,33.6483,-113.3607, 292,378,435,"28,000"
Thu 09:02:42 AM,33.6687,-113.4198, 292,377,434,"28,000"
Thu 09:03:12 AM,33.6886,-113.4780, 292,375,432,"28,000"
Thu 09:03:42 AM,33.7091,-113.5373, 292,376,433,"28,000"
Thu 09:04:12 AM,33.7289,-113.5952, 292,379,436,"28,000"
Thu 09:04:42 AM,33.7487,-113.6530, 292,383,441,"28,000"
Thu 09:05:12 AM,33.7681,-113.7098, 292,385,443,"28,000"
Thu 09:05:42 AM,33.7889,-113.7706, 292,384,442,"28,000"
Thu 09:06:12 AM,33.8088,-113.8290, 292,386,444,"28,000"
Thu 09:06:42 AM,33.8300,-113.8913, 292,388,447,"28,000"
Thu 09:07:12 AM,33.8504,-113.9513, 292,385,443,"28,000"
Thu 09:07:42 AM,33.8698,-114.0084, 292,384,442,"28,000"
Thu 09:08:12 AM,33.8897,-114.0673, 292,384,442,"28,000"
Thu 09:08:54 AM,33.9123,-114.1544, 282,382,440,"28,000"
Thu 09:09:24 AM,33.9228,-114.2167, 282,385,443,"28,000"
Thu 09:09:54 AM,33.9337,-114.2802, 281,384,442,"28,000"
Thu 09:10:24 AM,33.9443,-114.3431, 281,384,442,"28,000"
Thu 09:10:54 AM,33.9547,-114.4049, 282,383,441,"28,000"
Thu 09:11:24 AM,33.9652,-114.4675, 282,383,441,"28,000"
Thu 09:11:54 AM,33.9755,-114.5292, 281,386,444,"28,000"
Thu 09:12:24 AM,33.9864,-114.5941, 281,386,444,"28,000"
Thu 09:12:54 AM,33.9969,-114.6572, 281,386,444,"28,000"
Thu 09:13:24 AM,34.0075,-114.7211, 281,385,443,"28,000"
Thu 09:13:55 AM,34.0177,-114.7828, 281,384,442,"28,000"
Thu 09:14:25 AM,34.0282,-114.8467, 281,385,443,"28,000"
Thu 09:14:55 AM,34.0388,-114.9108, 281,387,445,"28,000"
Thu 09:15:25 AM,34.0491,-114.9738, 281,387,445,"28,000"
Thu 09:15:55 AM,34.0597,-115.0390, 281,387,445,"28,000"
Thu 09:16:25 AM,34.0696,-115.0996, 281,388,447,"28,000"
Thu 09:16:55 AM,34.0801,-115.1643, 281,387,445,"28,000"
Thu 09:17:25 AM,34.0903,-115.2275, 281,388,447,"28,000"
Thu 09:17:55 AM,34.1006,-115.2911, 281,388,447,"28,000"
Thu 09:18:20 AM,34.1091,-115.3444, 281,391,450,"28,000"
Thu 09:18:50 AM,34.1197,-115.4102, 281,390,449,"28,000"
Thu 09:19:15 AM,34.1280,-115.4621, 281,390,449,"28,000"
Thu 09:19:45 AM,34.1381,-115.5258, 281,390,449,"28,000"
Thu 09:20:15 AM,34.1481,-115.5886, 282,393,452,"28,000"
Thu 09:20:43 AM,34.1581,-115.6526, 280,395,455,"28,000"
Thu 09:21:11 AM,34.1612,-115.7117, 269,397,457,"28,000"
Thu 09:21:43 AM,34.1552,-115.7816, 263,400,460,"28,000"
Thu 09:22:15 AM,34.1484,-115.8517, 263,399,459,"28,000"
Thu 09:22:46 AM,34.1416,-115.9217, 263,398,458,"28,000"
Thu 09:23:16 AM,34.1351,-115.9882, 263,398,458,"28,000"
Thu 09:23:49 AM,34.1282,-116.0587, 264,398,458,"28,000"
Thu 09:24:19 AM,34.1215,-116.1261, 263,382,440,"28,000"
Thu 09:24:49 AM,34.1157,-116.1845, 264,372,428,"28,000"
Thu 09:25:19 AM,34.1093,-116.2489, 263,375,432,"28,000"
Thu 09:25:49 AM,34.1030,-116.3128, 263,374,430,"28,000"
Thu 09:26:19 AM,34.0965,-116.3737, 263,372,428,"28,000"
Thu 09:26:49 AM,34.0900,-116.4335, 263,372,428,"28,000"
Thu 09:27:19 AM,34.0834,-116.4954, 263,372,428,"28,000"
Thu 09:27:49 AM,34.0768,-116.5561, 263,369,425,"28,000"
Thu 09:28:19 AM,34.0699,-116.6213, 264,372,428,"27,900"
Thu 09:28:49 AM,34.0648,-116.6795, 264,367,422,"26,975"
Thu 09:29:19 AM,34.0590,-116.7422, 264,361,415,"25,975"
Thu 09:30:03 AM,34.0510,-116.8283, 264,364,419,"24,550"
Thu 09:30:23 AM,34.0470,-116.8700, 265,362,417,"24,000"
Thu 09:30:45 AM,34.0429,-116.9114, 262,358,412,"23,275"
Thu 09:31:04 AM,34.0375,-116.9506, 261,353,406,"22,650"
Thu 09:31:40 AM,34.0284,-117.0188, 261,343,395,"21,550"
Thu 09:32:10 AM,34.0215,-117.0752, 262,331,381,"20,625"
Thu 09:32:30 AM,34.0174,-117.1090, 262,323,372,"20,125"
