Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 10:36:21 AM    Departure (PHX) @ Thursday 07:36:21 AM MST,,,FlightAware ADS-B (KFFZ)
Thu 10:36:21 AM,33.4310,-112.0035, 91,149,171,"1,500"
Thu 10:36:37 AM,33.4311,-111.9894, 88,154,177,"2,150"
Thu 10:36:53 AM,33.4316,-111.9753, 87,160,184,"2,825"
Thu 10:37:09 AM,33.4324,-111.9609, 86,180,207,"3,175"
Thu 10:37:25 AM,33.4334,-111.9440, 86,203,234,"3,550"
Thu 10:37:41 AM,33.4345,-111.9253, 86,226,260,"4,050"
Thu 10:38:06 AM,33.4368,-111.8898, 84,264,304,"4,950"
Thu 10:38:24 AM,33.4449,-111.8666, 54,274,315,"5,825"
Thu 10:38:40 AM,33.4607,-111.8527, 22,273,314,"6,800"
Thu 10:39:08 AM,33.4982,-111.8481, 4,277,319,"8,575"
Thu 10:39:38 AM,33.5355,-111.8452, 4,279,321,"9,125"
Thu 10:40:08 AM,33.5738,-111.8426, 3,280,322,"9,150"
Thu 10:40:38 AM,33.6121,-111.8399, 4,282,325,"9,150"
Thu 10:41:02 AM,33.6450,-111.8375, 1,281,323,"9,150"
Thu 10:41:22 AM,33.6698,-111.8400, 352,280,322,"9,150"
Thu 10:41:40 AM,33.6917,-111.8441, 345,278,320,"9,200"
Thu 10:41:58 AM,33.7126,-111.8582, 315,284,327,"9,775"
Thu 10:42:36 AM,33.7467,-111.9082, 309,316,364,"11,350"
Thu 10:43:05 AM,33.7732,-111.9475, 309,338,389,"12,275"
Thu 10:43:35 AM,33.8036,-111.9933, 308,338,389,"14,050"
Thu 10:44:05 AM,33.8332,-112.0385, 308,346,398,"15,400"
Thu 10:44:35 AM,33.8623,-112.0824, 308,358,412,"16,400"
Thu 10:45:05 AM,33.8941,-112.1304, 308,360,414,"17,775"
Thu 10:45:35 AM,33.9259,-112.1788, 308,362,417,"19,125"
Thu 10:46:05 AM,33.9553,-112.2237, 308,365,420,"20,300"
Thu 10:46:35 AM,33.9875,-112.2728, 308,371,427,"21,425"
Thu 10:47:02 AM,34.0171,-112.3173, 310,362,417,"22,850"
Thu 10:47:21 AM,34.0378,-112.3437, 316,372,428,"23,450"
Thu 10:47:51 AM,34.0777,-112.3844, 320,388,447,"24,075"
Thu 10:48:21 AM,34.1198,-112.4266, 320,388,447,"25,125"
Thu 10:48:51 AM,34.1616,-112.4685, 320,392,451,"26,000"
Thu 10:49:21 AM,34.2044,-112.5118, 320,397,457,"26,775"
Thu 10:49:51 AM,34.2471,-112.5550, 320,403,464,"27,525"
Thu 10:50:21 AM,34.2906,-112.5988, 320,403,464,"27,975"
Thu 10:50:54 AM,34.3372,-112.6460, 320,393,452,"28,025"
Thu 10:51:24 AM,34.3775,-112.6869, 320,399,459,"28,000"
Thu 10:51:55 AM,34.4216,-112.7315, 320,402,463,"28,000"
Thu 10:52:25 AM,34.4640,-112.7748, 320,403,464,"28,025"
Thu 10:52:55 AM,34.5094,-112.8211, 320,405,466,"28,000"
Thu 10:53:25 AM,34.5521,-112.8646, 320,406,467,"28,000"
Thu 10:53:55 AM,34.5953,-112.9087, 320,409,471,"28,000"
Thu 10:54:25 AM,34.6368,-112.9512, 320,411,473,"28,025"
Thu 10:54:55 AM,34.6811,-112.9966, 320,417,480,"28,000"
Thu 10:55:25 AM,34.7253,-113.0419, 320,420,483,"28,000"
Thu 10:55:45 AM,34.7558,-113.0738, 316,415,478,"28,000"
Thu 10:56:01 AM,34.7741,-113.0999, 306,409,471,"28,000"
Thu 10:56:21 AM,34.7916,-113.1436, 287,399,459,"27,975"
Thu 10:56:43 AM,34.7972,-113.1887, 271,388,447,"28,025"
Thu 10:57:18 AM,34.7950,-113.2684, 269,391,450,"28,000"
Thu 10:57:48 AM,34.7939,-113.3317, 269,393,452,"28,000"
Thu 10:58:20 AM,34.7924,-113.4044, 269,391,450,"28,000"
Thu 10:58:53 AM,34.7908,-113.4771, 269,395,455,"28,025"
Thu 10:59:24 AM,34.7894,-113.5449, 269,397,457,"28,050"
Thu 10:59:55 AM,34.7879,-113.6122, 269,397,457,"28,050"
Thu 11:00:25 AM,34.7864,-113.6791, 268,395,455,"28,050"
Thu 11:00:55 AM,34.7849,-113.7463, 268,395,455,"28,025"
Thu 11:01:26 AM,34.7831,-113.8139, 268,394,453,"28,025"
Thu 11:01:56 AM,34.7815,-113.8803, 268,392,451,"28,000"
Thu 11:02:26 AM,34.7800,-113.9454, 268,391,450,"28,000"
Thu 11:02:56 AM,34.7782,-114.0132, 268,392,451,"28,000"
Thu 11:03:26 AM,34.7765,-114.0773, 268,390,449,"28,000"
Thu 11:03:56 AM,34.7748,-114.1453, 268,390,449,"27,975"
Thu 11:04:26 AM,34.7729,-114.2111, 268,389,448,"27,975"
Thu 11:04:56 AM,34.7712,-114.2742, 268,390,449,"27,975"
Thu 11:05:26 AM,34.7693,-114.3418, 268,393,452,"27,950"
Thu 11:05:56 AM,34.7674,-114.4062, 268,393,452,"28,000"
Thu 11:06:27 AM,34.7657,-114.4779, 270,389,448,"28,025"
Thu 11:06:58 AM,34.7673,-114.5447, 272,388,447,"27,975"
Thu 11:07:28 AM,34.7686,-114.6101, 272,391,450,"27,950"
Thu 11:07:59 AM,34.7701,-114.6778, 271,393,452,"27,975"
Thu 11:08:29 AM,34.7715,-114.7442, 272,394,453,"28,025"
Thu 11:08:59 AM,34.7729,-114.8107, 271,397,457,"28,025"
Thu 11:09:29 AM,34.7743,-114.8755, 272,395,455,"28,050"
Thu 11:09:59 AM,34.7756,-114.9425, 271,394,453,"28,050"
Thu 11:10:30 AM,34.7768,-115.0089, 271,396,456,"28,000"
Thu 11:11:02 AM,34.7782,-115.0823, 271,394,453,"28,000"
