Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 10:03:38 PM    Departure (PHX) @ Thursday 08:03:38 PM MST,,,FlightAware ADS-B (KPHX)
Thu 10:03:38 PM,33.4312,-111.9985, 88,164,189,"1,450"
Thu 10:03:54 PM,33.4316,-111.9845, 88,167,192,"2,075"
Thu 10:04:10 PM,33.4319,-111.9694, 88,178,205,"2,575"
Thu 10:04:26 PM,33.4325,-111.9515, 88,201,231,"2,925"
Thu 10:04:42 PM,33.4330,-111.9326, 88,217,250,"3,400"
Thu 10:05:05 PM,33.4342,-111.9044, 87,234,269,"4,200"
Thu 10:05:21 PM,33.4337,-111.8822, 103,240,276,"4,900"
Thu 10:05:37 PM,33.4248,-111.8645, 134,242,278,"5,600"
Thu 10:05:54 PM,33.4099,-111.8516, 149,244,281,"6,350"
Thu 10:06:12 PM,33.3909,-111.8455, 182,242,278,"7,100"
Thu 10:06:29 PM,33.3736,-111.8521, 212,238,274,"7,850"
Thu 10:06:46 PM,33.3590,-111.8698, 235,239,275,"8,575"
Thu 10:07:04 PM,33.3535,-111.8889, 266,238,274,"9,350"
Thu 10:07:38 PM,33.3563,-111.9347, 276,242,278,"10,725"
Thu 10:08:08 PM,33.3603,-111.9775, 277,277,319,"11,225"
Thu 10:08:33 PM,33.3642,-112.0164, 279,281,323,"12,225"
Thu 10:08:49 PM,33.3678,-112.0401, 280,282,325,"12,950"
Thu 10:09:19 PM,33.3747,-112.0881, 280,297,342,"14,025"
Thu 10:09:49 PM,33.3821,-112.1358, 280,313,360,"14,925"
Thu 10:10:19 PM,33.3903,-112.1910, 280,338,389,"15,650"
Thu 10:10:39 PM,33.3956,-112.2279, 281,344,396,"16,375"
Thu 10:11:09 PM,33.4039,-112.2843, 280,353,406,"17,525"
Thu 10:11:39 PM,33.4124,-112.3425, 280,358,412,"18,675"
Thu 10:12:09 PM,33.4215,-112.4041, 280,366,421,"19,750"
Thu 10:12:39 PM,33.4302,-112.4638, 280,373,429,"20,800"
Thu 10:13:09 PM,33.4389,-112.5239, 280,378,435,"21,825"
Thu 10:13:39 PM,33.4478,-112.5862, 278,384,442,"22,800"
Thu 10:13:58 PM,33.4503,-112.6253, 271,388,447,"23,350"
Thu 10:14:28 PM,33.4512,-112.6906, 271,395,455,"24,200"
Thu 10:14:58 PM,33.4522,-112.7587, 272,401,461,"25,050"
Thu 10:15:16 PM,33.4560,-112.7966, 281,403,464,"25,525"
Thu 10:15:33 PM,33.4655,-112.8355, 290,405,466,"26,025"
Thu 10:16:10 PM,33.4907,-112.9083, 292,402,463,"27,225"
Thu 10:16:40 PM,33.5126,-112.9715, 293,400,460,"28,150"
Thu 10:17:10 PM,33.5342,-113.0333, 293,400,460,"28,975"
Thu 10:17:40 PM,33.5557,-113.0948, 293,400,460,"29,725"
Thu 10:18:10 PM,33.5766,-113.1545, 293,403,464,"30,400"
Thu 10:18:40 PM,33.5992,-113.2197, 292,407,468,"30,925"
Thu 10:19:10 PM,33.6197,-113.2789, 293,406,467,"31,575"
Thu 10:19:40 PM,33.6417,-113.3426, 293,413,475,"31,975"
Thu 10:20:10 PM,33.6643,-113.4077, 293,419,482,"32,025"
Thu 10:20:40 PM,33.6867,-113.4727, 292,419,482,"32,000"
Thu 10:21:14 PM,33.7123,-113.5475, 292,418,481,"32,000"
Thu 10:21:44 PM,33.7336,-113.6096, 292,418,481,"32,000"
Thu 10:22:15 PM,33.7560,-113.6754, 292,417,480,"32,000"
Thu 10:22:46 PM,33.7788,-113.7417, 292,415,478,"32,000"
Thu 10:23:16 PM,33.8001,-113.8040, 292,415,478,"32,000"
Thu 10:23:46 PM,33.8234,-113.8717, 292,414,476,"32,000"
Thu 10:24:16 PM,33.8440,-113.9319, 292,414,476,"32,000"
Thu 10:24:46 PM,33.8660,-113.9969, 292,414,476,"32,000"
Thu 10:25:07 PM,33.8801,-114.0442, 286,413,475,"32,000"
Thu 10:25:40 PM,33.8914,-114.1156, 279,413,475,"32,000"
Thu 10:26:10 PM,33.8998,-114.1833, 279,416,479,"32,000"
Thu 10:26:41 PM,33.9087,-114.2546, 278,417,480,"32,000"
Thu 10:27:13 PM,33.9175,-114.3271, 279,417,480,"32,000"
Thu 10:27:44 PM,33.9263,-114.3974, 278,417,480,"32,000"
Thu 10:28:14 PM,33.9348,-114.4686, 278,418,481,"32,000"
Thu 10:28:44 PM,33.9429,-114.5376, 278,418,481,"31,875"
