Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 11:23:07 AM    Departure (PHX) @ Thursday 08:23:07 AM MST,,,FlightAware ADS-B (KPHX)
Thu 11:23:07 AM,33.4310,-112.0002, 91,165,190,"1,350"
Thu 11:23:23 AM,33.4308,-111.9845, 91,165,190,"1,975"
Thu 11:23:39 AM,33.4307,-111.9706, 91,166,191,"2,550"
Thu 11:23:55 AM,33.4309,-111.9541, 88,184,212,"2,875"
Thu 11:24:11 AM,33.4318,-111.9382, 85,200,230,"3,150"
Thu 11:24:38 AM,33.4337,-111.9072, 86,225,259,"3,800"
Thu 11:24:56 AM,33.4339,-111.8812, 94,236,272,"4,450"
Thu 11:25:12 AM,33.4255,-111.8635, 136,240,276,"5,025"
Thu 11:25:32 AM,33.4076,-111.8498, 153,242,278,"5,800"
Thu 11:25:49 AM,33.3880,-111.8452, 186,246,283,"6,475"
Thu 11:26:07 AM,33.3700,-111.8542, 216,260,299,"6,825"
Thu 11:26:25 AM,33.3581,-111.8754, 253,271,312,"7,275"
Thu 11:26:43 AM,33.3574,-111.9027, 276,274,315,"7,950"
Thu 11:27:11 AM,33.3637,-111.9453, 280,281,323,"9,100"
Thu 11:27:51 AM,33.3711,-112.0080, 278,293,337,"10,825"
Thu 11:28:21 AM,33.3764,-112.0575, 277,324,373,"11,275"
Thu 11:28:51 AM,33.3820,-112.1108, 278,331,381,"12,375"
Thu 11:29:21 AM,33.3885,-112.1696, 277,336,387,"13,650"
Thu 11:29:51 AM,33.3938,-112.2205, 277,331,381,"15,100"
Thu 11:30:21 AM,33.3998,-112.2770, 277,334,384,"16,400"
Thu 11:30:51 AM,33.4055,-112.3330, 277,339,390,"17,550"
Thu 11:31:21 AM,33.4111,-112.3877, 277,347,399,"18,650"
Thu 11:31:51 AM,33.4171,-112.4471, 277,344,396,"20,075"
Thu 11:32:21 AM,33.4230,-112.5010, 277,330,380,"21,825"
Thu 11:32:51 AM,33.4285,-112.5568, 277,327,376,"23,200"
Thu 11:33:21 AM,33.4336,-112.6096, 277,334,384,"24,075"
Thu 11:33:51 AM,33.4389,-112.6631, 277,344,396,"24,775"
Thu 11:34:21 AM,33.4451,-112.7242, 277,354,407,"25,550"
