Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 12:07:16 PM    Departure (PHX) @ Thursday 09:07:16 AM MST,,,FlightAware ADS-B (KPHX)
Thu 12:07:16 PM,33.4309,-112.0042, 91,150,173,"1,750"
Thu 12:07:32 PM,33.4307,-111.9909, 90,152,175,"2,650"
Thu 12:07:48 PM,33.4312,-111.9772, 87,169,194,"3,300"
Thu 12:08:04 PM,33.4320,-111.9588, 88,206,237,"3,825"
Thu 12:08:20 PM,33.4325,-111.9417, 88,227,261,"4,425"
Thu 12:08:48 PM,33.4334,-111.9045, 89,242,278,"6,450"
Thu 12:09:06 PM,33.4319,-111.8785, 107,237,273,"8,400"
Thu 12:09:25 PM,33.4206,-111.8585, 138,253,291,"9,800"
Thu 12:09:42 PM,33.4028,-111.8461, 161,257,296,"11,225"
Thu 12:09:59 PM,33.3832,-111.8448, 192,249,287,"12,675"
Thu 12:10:16 PM,33.3664,-111.8556, 218,232,267,"14,375"
Thu 12:10:38 PM,33.3529,-111.8783, 253,244,281,"15,975"
Thu 12:10:55 PM,33.3533,-111.9013, 280,248,285,"17,300"
Thu 12:11:38 PM,33.3597,-111.9567, 277,238,274,"20,475"
Thu 12:12:08 PM,33.3632,-111.9984, 275,294,338,"21,250"
Thu 12:12:27 PM,33.3661,-112.0316, 278,319,367,"21,800"
Thu 12:12:57 PM,33.3746,-112.0870, 281,340,391,"23,450"
Thu 12:13:21 PM,33.3813,-112.1292, 280,350,403,"24,650"
Thu 12:13:51 PM,33.3898,-112.1869, 280,350,403,"25,000"
Thu 12:14:21 PM,33.3986,-112.2450, 280,349,402,"25,000"
Thu 12:14:51 PM,33.4062,-112.3017, 279,351,404,"25,075"
Thu 12:15:32 PM,33.4179,-112.3829, 280,379,436,"26,625"
Thu 12:16:02 PM,33.4272,-112.4437, 280,362,417,"29,200"
Thu 12:16:32 PM,33.4358,-112.5016, 280,360,414,"31,125"
Thu 12:17:02 PM,33.4446,-112.5625, 280,385,443,"31,975"
Thu 12:17:47 PM,33.4511,-112.6596, 271,403,464,"32,000"
Thu 12:18:17 PM,33.4521,-112.7280, 271,407,468,"32,025"
Thu 12:18:35 PM,33.4531,-112.7705, 273,409,471,"32,025"
Thu 12:18:55 PM,33.4600,-112.8147, 284,413,475,"32,000"
Thu 12:19:23 PM,33.4769,-112.8708, 292,415,478,"32,025"
Thu 12:19:54 PM,33.5001,-112.9372, 293,414,476,"32,000"
Thu 12:20:24 PM,33.5230,-113.0013, 293,414,476,"32,000"
Thu 12:20:55 PM,33.5468,-113.0681, 293,415,478,"32,000"
Thu 12:21:25 PM,33.5684,-113.1300, 293,416,479,"32,000"
Thu 12:21:55 PM,33.5913,-113.1962, 292,417,480,"32,000"
Thu 12:22:25 PM,33.6127,-113.2579, 292,417,480,"32,025"
Thu 12:22:55 PM,33.6341,-113.3200, 292,418,481,"32,000"
Thu 12:23:25 PM,33.6578,-113.3887, 292,417,480,"32,000"
Thu 12:23:58 PM,33.6812,-113.4564, 292,415,478,"32,025"
Thu 12:24:30 PM,33.7042,-113.5237, 292,415,478,"32,000"
