Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 12:15:16 AM    Departure (PHX) @ Thursday 10:15:16 PM MST,,,FlightAware ADS-B (KPHX)
Fri 12:15:16 AM,33.4310,-111.9942, 90,178,205,"1,400"
Fri 12:15:32 AM,33.4315,-111.9770, 87,178,205,"2,150"
Fri 12:15:48 AM,33.4322,-111.9602, 87,185,213,"2,800"
Fri 12:16:04 AM,33.4328,-111.9424, 88,203,234,"3,150"
Fri 12:16:20 AM,33.4332,-111.9257, 89,221,254,"3,525"
Fri 12:16:48 AM,33.4341,-111.8878, 90,241,277,"4,625"
Fri 12:17:07 AM,33.4281,-111.8645, 121,241,277,"5,475"
Fri 12:17:24 AM,33.4142,-111.8485, 145,244,281,"6,250"
Fri 12:17:42 AM,33.3941,-111.8399, 172,249,287,"7,000"
Fri 12:17:58 AM,33.3756,-111.8428, 201,247,284,"7,725"
Fri 12:18:14 AM,33.3616,-111.8553, 225,246,283,"8,325"
Fri 12:18:31 AM,33.3534,-111.8763, 255,240,276,"9,075"
Fri 12:18:50 AM,33.3527,-111.9007, 276,241,277,"9,850"
Fri 12:19:16 AM,33.3561,-111.9356, 277,251,289,"10,825"
Fri 12:19:36 AM,33.3591,-111.9643, 278,270,311,"11,250"
Fri 12:20:06 AM,33.3635,-112.0115, 276,308,354,"11,725"
Fri 12:20:40 AM,33.3726,-112.0731, 280,326,375,"12,900"
Fri 12:20:58 AM,33.3773,-112.1053, 280,336,387,"13,525"
Fri 12:21:28 AM,33.3856,-112.1611, 280,342,394,"14,925"
Fri 12:21:58 AM,33.3937,-112.2155, 280,338,389,"16,550"
Fri 12:22:28 AM,33.4019,-112.2698, 280,338,389,"18,100"
Fri 12:22:58 AM,33.4100,-112.3256, 280,351,404,"19,200"
Fri 12:23:28 AM,33.4186,-112.3839, 280,361,415,"20,275"
Fri 12:23:58 AM,33.4272,-112.4432, 280,368,423,"21,400"
Fri 12:24:28 AM,33.4364,-112.5062, 280,375,432,"22,550"
Fri 12:24:58 AM,33.4453,-112.5678, 280,379,436,"23,575"
Fri 12:25:24 AM,33.4502,-112.6192, 273,383,441,"24,425"
Fri 12:26:01 AM,33.4514,-112.6987, 271,380,437,"25,000"
Fri 12:26:31 AM,33.4526,-112.7642, 273,376,433,"25,000"
Fri 12:26:52 AM,33.4580,-112.8060, 283,376,433,"25,000"
Fri 12:27:10 AM,33.4675,-112.8410, 291,380,437,"25,125"
Fri 12:27:40 AM,33.4872,-112.8979, 292,385,443,"26,000"
Fri 12:28:11 AM,33.5098,-112.9634, 293,410,472,"26,025"
Fri 12:28:41 AM,33.5318,-113.0263, 293,421,484,"26,000"
Fri 12:29:12 AM,33.5544,-113.0910, 293,421,484,"26,000"
Fri 12:29:42 AM,33.5778,-113.1579, 293,421,484,"26,000"
Fri 12:30:12 AM,33.6003,-113.2226, 293,421,484,"26,000"
Fri 12:30:44 AM,33.6243,-113.2919, 292,422,486,"26,000"
Fri 12:31:14 AM,33.6466,-113.3564, 292,423,487,"26,000"
Fri 12:31:47 AM,33.6720,-113.4301, 292,424,488,"26,000"
Fri 12:32:17 AM,33.6947,-113.4959, 292,425,489,"26,000"
Fri 12:32:48 AM,33.7174,-113.5621, 292,427,491,"26,000"
Fri 12:33:15 AM,33.7371,-113.6196, 338,1024,1178,"26,000"
Fri 12:33:48 AM,33.7628,-113.6949, 292,431,496,"26,000"
Fri 12:34:18 AM,33.7851,-113.7597, 292,431,496,"26,000"
Fri 12:34:48 AM,33.8083,-113.8277, 292,434,499,"26,000"
Fri 12:35:19 AM,33.8310,-113.8951, 292,436,502,"26,000"
Fri 12:35:49 AM,33.8538,-113.9622, 292,437,503,"26,000"
Fri 12:36:19 AM,33.8770,-114.0309, 292,435,501,"26,000"
Fri 12:36:48 AM,33.8990,-114.0965, 290,436,502,"26,000"
Fri 12:37:07 AM,33.9090,-114.1375, 284,436,502,"26,000"
Fri 12:37:38 AM,33.9222,-114.2139, 282,435,501,"25,975"
Fri 12:38:08 AM,33.9337,-114.2803, 282,409,471,"26,000"
Fri 12:38:38 AM,33.9450,-114.3468, 282,409,471,"25,975"
Fri 12:39:08 AM,33.9564,-114.4153, 281,410,472,"26,000"
Fri 12:39:38 AM,33.9674,-114.4814, 281,410,472,"26,000"
Fri 12:40:08 AM,33.9783,-114.5472, 281,411,473,"26,000"
Fri 12:40:38 AM,33.9898,-114.6164, 281,411,473,"26,000"
Fri 12:41:08 AM,34.0008,-114.6822, 281,411,473,"26,000"
Fri 12:41:38 AM,34.0121,-114.7508, 281,413,475,"26,000"
Fri 12:42:08 AM,34.0234,-114.8175, 281,414,476,"26,000"
Fri 12:42:38 AM,34.0348,-114.8872, 281,415,478,"26,000"
Fri 12:43:09 AM,34.0459,-114.9557, 281,416,479,"26,000"
Fri 12:43:39 AM,34.0574,-115.0260, 281,415,478,"26,000"
Fri 12:44:09 AM,34.0682,-115.0925, 281,416,479,"26,000"
Fri 12:44:39 AM,34.0796,-115.1626, 281,416,479,"26,000"
Fri 12:45:09 AM,34.0907,-115.2306, 281,417,480,"26,000"
Fri 12:45:43 AM,34.1027,-115.3054, 281,417,480,"26,000"
Fri 12:46:14 AM,34.1139,-115.3753, 281,395,455,"26,000"
Fri 12:46:45 AM,34.1245,-115.4415, 281,392,451,"26,000"
Fri 12:47:06 AM,34.1316,-115.4860, 282,392,451,"26,000"
Fri 12:47:36 AM,34.1418,-115.5505, 282,391,450,"26,000"
Fri 12:47:55 AM,34.1484,-115.5920, 281,391,450,"26,000"
Fri 12:48:25 AM,34.1582,-115.6553, 280,391,450,"26,000"
Fri 12:48:41 AM,34.1609,-115.6907, 272,392,451,"26,000"
Fri 12:49:00 AM,34.1598,-115.7294, 265,394,453,"26,000"
Fri 12:49:31 AM,34.1531,-115.7990, 264,392,451,"26,000"
Fri 12:50:02 AM,34.1467,-115.8677, 263,401,461,"26,000"
Fri 12:50:32 AM,34.1404,-115.9322, 263,401,461,"26,000"
Fri 12:51:02 AM,34.1337,-116.0007, 263,403,464,"26,000"
Fri 12:51:33 AM,34.1272,-116.0663, 263,403,464,"26,000"
Fri 12:52:03 AM,34.1206,-116.1345, 263,404,465,"26,000"
Fri 12:52:33 AM,34.1137,-116.2034, 263,405,466,"26,000"
Fri 12:53:05 AM,34.1065,-116.2762, 263,406,467,"26,000"
