Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 01:46:46 PM    Departure (PHX) @ Thursday 10:46:46 AM MST,,,FlightAware ADS-B (KIWA)
Thu 01:46:46 PM,33.4309,-111.9889, 91,180,207,"1,825"
Thu 01:47:02 PM,33.4309,-111.9732, 89,181,208,"2,550"
Thu 01:47:18 PM,33.4320,-111.9553, 85,203,234,"3,000"
Thu 01:47:34 PM,33.4331,-111.9373, 87,220,253,"3,400"
Thu 01:47:59 PM,33.4342,-111.9047, 88,238,274,"4,450"
Thu 01:48:15 PM,33.4331,-111.8824, 101,243,280,"5,300"
Thu 01:48:31 PM,33.4232,-111.8630, 133,248,285,"6,075"
Thu 01:48:50 PM,33.4051,-111.8496, 153,247,284,"7,150"
Thu 01:49:07 PM,33.3875,-111.8463, 182,254,292,"7,875"
Thu 01:49:25 PM,33.3685,-111.8577, 220,258,297,"8,800"
Thu 01:49:41 PM,33.3584,-111.8776, 249,267,307,"9,425"
Thu 01:50:26 PM,33.3642,-111.9465, 279,299,344,"11,075"
Thu 01:50:56 PM,33.3707,-111.9985, 280,312,359,"12,400"
Thu 01:51:26 PM,33.3779,-112.0508, 279,330,380,"13,475"
Thu 01:51:56 PM,33.3851,-112.1038, 279,333,383,"14,825"
Thu 01:52:26 PM,33.3926,-112.1602, 279,339,390,"16,150"
Thu 01:52:56 PM,33.4001,-112.2156, 279,332,382,"17,750"
Thu 01:53:26 PM,33.4072,-112.2702, 279,339,390,"18,850"
Thu 01:53:56 PM,33.4145,-112.3256, 279,345,397,"19,975"
Thu 01:54:26 PM,33.4222,-112.3840, 279,344,396,"21,300"
Thu 01:54:56 PM,33.4292,-112.4370, 279,334,384,"22,775"
Thu 01:55:26 PM,33.4363,-112.4922, 279,345,397,"23,450"
Thu 01:55:56 PM,33.4439,-112.5511, 279,352,405,"24,300"
Thu 01:56:24 PM,33.4499,-112.6049, 275,352,405,"25,175"
Thu 01:57:09 PM,33.4515,-112.6916, 271,350,403,"26,525"
Thu 01:57:39 PM,33.4525,-112.7528, 272,358,412,"27,100"
Thu 01:58:02 PM,33.4569,-112.7966, 280,367,422,"27,550"
Thu 01:58:22 PM,33.4665,-112.8370, 290,380,437,"27,875"
Thu 01:58:58 PM,33.4904,-112.9056, 293,392,451,"28,000"
Thu 01:59:28 PM,33.5120,-112.9677, 293,394,453,"28,000"
Thu 02:00:00 PM,33.5345,-113.0321, 293,393,452,"28,000"
Thu 02:00:30 PM,33.5553,-113.0918, 293,392,451,"28,000"
Thu 02:01:01 PM,33.5768,-113.1538, 293,391,450,"28,000"
Thu 02:01:32 PM,33.5987,-113.2168, 293,390,449,"28,000"
Thu 02:02:03 PM,33.6196,-113.2771, 292,388,447,"28,000"
