Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 02:06:53 PM    Departure (PHX) @ Thursday 11:06:53 AM MST,,,FlightAware ADS-B (KPHX)
Thu 02:06:53 PM,33.4311,-112.0126, 90,116,133,"1,075"
Thu 02:07:09 PM,33.4311,-111.9977, 90,178,205,"1,275"
Thu 02:07:25 PM,33.4314,-111.9819, 89,174,200,"2,000"
Thu 02:07:41 PM,33.4316,-111.9658, 89,186,214,"2,650"
Thu 02:07:57 PM,33.4321,-111.9491, 88,200,230,"3,150"
Thu 02:08:13 PM,33.4327,-111.9289, 88,215,247,"3,725"
Thu 02:08:33 PM,33.4336,-111.9046, 88,238,274,"4,275"
Thu 02:08:50 PM,33.4333,-111.8822, 98,246,283,"5,050"
Thu 02:09:08 PM,33.4235,-111.8614, 137,248,285,"5,925"
Thu 02:09:24 PM,33.4068,-111.8494, 157,257,296,"6,600"
Thu 02:09:42 PM,33.3868,-111.8459, 183,257,296,"7,425"
Thu 02:10:01 PM,33.3652,-111.8571, 216,253,291,"8,450"
Thu 02:10:19 PM,33.3534,-111.8782, 249,250,288,"9,425"
Thu 02:11:03 PM,33.3566,-111.9386, 276,264,304,"11,375"
Thu 02:11:33 PM,33.3607,-111.9843, 277,300,345,"11,975"
Thu 02:11:53 PM,33.3645,-112.0206, 278,322,371,"12,425"
Thu 02:12:23 PM,33.3727,-112.0729, 280,327,376,"13,800"
Thu 02:12:53 PM,33.3810,-112.1284, 280,327,376,"15,325"
Thu 02:13:23 PM,33.3888,-112.1802, 280,331,381,"16,600"
Thu 02:13:53 PM,33.3966,-112.2330, 280,337,388,"17,775"
Thu 02:14:23 PM,33.4052,-112.2910, 280,345,397,"18,875"
Thu 02:14:53 PM,33.4134,-112.3471, 280,347,399,"20,075"
Thu 02:15:23 PM,33.4218,-112.4039, 280,349,402,"21,225"
Thu 02:15:53 PM,33.4301,-112.4610, 280,356,410,"22,075"
Thu 02:16:23 PM,33.4387,-112.5204, 280,363,418,"22,950"
Thu 02:16:53 PM,33.4472,-112.5798, 279,365,420,"23,950"
Thu 02:17:14 PM,33.4505,-112.6220, 273,365,420,"24,525"
Thu 02:17:51 PM,33.4515,-112.6967, 271,371,427,"25,550"
Thu 02:18:21 PM,33.4525,-112.7571, 272,371,427,"26,400"
Thu 02:18:42 PM,33.4576,-112.8024, 282,374,430,"27,000"
Thu 02:19:02 PM,33.4681,-112.8416, 292,379,436,"27,500"
Thu 02:19:32 PM,33.4886,-112.9003, 292,387,445,"27,975"
Thu 02:20:02 PM,33.5089,-112.9584, 293,392,451,"28,000"
Thu 02:20:32 PM,33.5297,-113.0186, 293,393,452,"28,000"
Thu 02:21:02 PM,33.5512,-113.0802, 293,393,452,"28,000"
Thu 02:21:32 PM,33.5715,-113.1385, 293,393,452,"28,000"
Thu 02:22:03 PM,33.5932,-113.2013, 293,392,451,"28,000"
Thu 02:22:33 PM,33.6142,-113.2615, 293,392,451,"27,975"
Thu 02:23:03 PM,33.6361,-113.3249, 293,393,452,"27,975"
Thu 02:23:33 PM,33.6563,-113.3834, 292,394,453,"27,975"
Thu 02:24:03 PM,33.6775,-113.4449, 293,394,453,"28,000"
Thu 02:24:33 PM,33.6974,-113.5025, 292,395,455,"28,000"
Thu 02:25:03 PM,33.7191,-113.5659, 292,396,456,"28,000"
Thu 02:25:33 PM,33.7395,-113.6251, 292,397,457,"28,000"
Thu 02:26:03 PM,33.7608,-113.6875, 292,397,457,"28,025"
Thu 02:26:33 PM,33.7818,-113.7491, 292,397,457,"28,025"
Thu 02:27:03 PM,33.8019,-113.8082, 292,395,455,"28,025"
Thu 02:27:33 PM,33.8226,-113.8689, 292,394,453,"28,025"
Thu 02:28:03 PM,33.8440,-113.9316, 292,392,451,"28,025"
Thu 02:28:33 PM,33.8646,-113.9925, 292,392,451,"28,000"
Thu 02:29:03 PM,33.8837,-114.0491, 292,392,451,"27,975"
Thu 02:29:20 PM,33.8956,-114.0848, 291,391,450,"27,975"
Thu 02:29:40 PM,33.9068,-114.1275, 285,388,447,"27,975"
Thu 02:30:10 PM,33.9180,-114.1886, 282,386,444,"27,975"
Thu 02:30:41 PM,33.9295,-114.2549, 282,386,444,"27,975"
Thu 02:31:17 PM,33.9425,-114.3315, 282,388,447,"27,975"
Thu 02:31:50 PM,33.9542,-114.4008, 281,389,448,"28,000"
Thu 02:32:20 PM,33.9652,-114.4667, 281,389,448,"28,000"
Thu 02:32:51 PM,33.9759,-114.5306, 281,390,449,"28,025"
Thu 02:33:23 PM,33.9872,-114.5983, 281,390,449,"28,025"
Thu 02:33:53 PM,33.9981,-114.6635, 281,390,449,"28,025"
Thu 02:34:23 PM,34.0084,-114.7254, 281,389,448,"28,025"
Thu 02:34:53 PM,34.0191,-114.7904, 281,386,444,"28,025"
