Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 02:05:58 PM    Departure (PHX) @ Thursday 12:05:58 PM MST,,,FlightAware ADS-B (KFFZ)
Thu 02:05:58 PM,33.4311,-112.0217, 270,162,186,"1,475"
Thu 02:06:14 PM,33.4319,-112.0359, 283,164,189,"2,125"
Thu 02:06:30 PM,33.4374,-112.0492, 302,176,203,"2,625"
Thu 02:06:46 PM,33.4448,-112.0633, 303,200,230,"2,975"
Thu 02:07:02 PM,33.4533,-112.0790, 303,218,251,"3,425"
Thu 02:07:31 PM,33.4688,-112.1081, 302,236,272,"4,550"
Thu 02:08:01 PM,33.4884,-112.1449, 303,275,316,"5,325"
Thu 02:08:20 PM,33.5016,-112.1691, 303,282,325,"6,150"
Thu 02:08:50 PM,33.5233,-112.2077, 305,275,316,"7,925"
Thu 02:09:08 PM,33.5336,-112.2344, 279,271,312,"8,825"
Thu 02:09:33 PM,33.5323,-112.2687, 265,269,310,"9,925"
Thu 02:10:03 PM,33.5290,-112.3150, 265,284,327,"10,950"
Thu 02:10:33 PM,33.5252,-112.3626, 265,301,346,"11,800"
Thu 02:10:53 PM,33.5210,-112.3976, 255,303,349,"12,575"
Thu 02:11:16 PM,33.5061,-112.4327, 237,302,348,"13,475"
Thu 02:11:46 PM,33.4846,-112.4723, 237,292,336,"14,975"
Thu 02:12:16 PM,33.4623,-112.5133, 237,298,343,"16,050"
Thu 02:12:46 PM,33.4389,-112.5564, 237,302,348,"17,175"
Thu 02:13:16 PM,33.4166,-112.5975, 237,306,352,"18,100"
Thu 02:13:46 PM,33.3933,-112.6405, 237,307,353,"19,225"
Thu 02:14:16 PM,33.3712,-112.6815, 237,315,362,"20,025"
Thu 02:14:46 PM,33.3459,-112.7277, 237,325,374,"20,800"
Thu 02:15:16 PM,33.3214,-112.7727, 237,346,398,"21,150"
Thu 02:15:46 PM,33.2941,-112.8231, 237,350,403,"22,000"
Thu 02:16:16 PM,33.2678,-112.8711, 237,353,406,"22,825"
Thu 02:16:46 PM,33.2416,-112.9190, 237,353,406,"23,700"
Thu 02:17:16 PM,33.2145,-112.9688, 237,361,415,"24,275"
Thu 02:17:46 PM,33.1871,-113.0188, 237,364,419,"24,950"
Thu 02:18:17 PM,33.1576,-113.0725, 237,368,423,"25,000"
Thu 02:18:47 PM,33.1299,-113.1228, 237,369,425,"25,200"
Thu 02:19:17 PM,33.1016,-113.1743, 237,371,427,"25,775"
Thu 02:19:47 PM,33.0733,-113.2257, 237,368,423,"26,650"
Thu 02:20:17 PM,33.0456,-113.2759, 237,369,425,"27,375"
Thu 02:20:47 PM,33.0174,-113.3269, 237,374,430,"27,950"
