Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 02:02:03 PM    Departure (PHX) @ Thursday 12:02:03 PM MST,,,FlightAware ADS-B (KIWA)
Thu 02:02:03 PM,33.4310,-112.0228, 270,175,201,"1,550"
Thu 02:02:19 PM,33.4311,-112.0374, 270,176,203,"2,275"
Thu 02:02:35 PM,33.4297,-112.0537, 259,186,214,"2,975"
Thu 02:02:51 PM,33.4254,-112.0707, 252,205,236,"3,450"
Thu 02:03:07 PM,33.4200,-112.0890, 250,224,258,"3,900"
Thu 02:03:24 PM,33.4139,-112.1093, 247,247,284,"4,350"
Thu 02:03:40 PM,33.4011,-112.1267, 216,260,299,"4,975"
Thu 02:03:56 PM,33.3835,-112.1336, 187,267,307,"5,700"
Thu 02:04:26 PM,33.3464,-112.1338, 179,265,305,"7,550"
Thu 02:04:56 PM,33.3093,-112.1317, 177,266,306,"8,050"
Thu 02:05:26 PM,33.2733,-112.1292, 176,269,310,"8,075"
Thu 02:05:42 PM,33.2517,-112.1311, 194,269,310,"8,075"
Thu 02:05:58 PM,33.2351,-112.1444, 223,265,305,"8,100"
Thu 02:06:27 PM,33.2167,-112.1794, 238,260,299,"8,100"
Thu 02:06:57 PM,33.1983,-112.2136, 238,258,297,"8,100"
Thu 02:07:27 PM,33.1795,-112.2498, 238,260,299,"9,025"
Thu 02:08:12 PM,33.1486,-112.3079, 236,292,336,"10,800"
Thu 02:08:42 PM,33.1244,-112.3493, 236,313,360,"11,800"
Thu 02:09:10 PM,33.1033,-112.3884, 239,295,339,"13,875"
Thu 02:09:40 PM,33.0822,-112.4299, 239,294,338,"15,550"
Thu 02:10:10 PM,33.0607,-112.4715, 239,302,348,"16,775"
Thu 02:10:40 PM,33.0390,-112.5139, 239,307,353,"18,075"
Thu 02:11:10 PM,33.0156,-112.5593, 239,313,360,"19,375"
Thu 02:11:40 PM,32.9927,-112.6036, 238,318,366,"20,525"
Thu 02:12:10 PM,32.9692,-112.6493, 239,321,369,"21,750"
Thu 02:12:30 PM,32.9565,-112.6805, 252,320,368,"22,525"
Thu 02:13:10 PM,32.9466,-112.7511, 260,319,367,"24,150"
Thu 02:13:40 PM,32.9394,-112.8023, 261,326,375,"24,950"
Thu 02:14:10 PM,32.9322,-112.8553, 261,331,381,"25,800"
Thu 02:14:41 PM,32.9245,-112.9121, 261,350,403,"26,225"
Thu 02:15:11 PM,32.9164,-112.9707, 261,366,421,"26,600"
Thu 02:15:41 PM,32.9078,-113.0340, 261,382,440,"26,950"
Thu 02:16:11 PM,32.8993,-113.0961, 261,396,456,"27,250"
Thu 02:16:42 PM,32.8899,-113.1646, 261,410,472,"27,500"
Thu 02:17:12 PM,32.8809,-113.2293, 261,424,488,"27,750"
Thu 02:17:43 PM,32.8708,-113.3025, 261,435,501,"27,975"
Thu 02:18:13 PM,32.8610,-113.3741, 261,438,504,"28,000"
Thu 02:18:43 PM,32.8512,-113.4441, 261,433,498,"28,000"
Thu 02:19:13 PM,32.8410,-113.5166, 260,432,497,"28,000"
Thu 02:19:43 PM,32.8310,-113.5865, 260,431,496,"28,000"
Thu 02:20:14 PM,32.8209,-113.6583, 261,430,495,"28,000"
Thu 02:20:44 PM,32.8109,-113.7287, 261,432,497,"28,000"
Thu 02:21:14 PM,32.8012,-113.7966, 260,431,496,"28,025"
Thu 02:21:44 PM,32.7911,-113.8668, 260,431,496,"28,025"
Thu 02:22:14 PM,32.7812,-113.9365, 261,429,494,"28,025"
Thu 02:22:54 PM,32.7756,-114.0285, 270,428,493,"28,025"
Thu 02:23:24 PM,32.7748,-114.1005, 269,430,495,"28,000"
Thu 02:23:54 PM,32.7739,-114.1714, 269,429,494,"28,000"
Thu 02:24:25 PM,32.7730,-114.2448, 269,429,494,"28,000"
Thu 02:24:55 PM,32.7721,-114.3148, 269,429,494,"28,000"
Thu 02:25:25 PM,32.7711,-114.3837, 269,428,493,"28,000"
Thu 02:25:56 PM,32.7702,-114.4576, 269,428,493,"28,000"
Thu 02:26:26 PM,32.7693,-114.5277, 269,428,493,"28,000"
Thu 02:26:56 PM,32.7682,-114.5979, 269,428,493,"28,000"
Thu 02:27:26 PM,32.7671,-114.6706, 269,427,491,"28,000"
Thu 02:27:57 PM,32.7658,-114.7414, 269,428,493,"28,000"
