Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 04:54:00 PM    Left Gate (PHX) @ Tuesday 01:54:00 PM MST,,,Airline
,,,
Taxi Time: 15 minutes,,,
Tue 05:09:26 PM    Departure (PHX) @ Tuesday 02:09:26 PM MST,,,FlightAware ADS-B (KPHX)
Tue 05:09:26 PM,33.4312,-112.0224, 271,165,190,"1,575"
Tue 05:09:42 PM,33.4316,-112.0383, 272,166,191,"2,275"
Tue 05:09:58 PM,33.4308,-112.0528, 259,178,205,"2,725"
Tue 05:10:14 PM,33.4267,-112.0682, 250,191,220,"3,225"
Tue 05:10:30 PM,33.4213,-112.0850, 249,210,242,"3,750"
Tue 05:10:55 PM,33.4124,-112.1162, 253,245,282,"4,675"
Tue 05:11:25 PM,33.4019,-112.1559, 252,257,296,"6,275"
Tue 05:11:48 PM,33.3932,-112.1886, 255,267,307,"7,575"
Tue 05:12:06 PM,33.3939,-112.2158, 279,267,307,"8,600"
Tue 05:12:51 PM,33.4033,-112.2812, 280,283,326,"11,000"
Tue 05:13:21 PM,33.4103,-112.3293, 280,306,352,"12,125"
Tue 05:13:51 PM,33.4181,-112.3820, 280,316,364,"13,650"
Tue 05:14:21 PM,33.4255,-112.4319, 280,323,372,"15,075"
Tue 05:14:51 PM,33.4335,-112.4856, 280,328,377,"16,575"
Tue 05:15:21 PM,33.4415,-112.5406, 280,330,380,"18,150"
Tue 05:15:49 PM,33.4488,-112.5913, 279,340,391,"19,275"
Tue 05:16:09 PM,33.4506,-112.6274, 270,345,397,"20,100"
Tue 05:16:39 PM,33.4513,-112.6873, 271,349,402,"21,450"
Tue 05:17:09 PM,33.4521,-112.7439, 271,351,404,"22,675"
Tue 05:17:27 PM,33.4529,-112.7784, 273,352,405,"23,375"
Tue 05:17:44 PM,33.4579,-112.8114, 286,346,398,"24,050"
Tue 05:18:28 PM,33.4839,-112.8875, 292,322,371,"26,500"
Tue 05:18:58 PM,33.5009,-112.9364, 293,324,373,"27,400"
Tue 05:19:28 PM,33.5185,-112.9865, 293,334,384,"27,925"
Tue 05:19:58 PM,33.5357,-113.0361, 293,346,398,"28,000"
Tue 05:20:28 PM,33.5555,-113.0928, 292,367,422,"28,000"
Tue 05:20:58 PM,33.5745,-113.1475, 292,378,435,"28,000"
Tue 05:21:28 PM,33.5953,-113.2077, 293,372,428,"28,000"
Tue 05:21:58 PM,33.6151,-113.2651, 293,369,425,"28,000"
Tue 05:22:28 PM,33.6351,-113.3228, 292,367,422,"28,000"
Tue 05:22:58 PM,33.6536,-113.3763, 292,365,420,"28,000"
Tue 05:23:29 PM,33.6735,-113.4339, 293,361,415,"28,000"
Tue 05:23:59 PM,33.6922,-113.4883, 292,358,412,"28,000"
Tue 05:24:29 PM,33.7117,-113.5451, 292,356,410,"27,975"
Tue 05:24:59 PM,33.7309,-113.6009, 292,355,409,"27,975"
Tue 05:25:29 PM,33.7484,-113.6520, 292,356,410,"27,950"
Tue 05:25:59 PM,33.7679,-113.7092, 292,356,410,"27,975"
Tue 05:26:29 PM,33.7867,-113.7642, 292,358,412,"27,975"
Tue 05:26:59 PM,33.8058,-113.8203, 292,361,415,"27,975"
Tue 05:27:30 PM,33.8249,-113.8761, 292,363,418,"28,025"
Tue 05:28:00 PM,33.8440,-113.9325, 292,364,419,"28,025"
Tue 05:28:30 PM,33.8627,-113.9875, 292,364,419,"28,050"
Tue 05:29:00 PM,33.8814,-114.0430, 292,366,421,"28,050"
Tue 05:29:27 PM,33.8987,-114.0953, 290,368,423,"28,025"
Tue 05:30:21 PM,33.9207,-114.2053, 281,379,436,"28,025"
Tue 05:30:51 PM,33.9316,-114.2691, 282,378,435,"28,025"
Tue 05:31:21 PM,33.9419,-114.3296, 282,378,435,"28,000"
