Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 08:23:00 PM    Left Gate (PHX) @ Tuesday 05:23:00 PM MST,,,Airline
,,,
Taxi Time: 16 minutes,,,
Tue 08:39:57 PM    Departure (PHX) @ Tuesday 05:39:57 PM MST,,,FlightAware ADS-B (KPHX)
Tue 08:39:57 PM,33.4312,-112.0272, 271,167,192,"1,700"
Tue 08:40:13 PM,33.4313,-112.0419, 269,157,181,"2,575"
Tue 08:40:29 PM,33.4287,-112.0564, 253,170,196,"3,050"
Tue 08:40:45 PM,33.4249,-112.0701, 251,187,215,"3,300"
Tue 08:41:01 PM,33.4199,-112.0879, 252,207,238,"3,600"
Tue 08:41:24 PM,33.4126,-112.1150, 253,236,272,"4,025"
Tue 08:41:54 PM,33.4024,-112.1532, 253,253,291,"5,125"
Tue 08:42:21 PM,33.3925,-112.1920, 259,261,300,"6,375"
Tue 08:42:51 PM,33.3965,-112.2335, 280,257,296,"7,850"
Tue 08:43:21 PM,33.4023,-112.2750, 279,258,297,"9,250"
Tue 08:44:06 PM,33.4123,-112.3426, 280,283,326,"10,800"
Tue 08:44:36 PM,33.4195,-112.3918, 280,310,357,"11,425"
Tue 08:45:06 PM,33.4271,-112.4434, 280,323,372,"12,350"
Tue 08:45:36 PM,33.4347,-112.4954, 280,324,373,"13,575"
Tue 08:46:06 PM,33.4424,-112.5483, 280,331,381,"14,450"
Tue 08:46:36 PM,33.4499,-112.6056, 276,343,395,"15,250"
Tue 08:47:17 PM,33.4511,-112.6812, 271,347,399,"16,725"
Tue 08:47:47 PM,33.4518,-112.7397, 271,351,404,"17,850"
Tue 08:48:08 PM,33.4526,-112.7823, 272,362,417,"18,250"
Tue 08:48:27 PM,33.4600,-112.8191, 291,365,420,"18,425"
Tue 08:49:01 PM,33.4823,-112.8824, 293,370,426,"19,450"
Tue 08:49:31 PM,33.5027,-112.9410, 292,359,413,"20,850"
Tue 08:50:01 PM,33.5196,-112.9905, 292,330,380,"22,775"
Tue 08:50:31 PM,33.5368,-113.0402, 293,314,361,"24,275"
Tue 08:51:01 PM,33.5543,-113.0899, 293,322,371,"24,875"
Tue 08:51:31 PM,33.5716,-113.1392, 293,329,379,"25,425"
Tue 08:52:01 PM,33.5893,-113.1903, 293,337,388,"25,900"
Tue 08:52:31 PM,33.6073,-113.2422, 293,340,391,"26,400"
Tue 08:53:01 PM,33.6262,-113.2967, 293,343,395,"26,900"
Tue 08:53:31 PM,33.6435,-113.3468, 293,348,400,"27,400"
Tue 08:54:01 PM,33.6623,-113.4010, 292,351,404,"27,925"
Tue 08:54:34 PM,33.6828,-113.4607, 293,361,415,"28,000"
Tue 08:55:04 PM,33.7022,-113.5168, 292,357,411,"28,000"
Tue 08:55:34 PM,33.7209,-113.5717, 292,355,409,"28,000"
Tue 08:56:04 PM,33.7393,-113.6254, 292,356,410,"28,000"
Tue 08:56:36 PM,33.7593,-113.6839, 292,357,411,"28,000"
Tue 08:57:08 PM,33.7793,-113.7424, 292,358,412,"28,000"
Tue 08:57:38 PM,33.7988,-113.7996, 292,358,412,"28,000"
Tue 08:58:08 PM,33.8171,-113.8533, 292,358,412,"28,000"
Tue 08:58:38 PM,33.8361,-113.9095, 292,358,412,"27,975"
Tue 08:59:08 PM,33.8544,-113.9631, 292,359,413,"28,000"
Tue 08:59:38 PM,33.8732,-114.0187, 292,359,413,"28,000"
Tue 09:00:08 PM,33.8922,-114.0748, 292,358,412,"28,025"
Tue 09:00:38 PM,33.9084,-114.1345, 284,366,421,"28,000"
Tue 09:01:11 PM,33.9195,-114.1978, 282,370,426,"28,000"
Tue 09:01:41 PM,33.9301,-114.2598, 282,373,429,"27,975"
Tue 09:02:11 PM,33.9403,-114.3198, 282,373,429,"28,000"
Tue 09:02:41 PM,33.9510,-114.3828, 281,374,430,"28,025"
Tue 09:03:11 PM,33.9606,-114.4409, 281,374,430,"28,025"
Tue 09:03:42 PM,33.9713,-114.5047, 281,373,429,"28,025"
Tue 09:04:13 PM,33.9823,-114.5704, 281,373,429,"28,025"
Tue 09:04:43 PM,33.9922,-114.6294, 281,374,430,"28,025"
Tue 09:05:13 PM,34.0025,-114.6921, 281,373,429,"28,025"
Tue 09:05:43 PM,34.0127,-114.7528, 281,371,427,"28,000"
Tue 09:06:13 PM,34.0228,-114.8141, 281,369,425,"27,950"
Tue 09:06:44 PM,34.0328,-114.8748, 281,368,423,"27,975"
Tue 09:07:14 PM,34.0428,-114.9361, 281,368,423,"27,950"
Tue 09:07:45 PM,34.0525,-114.9959, 281,369,425,"28,025"
Tue 09:08:15 PM,34.0625,-115.0567, 281,371,427,"28,025"
Tue 09:08:45 PM,34.0723,-115.1173, 281,373,429,"28,050"
Tue 09:09:16 PM,34.0828,-115.1816, 281,374,430,"28,025"
Tue 09:09:47 PM,34.0932,-115.2453, 281,376,433,"28,050"
Tue 09:10:17 PM,34.1030,-115.3066, 281,377,434,"28,050"
Tue 09:10:59 PM,34.1168,-115.3925, 282,376,433,"28,050"
Tue 09:11:29 PM,34.1266,-115.4544, 282,377,434,"28,050"
Tue 09:11:59 PM,34.1363,-115.5153, 281,378,435,"28,000"
Tue 09:12:29 PM,34.1462,-115.5776, 282,378,435,"28,000"
Tue 09:12:59 PM,34.1560,-115.6407, 280,380,437,"28,000"
Tue 09:13:18 PM,34.1597,-115.6838, 274,388,447,"27,975"
Tue 09:13:41 PM,34.1592,-115.7324, 266,396,456,"28,000"
Tue 09:14:22 PM,34.1509,-115.8220, 263,401,461,"28,025"
Tue 09:14:53 PM,34.1442,-115.8917, 263,403,464,"28,025"
Tue 09:15:24 PM,34.1376,-115.9594, 263,403,464,"28,025"
Tue 09:15:54 PM,34.1310,-116.0263, 263,402,463,"28,025"
Tue 09:16:24 PM,34.1246,-116.0926, 263,402,463,"28,025"
Tue 09:16:54 PM,34.1179,-116.1603, 263,388,447,"28,000"
Tue 09:17:24 PM,34.1116,-116.2213, 263,360,414,"28,000"
Tue 09:17:54 PM,34.1059,-116.2795, 263,344,396,"28,000"
Tue 09:18:24 PM,34.1001,-116.3373, 263,342,394,"28,000"
Tue 09:19:08 PM,34.0913,-116.4191, 263,341,392,"28,000"
Tue 09:19:38 PM,34.0851,-116.4766, 263,342,394,"28,000"
Tue 09:20:08 PM,34.0793,-116.5313, 263,342,394,"27,825"
Tue 09:20:32 PM,34.0742,-116.5774, 264,338,389,"27,425"
Tue 09:21:02 PM,34.0686,-116.6336, 264,339,390,"26,925"
Tue 09:21:42 PM,34.0620,-116.7081, 264,339,390,"25,925"
Tue 09:22:12 PM,34.0568,-116.7644, 264,337,388,"24,975"
Tue 09:22:36 PM,34.0526,-116.8094, 265,338,389,"24,225"
Tue 09:23:13 PM,34.0462,-116.8786, 265,334,384,"23,200"
Tue 09:23:40 PM,34.0403,-116.9273, 261,327,376,"22,525"
Tue 09:24:10 PM,34.0331,-116.9809, 261,319,367,"21,775"
Tue 09:24:36 PM,34.0269,-117.0276, 261,309,356,"21,150"
Tue 09:25:06 PM,34.0208,-117.0763, 262,311,358,"20,125"
Tue 09:25:36 PM,34.0151,-117.1270, 262,315,362,"19,100"
Tue 09:26:06 PM,34.0086,-117.1809, 262,310,357,"18,275"
Tue 09:26:36 PM,34.0024,-117.2325, 262,311,358,"17,325"
Tue 09:27:04 PM,33.9971,-117.2783, 262,313,360,"16,475"
Tue 09:27:34 PM,33.9905,-117.3335, 262,309,356,"15,600"
Tue 09:28:04 PM,33.9849,-117.3817, 262,309,356,"14,750"
Tue 09:28:34 PM,33.9788,-117.4327, 262,304,350,"13,975"
Tue 09:29:00 PM,33.9742,-117.4722, 263,301,346,"13,250"
Tue 09:29:16 PM,33.9754,-117.5034, 281,286,329,"12,850"
Tue 09:29:55 PM,33.9852,-117.5596, 282,269,310,"12,275"
Tue 09:30:25 PM,33.9933,-117.6061, 282,272,313,"11,350"
Tue 09:30:51 PM,33.9994,-117.6411, 282,271,312,"10,700"
Tue 09:31:13 PM,34.0054,-117.6774, 278,272,313,"10,050"
Tue 09:31:34 PM,34.0042,-117.7074, 264,276,318,"9,525"
Tue 09:31:52 PM,34.0015,-117.7346, 263,275,316,"9,050"
