Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 08:40:10 AM    Departure (PHX) @ Tuesday 05:40:10 AM MST,,,FlightAware ADS-B (KGEU)
Tue 08:40:10 AM,33.4408,-112.0348, 269,183,211,"1,825"
Tue 08:40:26 AM,33.4378,-112.0519, 250,192,221,"2,550"
Tue 08:40:42 AM,33.4322,-112.0678, 247,210,242,"3,125"
Tue 08:40:58 AM,33.4265,-112.0845, 248,207,238,"4,200"
Tue 08:41:25 AM,33.4160,-112.1159, 249,247,284,"5,250"
Tue 08:41:55 AM,33.4034,-112.1549, 249,248,285,"7,350"
Tue 08:42:17 AM,33.3946,-112.1829, 251,259,298,"8,575"
Tue 08:42:36 AM,33.3924,-112.2120, 274,266,306,"9,700"
Tue 08:43:15 AM,33.4007,-112.2681, 280,292,336,"11,425"
Tue 08:43:45 AM,33.4083,-112.3205, 280,323,372,"12,450"
Tue 08:44:15 AM,33.4162,-112.3727, 280,326,375,"14,200"
Tue 08:44:45 AM,33.4243,-112.4257, 280,327,376,"15,900"
Tue 08:45:15 AM,33.4327,-112.4821, 280,326,375,"17,700"
Tue 08:45:45 AM,33.4406,-112.5352, 280,331,381,"19,075"
Tue 08:46:15 AM,33.4483,-112.5893, 278,337,388,"20,400"
Tue 08:46:33 AM,33.4503,-112.6209, 272,341,392,"21,125"
Tue 08:47:03 AM,33.4511,-112.6802, 271,348,400,"22,400"
Tue 08:47:33 AM,33.4519,-112.7389, 271,350,403,"23,700"
Tue 08:47:53 AM,33.4532,-112.7772, 275,351,404,"24,475"
Tue 08:48:10 AM,33.4579,-112.8082, 282,349,402,"25,100"
Tue 08:48:30 AM,33.4688,-112.8458, 292,350,403,"25,825"
Tue 08:49:00 AM,33.4875,-112.8996, 293,352,405,"26,900"
Tue 08:49:30 AM,33.5061,-112.9527, 293,345,397,"28,275"
Tue 08:50:00 AM,33.5241,-113.0045, 293,342,394,"29,375"
Tue 08:50:30 AM,33.5427,-113.0570, 293,339,390,"30,450"
Tue 08:51:00 AM,33.5608,-113.1091, 293,333,383,"31,625"
Tue 08:51:34 AM,33.5801,-113.1642, 293,333,383,"32,000"
Tue 08:52:05 AM,33.5988,-113.2173, 293,333,383,"32,000"
Tue 08:52:35 AM,33.6164,-113.2679, 292,332,382,"32,000"
Tue 08:53:05 AM,33.6341,-113.3196, 292,332,382,"32,000"
Tue 08:53:35 AM,33.6512,-113.3700, 292,332,382,"32,000"
Tue 08:54:07 AM,33.6702,-113.4250, 293,332,382,"32,000"
Tue 08:54:37 AM,33.6882,-113.4771, 292,333,383,"32,000"
Tue 08:55:07 AM,33.7058,-113.5283, 292,333,383,"32,000"
Tue 08:55:37 AM,33.7235,-113.5802, 292,333,383,"32,000"
Tue 08:56:07 AM,33.7407,-113.6307, 292,332,382,"32,000"
Tue 08:56:37 AM,33.7588,-113.6824, 293,332,382,"32,000"
Tue 08:57:07 AM,33.7764,-113.7337, 292,331,381,"32,000"
Tue 08:57:37 AM,33.7932,-113.7831, 292,330,380,"32,000"
Tue 08:58:14 AM,33.8081,-113.8482, 283,333,383,"32,000"
Tue 08:58:49 AM,33.8207,-113.9116, 283,332,382,"32,000"
Tue 08:59:23 AM,33.8324,-113.9702, 283,332,382,"32,000"
Tue 08:59:53 AM,33.8439,-114.0276, 284,332,382,"32,000"
Tue 09:00:23 AM,33.8541,-114.0782, 284,332,382,"32,000"
Tue 09:00:54 AM,33.8657,-114.1366, 283,331,381,"32,000"
Tue 09:01:24 AM,33.8764,-114.1906, 283,341,392,"32,025"
Tue 09:01:54 AM,33.8877,-114.2468, 283,360,414,"32,025"
Tue 09:02:24 AM,33.8994,-114.3068, 283,366,421,"32,000"
Tue 09:02:54 AM,33.9109,-114.3655, 283,366,421,"32,000"
Tue 09:03:24 AM,33.9222,-114.4227, 283,365,420,"32,000"
Tue 09:03:59 AM,33.9356,-114.4914, 283,365,420,"32,000"
Tue 09:04:30 AM,33.9476,-114.5524, 283,364,419,"32,000"
Tue 09:05:01 AM,33.9595,-114.6132, 283,364,419,"32,000"
Tue 09:05:33 AM,33.9726,-114.6800, 283,365,420,"32,000"
Tue 09:06:03 AM,33.9837,-114.7376, 283,365,420,"32,000"
Tue 09:06:34 AM,33.9956,-114.7996, 283,364,419,"32,000"
Tue 09:07:14 AM,34.0109,-114.8792, 283,362,417,"32,000"
Tue 09:07:44 AM,34.0217,-114.9354, 283,362,417,"32,000"
Tue 09:08:15 AM,34.0336,-114.9974, 283,361,415,"32,000"
Tue 09:08:45 AM,34.0447,-115.0553, 283,361,415,"32,000"
Tue 09:09:15 AM,34.0557,-115.1124, 283,358,412,"32,000"
Tue 09:09:45 AM,34.0674,-115.1741, 283,358,412,"32,000"
Tue 09:10:16 AM,34.0784,-115.2327, 283,357,411,"32,000"
Tue 09:10:35 AM,34.0854,-115.2698, 283,356,410,"32,000"
Tue 09:11:05 AM,34.0964,-115.3282, 284,353,406,"32,000"
Tue 09:11:36 AM,34.1073,-115.3863, 283,352,405,"32,000"
Tue 09:12:06 AM,34.1179,-115.4424, 283,350,403,"32,000"
Tue 09:12:36 AM,34.1287,-115.5003, 283,350,403,"32,000"
Tue 09:13:05 AM,34.1386,-115.5534, 284,349,402,"32,000"
Tue 09:13:35 AM,34.1497,-115.6140, 283,347,399,"32,000"
Tue 09:14:01 AM,34.1584,-115.6616, 281,350,403,"32,000"
Tue 09:14:32 AM,34.1604,-115.7236, 266,367,422,"32,000"
Tue 09:15:18 AM,34.1517,-115.8157, 264,369,425,"32,000"
Tue 09:15:48 AM,34.1458,-115.8771, 263,369,425,"32,000"
Tue 09:16:18 AM,34.1396,-115.9406, 263,367,422,"32,000"
Tue 09:16:49 AM,34.1335,-116.0022, 263,364,419,"32,000"
Tue 09:17:19 AM,34.1275,-116.0645, 263,361,415,"32,000"
Tue 09:17:49 AM,34.1217,-116.1232, 263,364,419,"32,000"
Tue 09:18:19 AM,34.1158,-116.1828, 263,364,419,"32,000"
Tue 09:18:49 AM,34.1095,-116.2453, 263,362,417,"32,000"
