Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 09:19:00 AM    Left Gate (PHX) @ Tuesday 06:19:00 AM MST,,,Airline
,,,
Taxi Time: 24 minutes,,,
Tue 09:43:32 AM    Departure (PHX) @ Tuesday 06:43:32 AM MST,,,FlightAware ADS-B (KPHX)
Tue 09:43:32 AM,33.4408,-112.0003, 89,158,182,"1,675"
Tue 09:43:48 AM,33.4406,-111.9848, 93,159,183,"2,450"
Tue 09:44:04 AM,33.4399,-111.9711, 94,178,205,"2,775"
Tue 09:44:20 AM,33.4387,-111.9531, 94,203,234,"3,050"
Tue 09:44:36 AM,33.4377,-111.9357, 94,211,243,"3,575"
Tue 09:45:01 AM,33.4363,-111.9049, 93,218,251,"4,675"
Tue 09:45:18 AM,33.4350,-111.8855, 102,234,269,"5,150"
Tue 09:45:36 AM,33.4248,-111.8647, 136,238,274,"5,800"
Tue 09:45:55 AM,33.4081,-111.8502, 153,242,278,"6,550"
Tue 09:46:12 AM,33.3897,-111.8460, 181,238,274,"7,225"
Tue 09:46:30 AM,33.3709,-111.8547, 220,237,273,"7,925"
Tue 09:46:47 AM,33.3602,-111.8720, 247,237,273,"8,625"
Tue 09:47:15 AM,33.3557,-111.9076, 266,240,276,"9,975"
Tue 09:47:58 AM,33.3597,-111.9687, 277,279,321,"11,375"
Tue 09:48:28 AM,33.3646,-112.0158, 279,278,320,"13,150"
Tue 09:48:58 AM,33.3714,-112.0622, 280,297,342,"14,300"
Tue 09:49:29 AM,33.3794,-112.1156, 280,335,386,"14,925"
Tue 09:49:59 AM,33.3875,-112.1708, 280,341,392,"16,400"
Tue 09:50:29 AM,33.3956,-112.2270, 280,345,397,"17,850"
Tue 09:50:59 AM,33.4039,-112.2839, 280,347,399,"19,300"
Tue 09:51:29 AM,33.4120,-112.3391, 280,351,404,"20,600"
Tue 09:51:59 AM,33.4211,-112.4011, 280,363,418,"21,725"
Tue 09:52:29 AM,33.4297,-112.4596, 280,370,426,"22,725"
Tue 09:52:59 AM,33.4383,-112.5189, 280,371,427,"23,950"
Tue 09:53:29 AM,33.4472,-112.5804, 279,371,427,"25,150"
Tue 09:53:53 AM,33.4503,-112.6280, 271,376,433,"26,000"
Tue 09:54:29 AM,33.4515,-112.7053, 271,381,438,"27,150"
Tue 09:54:56 AM,33.4524,-112.7644, 273,383,441,"28,000"
Tue 09:55:17 AM,33.4576,-112.8057, 283,383,441,"28,500"
Tue 09:55:41 AM,33.4712,-112.8516, 293,382,440,"29,125"
Tue 09:56:11 AM,33.4923,-112.9128, 293,386,444,"29,950"
Tue 09:56:41 AM,33.5127,-112.9714, 293,389,448,"30,675"
Tue 09:57:11 AM,33.5336,-113.0311, 293,393,452,"31,300"
Tue 09:57:41 AM,33.5543,-113.0903, 293,392,451,"32,000"
Tue 09:58:11 AM,33.5751,-113.1503, 293,391,450,"32,000"
Tue 09:58:41 AM,33.5956,-113.2091, 293,391,450,"32,000"
Tue 09:59:11 AM,33.6172,-113.2715, 293,391,450,"32,000"
Tue 09:59:41 AM,33.6384,-113.3328, 293,391,450,"32,000"
Tue 10:00:11 AM,33.6582,-113.3900, 292,392,451,"32,000"
Tue 10:00:41 AM,33.6786,-113.4493, 293,393,452,"32,000"
Tue 10:01:11 AM,33.7001,-113.5119, 292,394,453,"32,000"
Tue 10:01:41 AM,33.7210,-113.5722, 292,395,455,"32,000"
Tue 10:02:11 AM,33.7416,-113.6328, 292,394,453,"32,000"
Tue 10:02:41 AM,33.7623,-113.6932, 292,393,452,"32,000"
Tue 10:03:11 AM,33.7830,-113.7539, 292,393,452,"32,000"
Tue 10:03:41 AM,33.8035,-113.8143, 292,391,450,"32,000"
Tue 10:04:11 AM,33.8242,-113.8744, 292,391,450,"32,000"
Tue 10:04:41 AM,33.8445,-113.9342, 292,390,449,"32,000"
Tue 10:05:11 AM,33.8648,-113.9945, 292,388,447,"32,000"
Tue 10:05:41 AM,33.8849,-114.0538, 292,388,447,"32,000"
Tue 10:06:11 AM,33.9040,-114.1140, 286,389,448,"32,000"
Tue 10:06:53 AM,33.9205,-114.2044, 282,391,450,"32,000"
Tue 10:07:23 AM,33.9316,-114.2695, 282,390,449,"32,000"
Tue 10:07:53 AM,33.9424,-114.3333, 281,390,449,"32,000"
Tue 10:08:23 AM,33.9533,-114.3976, 282,389,448,"32,000"
Tue 10:08:53 AM,33.9640,-114.4609, 281,390,449,"32,000"
Tue 10:09:23 AM,33.9743,-114.5229, 281,389,448,"32,000"
Tue 10:09:53 AM,33.9852,-114.5884, 281,389,448,"32,000"
Tue 10:10:23 AM,33.9950,-114.6471, 282,387,445,"32,000"
Tue 10:10:53 AM,34.0062,-114.7136, 281,387,445,"32,000"
Tue 10:11:23 AM,34.0167,-114.7777, 281,385,443,"32,000"
Tue 10:11:54 AM,34.0274,-114.8435, 281,385,443,"32,000"
Tue 10:12:24 AM,34.0376,-114.9057, 281,384,442,"32,000"
Tue 10:12:54 AM,34.0472,-114.9643, 281,383,441,"32,000"
Tue 10:13:24 AM,34.0582,-115.0305, 281,382,440,"32,000"
Tue 10:13:54 AM,34.0684,-115.0928, 281,382,440,"32,000"
Tue 10:14:24 AM,34.0786,-115.1562, 281,381,438,"32,000"
Tue 10:14:54 AM,34.0887,-115.2191, 281,378,435,"32,000"
Tue 10:15:24 AM,34.0987,-115.2811, 281,375,432,"32,000"
Tue 10:15:55 AM,34.1084,-115.3419, 281,372,428,"32,000"
Tue 10:16:25 AM,34.1185,-115.4047, 281,370,426,"32,000"
Tue 10:16:55 AM,34.1284,-115.4659, 281,369,425,"32,000"
Tue 10:17:26 AM,34.1380,-115.5262, 281,369,425,"32,000"
Tue 10:17:43 AM,34.1428,-115.5564, 281,369,425,"32,000"
Tue 10:18:13 AM,34.1527,-115.6192, 281,369,425,"32,000"
Tue 10:18:31 AM,34.1584,-115.6566, 278,372,428,"32,000"
Tue 10:18:51 AM,34.1610,-115.6990, 270,382,440,"32,000"
Tue 10:19:08 AM,34.1594,-115.7345, 264,391,450,"32,000"
Tue 10:19:38 AM,34.1531,-115.8006, 264,391,450,"32,000"
