Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 09:52:16 AM    Departure (PHX) @ Tuesday 06:52:16 AM MST,,,FlightAware ADS-B (KDVT)
Tue 09:52:16 AM,33.4408,-112.0041, 90,154,177,"1,400"
Tue 09:52:32 AM,33.4406,-111.9909, 92,144,166,"2,225"
Tue 09:52:48 AM,33.4399,-111.9772, 94,159,183,"2,725"
Tue 09:53:04 AM,33.4390,-111.9621, 94,194,223,"2,875"
Tue 09:53:20 AM,33.4380,-111.9432, 94,203,234,"3,500"
Tue 09:53:36 AM,33.4373,-111.9260, 92,215,247,"4,125"
Tue 09:53:52 AM,33.4367,-111.9071, 93,228,262,"4,700"
Tue 09:54:10 AM,33.4349,-111.8812, 100,240,276,"5,450"
Tue 09:54:34 AM,33.4203,-111.8572, 139,245,282,"6,375"
Tue 09:54:51 AM,33.4022,-111.8441, 162,249,287,"7,150"
Tue 09:55:08 AM,33.3845,-111.8438, 195,240,276,"7,850"
Tue 09:55:30 AM,33.3636,-111.8582, 214,241,277,"8,825"
Tue 09:55:48 AM,33.3517,-111.8771, 252,258,297,"9,175"
Tue 09:56:09 AM,33.3539,-111.9086, 280,263,303,"10,075"
Tue 09:56:39 AM,33.3587,-111.9528, 276,278,320,"11,200"
Tue 09:57:09 AM,33.3631,-112.0019, 277,313,360,"11,600"
Tue 09:57:28 AM,33.3672,-112.0348, 279,311,358,"12,500"
Tue 09:57:59 AM,33.3749,-112.0865, 280,306,352,"14,075"
Tue 09:58:29 AM,33.3820,-112.1345, 280,306,352,"15,325"
Tue 09:58:59 AM,33.3896,-112.1861, 280,303,349,"16,700"
Tue 09:59:29 AM,33.3973,-112.2382, 280,335,386,"16,875"
Tue 09:59:59 AM,33.4053,-112.2926, 280,344,396,"17,650"
Tue 10:00:29 AM,33.4137,-112.3501, 280,345,397,"18,625"
Tue 10:00:59 AM,33.4218,-112.4055, 280,348,400,"19,575"
Tue 10:01:29 AM,33.4299,-112.4611, 280,353,406,"20,250"
Tue 10:02:00 AM,33.4387,-112.5214, 280,361,415,"20,925"
Tue 10:02:29 AM,33.4470,-112.5810, 278,366,421,"21,600"
Tue 10:02:59 AM,33.4508,-112.6427, 271,373,429,"22,300"
Tue 10:03:29 AM,33.4515,-112.7033, 271,369,425,"23,250"
Tue 10:04:00 AM,33.4524,-112.7647, 271,368,423,"24,050"
Tue 10:04:18 AM,33.4567,-112.8030, 282,368,423,"24,425"
Tue 10:04:39 AM,33.4677,-112.8429, 292,371,427,"24,775"
Tue 10:05:09 AM,33.4876,-112.8996, 293,374,430,"25,350"
Tue 10:05:39 AM,33.5075,-112.9562, 293,375,432,"26,000"
Tue 10:06:09 AM,33.5273,-113.0126, 293,373,429,"26,800"
Tue 10:06:41 AM,33.5498,-113.0772, 293,377,434,"27,475"
Tue 10:07:11 AM,33.5696,-113.1341, 293,379,436,"28,025"
Tue 10:07:41 AM,33.5892,-113.1906, 293,377,434,"28,725"
Tue 10:08:11 AM,33.6091,-113.2481, 292,368,423,"29,750"
Tue 10:08:46 AM,33.6318,-113.3137, 292,355,409,"30,000"
Tue 10:09:16 AM,33.6506,-113.3679, 293,356,410,"30,000"
Tue 10:09:46 AM,33.6694,-113.4225, 292,359,413,"30,000"
Tue 10:10:16 AM,33.6881,-113.4769, 292,357,411,"30,000"
Tue 10:10:46 AM,33.7069,-113.5316, 292,360,414,"30,000"
Tue 10:11:16 AM,33.7260,-113.5872, 292,359,413,"30,000"
Tue 10:11:46 AM,33.7450,-113.6427, 292,357,411,"30,000"
Tue 10:12:17 AM,33.7638,-113.6977, 292,354,407,"30,000"
Tue 10:12:47 AM,33.7829,-113.7536, 292,357,411,"30,000"
Tue 10:13:17 AM,33.8016,-113.8085, 292,358,412,"30,000"
Tue 10:13:48 AM,33.8209,-113.8652, 292,355,409,"30,000"
Tue 10:14:18 AM,33.8406,-113.9229, 292,355,409,"30,000"
Tue 10:14:48 AM,33.8591,-113.9778, 292,356,410,"30,000"
Tue 10:15:18 AM,33.8778,-114.0328, 292,356,410,"30,000"
Tue 10:15:49 AM,33.8963,-114.0877, 291,356,410,"30,000"
Tue 10:16:26 AM,33.9130,-114.1598, 282,362,417,"30,000"
Tue 10:16:56 AM,33.9225,-114.2159, 282,361,415,"30,000"
Tue 10:17:26 AM,33.9326,-114.2752, 281,363,418,"30,000"
Tue 10:17:56 AM,33.9430,-114.3372, 282,361,415,"30,000"
Tue 10:18:26 AM,33.9527,-114.3946, 282,361,415,"30,000"
Tue 10:18:56 AM,33.9626,-114.4533, 281,362,417,"30,000"
Tue 10:19:26 AM,33.9725,-114.5123, 281,358,412,"30,000"
Tue 10:19:42 AM,33.9793,-114.5438, 290,351,404,"30,000"
Tue 10:20:08 AM,33.9984,-114.5904, 298,346,398,"30,000"
Tue 10:20:39 AM,34.0205,-114.6401, 298,345,397,"30,000"
Tue 10:21:10 AM,34.0444,-114.6941, 298,344,396,"30,000"
Tue 10:21:42 AM,34.0678,-114.7478, 298,345,397,"30,000"
Tue 10:22:12 AM,34.0905,-114.7999, 298,344,396,"30,000"
Tue 10:22:42 AM,34.1127,-114.8518, 297,341,392,"30,000"
Tue 10:23:04 AM,34.1276,-114.8869, 297,339,390,"30,000"
Tue 10:23:34 AM,34.1480,-114.9360, 297,338,389,"30,000"
Tue 10:24:05 AM,34.1693,-114.9887, 296,338,389,"30,000"
Tue 10:24:35 AM,34.1905,-115.0429, 291,337,388,"30,000"
Tue 10:24:53 AM,34.1964,-115.0722, 277,348,400,"30,000"
Tue 10:25:36 AM,34.1946,-115.1574, 266,361,415,"30,000"
Tue 10:26:09 AM,34.1906,-115.2232, 266,342,394,"30,000"
Tue 10:26:39 AM,34.1873,-115.2830, 266,339,390,"30,000"
Tue 10:27:09 AM,34.1842,-115.3389, 266,335,386,"30,000"
Tue 10:27:39 AM,34.1813,-115.3900, 266,332,382,"30,000"
Tue 10:28:09 AM,34.1780,-115.4481, 266,331,381,"30,000"
Tue 10:28:39 AM,34.1748,-115.5024, 266,329,379,"30,000"
Tue 10:29:09 AM,34.1716,-115.5578, 266,328,377,"30,000"
Tue 10:29:39 AM,34.1684,-115.6120, 266,331,381,"30,000"
Tue 10:30:09 AM,34.1651,-115.6689, 266,332,382,"30,000"
Tue 10:30:33 AM,34.1622,-115.7118, 264,334,384,"30,000"
Tue 10:31:03 AM,34.1567,-115.7655, 263,334,384,"30,000"
Tue 10:31:33 AM,34.1509,-115.8248, 263,335,386,"30,000"
Tue 10:32:03 AM,34.1455,-115.8800, 263,334,384,"30,000"
Tue 10:32:33 AM,34.1403,-115.9324, 264,331,381,"30,000"
Tue 10:33:03 AM,34.1347,-115.9903, 263,331,381,"30,000"
Tue 10:33:33 AM,34.1294,-116.0438, 263,331,381,"30,000"
Tue 10:34:03 AM,34.1239,-116.1001, 263,330,380,"30,000"
Tue 10:34:33 AM,34.1187,-116.1536, 263,331,381,"30,000"
Tue 10:35:03 AM,34.1131,-116.2099, 263,332,382,"30,000"
Tue 10:35:34 AM,34.1076,-116.2648, 264,332,382,"30,000"
Tue 10:36:04 AM,34.1018,-116.3221, 263,333,383,"30,000"
Tue 10:36:26 AM,34.0977,-116.3601, 264,331,381,"30,000"
Tue 10:37:05 AM,34.0901,-116.4311, 263,332,382,"30,000"
Tue 10:37:46 AM,34.0818,-116.5081, 263,336,387,"29,450"
Tue 10:38:16 AM,34.0761,-116.5597, 263,322,371,"28,625"
Tue 10:38:57 AM,34.0688,-116.6319, 264,303,349,"27,450"
Tue 10:39:23 AM,34.0650,-116.6746, 265,293,337,"26,800"
Tue 10:39:42 AM,34.0622,-116.7051, 264,292,336,"26,300"
Tue 10:40:04 AM,34.0588,-116.7416, 265,287,330,"25,750"
Tue 10:40:42 AM,34.0533,-116.8012, 264,282,325,"24,775"
Tue 10:41:12 AM,34.0491,-116.8459, 264,275,316,"24,050"
Tue 10:41:42 AM,34.0447,-116.8924, 264,269,310,"23,325"
Tue 10:42:10 AM,34.0395,-116.9336, 261,277,319,"22,650"
Tue 10:42:30 AM,34.0354,-116.9647, 262,277,319,"22,150"
Tue 10:42:52 AM,34.0310,-116.9977, 262,278,320,"21,625"
Tue 10:43:14 AM,34.0266,-117.0316, 261,278,320,"21,050"
Tue 10:43:44 AM,34.0209,-117.0791, 262,276,318,"20,300"
Tue 10:44:14 AM,34.0157,-117.1236, 262,284,327,"19,600"
Tue 10:44:44 AM,34.0100,-117.1719, 262,288,331,"18,825"
Tue 10:45:06 AM,34.0060,-117.2054, 262,289,333,"18,275"
Tue 10:45:36 AM,34.0002,-117.2536, 262,291,335,"17,500"
Tue 10:46:07 AM,33.9942,-117.3038, 262,293,337,"16,625"
Tue 10:46:45 AM,33.9872,-117.3632, 262,289,333,"15,650"
Tue 10:47:13 AM,33.9819,-117.4083, 263,286,329,"14,950"
Tue 10:47:43 AM,33.9762,-117.4562, 262,284,327,"14,150"
Tue 10:48:01 AM,33.9742,-117.4827, 269,277,319,"13,875"
Tue 10:48:22 AM,33.9773,-117.5164, 282,278,320,"13,375"
Tue 10:49:01 AM,33.9875,-117.5737, 282,277,319,"12,425"
Tue 10:49:31 AM,33.9958,-117.6201, 282,271,312,"11,700"
Tue 10:49:59 AM,34.0031,-117.6623, 281,274,315,"11,000"
Tue 10:50:15 AM,34.0052,-117.6850, 273,274,315,"10,650"
Tue 10:50:56 AM,34.0007,-117.7461, 264,273,314,"10,000"
Tue 10:51:26 AM,33.9961,-117.7938, 263,268,308,"9,275"
Tue 10:51:56 AM,33.9919,-117.8362, 263,259,298,"8,600"
Tue 10:52:26 AM,33.9878,-117.8786, 263,242,278,"8,000"
Tue 10:52:56 AM,33.9841,-117.9163, 263,230,265,"7,400"
Tue 10:53:26 AM,33.9803,-117.9554, 263,223,257,"6,775"
Tue 10:53:56 AM,33.9768,-117.9901, 263,216,249,"6,225"
Tue 10:54:26 AM,33.9733,-118.0256, 263,215,247,"5,650"
Tue 10:54:49 AM,33.9706,-118.0534, 264,214,246,"5,250"
Tue 10:55:19 AM,33.9671,-118.0899, 264,217,250,"4,775"
Tue 10:55:42 AM,33.9645,-118.1157, 263,219,252,"4,400"
Tue 10:56:12 AM,33.9606,-118.1538, 263,211,243,"3,825"
Tue 10:56:39 AM,33.9577,-118.1834, 264,194,223,"3,475"
Tue 10:57:09 AM,33.9545,-118.2145, 263,190,219,"3,025"
Tue 10:57:36 AM,33.9518,-118.2417, 264,190,219,"2,525"
Tue 10:58:06 AM,33.9488,-118.2734, 263,184,212,"2,125"
Tue 10:58:36 AM,33.9457,-118.3010, 263,154,177,"1,575"
,,,
Tue 10:59:01 AM,33.9437,-118.3211, 263,141,162,"1,150"
,,,
Tue 10:59:16 AM,33.9426,-118.3329, 263,140,161,925
Tue 10:59:32 AM,33.9411,-118.3452, 262,139,160,750
Tue 10:59:48 AM,33.9400,-118.3575, 265,140,161,525
Tue 11:00:04 AM,33.9386,-118.3706, 262,139,160,275
Tue 11:00:20 AM,33.9375,-118.3819, 263,139,160,100
Tue 11:00:37 AM,33.9361,-118.3948, 263,122,140,
,,,
Tue 11:01:09 AM    Arrival (LAX) @ Tuesday 08:01:09 AM PDT,,,FlightAware
,,,
Taxi Time: 22 minutes,,,
Tue 11:24:00 AM    Gate Arrival (LAX) @ Tuesday 08:24:00 AM PDT,,,Delta Air Lines
