Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 10:33:31 PM    Departure (PHX) @ Tuesday 07:33:31 PM MST,,,FlightAware ADS-B (KFFZ)
Tue 10:33:31 PM,33.4311,-112.0075, 90,157,181,"1,225"
Tue 10:33:47 PM,33.4309,-111.9941, 91,167,192,"1,950"
Tue 10:34:03 PM,33.4310,-111.9784, 89,186,214,"2,525"
Tue 10:34:19 PM,33.4312,-111.9618, 91,205,236,"2,900"
Tue 10:34:35 PM,33.4320,-111.9421, 86,224,258,"3,375"
Tue 10:35:04 PM,33.4340,-111.9027, 88,259,298,"4,300"
Tue 10:35:20 PM,33.4340,-111.8831, 97,253,291,"5,300"
Tue 10:35:39 PM,33.4233,-111.8593, 140,261,300,"6,025"
Tue 10:35:55 PM,33.4072,-111.8465, 156,254,292,"6,875"
Tue 10:36:13 PM,33.3846,-111.8437, 191,261,300,"7,425"
Tue 10:36:30 PM,33.3686,-111.8560, 240,260,299,"7,975"
Tue 10:36:46 PM,33.3620,-111.8764, 266,251,289,"8,650"
Tue 10:37:02 PM,33.3634,-111.9001, 278,253,291,"9,450"
Tue 10:37:32 PM,33.3698,-111.9417, 280,261,300,"10,675"
Tue 10:38:02 PM,33.3754,-111.9835, 279,253,291,"12,350"
Tue 10:38:32 PM,33.3806,-112.0246, 279,256,295,"13,675"
Tue 10:39:02 PM,33.3860,-112.0678, 279,276,318,"14,600"
Tue 10:39:32 PM,33.3918,-112.1154, 278,293,337,"15,450"
Tue 10:40:02 PM,33.3978,-112.1644, 278,294,338,"16,725"
Tue 10:40:32 PM,33.4035,-112.2114, 278,292,336,"17,950"
Tue 10:41:02 PM,33.4091,-112.2585, 278,282,325,"19,375"
Tue 10:41:32 PM,33.4146,-112.3039, 278,274,315,"20,675"
Tue 10:42:02 PM,33.4201,-112.3497, 278,266,306,"21,950"
Tue 10:42:32 PM,33.4253,-112.3927, 278,263,303,"23,025"
Tue 10:43:02 PM,33.4303,-112.4344, 278,266,306,"23,750"
Tue 10:43:32 PM,33.4359,-112.4800, 278,271,312,"24,525"
Tue 10:44:02 PM,33.4412,-112.5253, 278,272,313,"25,375"
Tue 10:44:32 PM,33.4463,-112.5684, 278,274,315,"26,200"
Tue 10:44:52 PM,33.4493,-112.5979, 275,278,320,"26,775"
