Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 11:05:29 AM    Departure (PHX) @ Tuesday 08:05:29 AM MST,,,FlightAware ADS-B (KPHX)
Tue 11:05:29 AM,33.4313,-112.0067, 87,143,165,"1,550"
Tue 11:05:45 AM,33.4318,-111.9942, 87,150,173,"2,375"
Tue 11:06:01 AM,33.4323,-111.9798, 88,173,199,"3,000"
Tue 11:06:17 AM,33.4327,-111.9617, 89,207,238,"3,550"
Tue 11:06:33 AM,33.4330,-111.9410, 89,235,270,"4,250"
Tue 11:07:02 AM,33.4339,-111.9053, 88,252,290,"6,050"
Tue 11:07:20 AM,33.4320,-111.8793, 108,254,292,"7,425"
Tue 11:07:36 AM,33.4208,-111.8604, 140,256,295,"8,575"
Tue 11:07:52 AM,33.4041,-111.8483, 160,267,307,"9,475"
Tue 11:08:12 AM,33.3792,-111.8486, 198,282,325,"10,350"
Tue 11:08:28 AM,33.3622,-111.8616, 228,300,345,"10,875"
Tue 11:08:48 AM,33.3517,-111.8948, 269,315,362,"11,725"
Tue 11:09:08 AM,33.3562,-111.9288, 283,323,372,"12,900"
Tue 11:09:53 AM,33.3700,-112.0084, 280,327,376,"16,025"
Tue 11:10:23 AM,33.3774,-112.0621, 279,326,375,"17,975"
Tue 11:10:53 AM,33.3846,-112.1163, 279,336,387,"19,650"
Tue 11:11:23 AM,33.3919,-112.1716, 279,332,382,"21,550"
Tue 11:11:53 AM,33.3987,-112.2230, 279,321,369,"23,625"
Tue 11:12:23 AM,33.4059,-112.2764, 279,330,380,"24,950"
Tue 11:12:53 AM,33.4134,-112.3316, 279,360,414,"25,475"
Tue 11:13:23 AM,33.4218,-112.3940, 279,379,436,"26,200"
Tue 11:13:53 AM,33.4302,-112.4563, 279,380,437,"27,500"
Tue 11:14:24 AM,33.4388,-112.5203, 279,379,436,"27,975"
Tue 11:14:54 AM,33.4468,-112.5823, 277,392,451,"28,025"
Tue 11:15:16 AM,33.4500,-112.6338, 271,411,473,"28,200"
Tue 11:15:47 AM,33.4509,-112.7012, 272,409,471,"29,250"
Tue 11:16:04 AM,33.4530,-112.7395, 276,403,464,"29,975"
Tue 11:16:26 AM,33.4589,-112.7875, 280,395,455,"30,975"
Tue 11:16:54 AM,33.4710,-112.8459, 287,391,450,"31,750"
Tue 11:17:20 AM,33.4866,-112.8975, 292,384,442,"32,000"
Tue 11:17:59 AM,33.5131,-112.9733, 293,386,444,"32,000"
Tue 11:18:29 AM,33.5339,-113.0330, 293,388,447,"32,000"
Tue 11:18:59 AM,33.5557,-113.0955, 293,387,445,"31,975"
Tue 11:19:29 AM,33.5752,-113.1513, 293,388,447,"32,000"
Tue 11:19:59 AM,33.5963,-113.2121, 293,387,445,"32,000"
Tue 11:20:30 AM,33.6176,-113.2731, 293,387,445,"32,000"
Tue 11:21:01 AM,33.6393,-113.3358, 292,387,445,"32,000"
Tue 11:21:31 AM,33.6593,-113.3944, 292,386,444,"32,000"
Tue 11:22:02 AM,33.6807,-113.4565, 293,386,444,"32,000"
Tue 11:22:32 AM,33.7011,-113.5160, 292,386,444,"32,000"
Tue 11:23:02 AM,33.7208,-113.5732, 292,385,443,"32,000"
Tue 11:23:32 AM,33.7420,-113.6350, 292,385,443,"32,000"
