Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 11:40:00 PM    Left Gate (PHX) @ Tuesday 08:40:00 PM MST,,,Airline
,,,
Taxi Time: 16 minutes,,,
Tue 11:56:08 PM    Departure (PHX) @ Tuesday 08:56:08 PM MST,,,FlightAware ADS-B (KFFZ)
Tue 11:56:08 PM,33.4310,-111.9926, 91,155,178,"1,775"
Tue 11:56:24 PM,33.4311,-111.9792, 89,168,193,"2,250"
Tue 11:56:40 PM,33.4318,-111.9623, 86,186,214,"2,575"
Tue 11:56:56 PM,33.4326,-111.9462, 87,202,232,"2,875"
Tue 11:57:12 PM,33.4334,-111.9277, 87,222,255,"3,150"
Tue 11:57:29 PM,33.4340,-111.9060, 90,238,274,"3,650"
Tue 11:57:45 PM,33.4329,-111.8843, 99,240,276,"4,300"
Tue 11:58:01 PM,33.4246,-111.8648, 134,243,280,"4,825"
Tue 11:58:19 PM,33.4077,-111.8508, 150,246,283,"5,450"
Tue 11:58:35 PM,33.3904,-111.8466, 182,242,278,"6,050"
Tue 11:58:51 PM,33.3734,-111.8529, 212,235,270,"6,700"
Tue 11:59:07 PM,33.3616,-111.8672, 237,229,264,"7,400"
Tue 11:59:23 PM,33.3566,-111.8860, 263,225,259,"8,100"
Tue 11:59:41 PM,33.3547,-111.9091, 269,227,261,"8,925"
Wed 12:00:03 AM,33.3564,-111.9354, 276,233,268,"9,750"
Wed 12:00:33 AM,33.3603,-111.9761, 277,267,307,"10,350"
Wed 12:01:00 AM,33.3644,-112.0181, 279,272,313,"11,650"
Wed 12:01:38 AM,33.3726,-112.0730, 280,283,326,"13,200"
Wed 12:02:08 AM,33.3798,-112.1203, 280,289,333,"14,550"
Wed 12:02:38 AM,33.3869,-112.1696, 280,295,339,"16,050"
Wed 12:03:08 AM,33.3938,-112.2163, 280,287,330,"17,675"
Wed 12:03:38 AM,33.4008,-112.2630, 280,285,328,"19,175"
Wed 12:04:08 AM,33.4078,-112.3099, 280,284,327,"20,500"
Wed 12:04:38 AM,33.4144,-112.3545, 280,279,321,"21,125"
