Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 01:08:04 AM    Departure (PHX) @ Tuesday 10:08:04 PM MST,,,FlightAware ADS-B (KPHX)
Wed 01:08:04 AM,33.4309,-111.9968, 91,172,198,"1,425"
Wed 01:08:20 AM,33.4307,-111.9816, 90,174,200,"2,300"
Wed 01:08:36 AM,33.4312,-111.9638, 88,196,226,"2,925"
Wed 01:08:52 AM,33.4318,-111.9465, 87,219,252,"3,175"
Wed 01:09:08 AM,33.4325,-111.9266, 88,245,282,"3,500"
Wed 01:09:24 AM,33.4334,-111.9025, 88,248,285,"4,375"
Wed 01:09:40 AM,33.4323,-111.8820, 104,250,288,"5,125"
Wed 01:09:56 AM,33.4220,-111.8617, 133,253,291,"5,875"
Wed 01:10:15 AM,33.4024,-111.8496, 164,253,291,"6,800"
Wed 01:10:31 AM,33.3837,-111.8483, 189,253,291,"7,550"
Wed 01:10:50 AM,33.3650,-111.8600, 223,245,282,"8,475"
Wed 01:11:07 AM,33.3551,-111.8780, 249,240,276,"9,300"
Wed 01:11:25 AM,33.3534,-111.9015, 277,239,275,"10,200"
Wed 01:11:55 AM,33.3579,-111.9429, 278,257,296,"11,600"
Wed 01:12:26 AM,33.3625,-111.9885, 276,307,353,"12,125"
Wed 01:12:44 AM,33.3660,-112.0229, 280,335,386,"12,425"
Wed 01:13:14 AM,33.3741,-112.0770, 280,352,405,"13,650"
Wed 01:13:44 AM,33.3829,-112.1387, 280,362,417,"15,325"
Wed 01:14:14 AM,33.3909,-112.1955, 280,355,409,"17,325"
Wed 01:14:44 AM,33.3991,-112.2517, 280,350,403,"19,150"
Wed 01:15:14 AM,33.4077,-112.3090, 280,350,403,"20,725"
Wed 01:15:44 AM,33.4159,-112.3651, 280,348,400,"22,250"
Wed 01:16:14 AM,33.4243,-112.4230, 280,353,406,"23,525"
Wed 01:16:44 AM,33.4331,-112.4833, 280,360,414,"24,000"
Wed 01:17:14 AM,33.4417,-112.5422, 280,363,418,"23,975"
Wed 01:17:38 AM,33.4483,-112.5899, 278,364,419,"23,975"
Wed 01:18:09 AM,33.4507,-112.6509, 271,371,427,"23,975"
Wed 01:18:39 AM,33.4516,-112.7154, 271,370,426,"23,975"
Wed 01:19:09 AM,33.4529,-112.7754, 275,365,420,"23,975"
Wed 01:19:26 AM,33.4580,-112.8098, 284,357,411,"23,975"
Wed 01:20:07 AM,33.4811,-112.8808, 293,357,411,"24,000"
Wed 01:20:37 AM,33.5012,-112.9383, 293,359,413,"23,975"
Wed 01:21:07 AM,33.5201,-112.9922, 293,359,413,"23,975"
Wed 01:21:37 AM,33.5393,-113.0473, 293,359,413,"23,975"
Wed 01:22:07 AM,33.5580,-113.1009, 293,359,413,"23,975"
Wed 01:22:38 AM,33.5780,-113.1587, 292,359,413,"23,975"
Wed 01:23:08 AM,33.5970,-113.2132, 293,360,414,"23,975"
Wed 01:23:38 AM,33.6157,-113.2676, 292,360,414,"23,975"
Wed 01:24:08 AM,33.6358,-113.3257, 293,361,415,"23,975"
Wed 01:24:38 AM,33.6544,-113.3792, 292,362,417,"23,975"
Wed 01:25:08 AM,33.6735,-113.4348, 293,364,419,"23,975"
Wed 01:25:38 AM,33.6932,-113.4915, 293,364,419,"23,975"
Wed 01:26:08 AM,33.7124,-113.5471, 292,363,418,"23,975"
Wed 01:26:38 AM,33.7318,-113.6039, 292,363,418,"23,975"
Wed 01:27:08 AM,33.7510,-113.6602, 292,363,418,"23,975"
Wed 01:27:38 AM,33.7696,-113.7147, 292,363,418,"23,975"
Wed 01:28:08 AM,33.7890,-113.7717, 292,362,417,"23,975"
Wed 01:28:38 AM,33.8083,-113.8282, 292,362,417,"23,975"
Wed 01:29:00 AM,33.8205,-113.8695, 285,367,422,"23,975"
Wed 01:29:42 AM,33.8323,-113.9540, 279,372,428,"23,975"
Wed 01:30:12 AM,33.8400,-114.0152, 279,371,427,"23,975"
Wed 01:30:42 AM,33.8475,-114.0757, 279,370,426,"23,975"
Wed 01:31:12 AM,33.8550,-114.1353, 278,368,423,"23,975"
Wed 01:31:43 AM,33.8631,-114.2004, 279,367,422,"23,975"
Wed 01:32:13 AM,33.8707,-114.2619, 278,366,421,"23,975"
Wed 01:32:43 AM,33.8780,-114.3219, 278,366,421,"23,975"
Wed 01:33:13 AM,33.8855,-114.3824, 278,368,423,"23,975"
Wed 01:33:47 AM,33.8935,-114.4484, 278,368,423,"23,975"
Wed 01:34:17 AM,33.9011,-114.5101, 278,369,425,"23,975"
Wed 01:34:50 AM,33.9091,-114.5776, 278,369,425,"23,975"
Wed 01:35:20 AM,33.9165,-114.6391, 278,370,426,"23,975"
Wed 01:35:50 AM,33.9239,-114.7004, 278,370,426,"23,975"
Wed 01:36:21 AM,33.9312,-114.7621, 278,371,427,"23,975"
Wed 01:36:51 AM,33.9383,-114.8220, 278,371,427,"23,975"
Wed 01:37:21 AM,33.9456,-114.8831, 278,370,426,"23,975"
Wed 01:37:51 AM,33.9530,-114.9457, 278,371,427,"23,975"
