Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 01:56:57 PM    Departure (PHX) @ Tuesday 10:56:57 AM MST,,,FlightAware ADS-B (KCHD)
Tue 01:56:57 PM,33.4310,-112.0340, 270,172,198,"1,900"
Tue 01:57:13 PM,33.4309,-112.0491, 267,175,201,"2,575"
Tue 01:57:29 PM,33.4277,-112.0670, 253,196,226,"3,025"
Tue 01:57:45 PM,33.4231,-112.0827, 250,216,249,"3,350"
Tue 01:58:12 PM,33.4126,-112.1167, 249,259,298,"3,950"
Tue 01:58:42 PM,33.4009,-112.1581, 252,263,303,"5,625"
Tue 01:59:02 PM,33.3935,-112.1859, 254,262,302,"6,800"
Tue 01:59:22 PM,33.3928,-112.2152, 279,270,311,"7,775"
Tue 01:59:45 PM,33.3984,-112.2486, 281,266,306,"9,225"
Tue 02:00:30 PM,33.4085,-112.3170, 280,302,348,"10,725"
Tue 02:01:00 PM,33.4159,-112.3677, 280,329,379,"11,500"
Tue 02:01:30 PM,33.4242,-112.4242, 280,334,384,"12,900"
Tue 02:02:00 PM,33.4323,-112.4786, 280,330,380,"14,625"
Tue 02:02:30 PM,33.4399,-112.5305, 280,336,387,"15,900"
Tue 02:03:00 PM,33.4484,-112.5886, 280,345,397,"17,000"
Tue 02:03:17 PM,33.4505,-112.6194, 272,350,403,"17,700"
Tue 02:03:54 PM,33.4513,-112.6918, 271,359,413,"19,050"
Tue 02:04:24 PM,33.4522,-112.7521, 271,359,413,"20,350"
Tue 02:04:41 PM,33.4531,-112.7872, 274,360,414,"20,975"
Tue 02:04:57 PM,33.4594,-112.8171, 290,358,412,"21,525"
Tue 02:05:31 PM,33.4813,-112.8794, 292,365,420,"22,525"
Tue 02:06:01 PM,33.5007,-112.9357, 293,358,412,"23,875"
Tue 02:06:31 PM,33.5198,-112.9908, 293,364,419,"24,600"
Tue 02:07:01 PM,33.5391,-113.0462, 293,367,422,"25,475"
Tue 02:07:31 PM,33.5588,-113.1027, 293,367,422,"26,400"
Tue 02:08:01 PM,33.5787,-113.1600, 293,368,423,"27,200"
Tue 02:08:31 PM,33.5984,-113.2168, 292,370,426,"27,900"
Tue 02:09:01 PM,33.6182,-113.2738, 293,376,433,"28,000"
Tue 02:09:31 PM,33.6380,-113.3310, 293,377,434,"28,000"
Tue 02:10:02 PM,33.6587,-113.3910, 292,373,429,"28,000"
Tue 02:10:33 PM,33.6787,-113.4490, 292,370,426,"28,000"
Tue 02:11:03 PM,33.6980,-113.5053, 292,366,421,"28,000"
Tue 02:11:37 PM,33.7200,-113.5692, 292,362,417,"28,000"
Tue 02:12:07 PM,33.7400,-113.6276, 292,361,415,"27,975"
Tue 02:12:37 PM,33.7581,-113.6806, 292,360,414,"27,950"
Tue 02:13:08 PM,33.7769,-113.7356, 292,360,414,"27,950"
Tue 02:13:38 PM,33.7966,-113.7934, 292,360,414,"28,000"
Tue 02:14:08 PM,33.8158,-113.8498, 292,360,414,"28,000"
Tue 02:14:38 PM,33.8341,-113.9036, 292,359,413,"28,050"
