Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 04:57:00 PM    Left Gate (PHX) @ Wednesday 01:57:00 PM MST,,,Airline
,,,
Taxi Time: 16 minutes,,,
Wed 05:13:00 PM    Departure (PHX) @ Wednesday 02:13:00 PM MST,,,FlightAware ADS-B (KCHD)
Wed 05:13:00 PM,33.4311,-111.9991, 89,176,203,"1,150"
Wed 05:13:16 PM,33.4314,-111.9832, 88,172,198,"1,925"
Wed 05:13:32 PM,33.4320,-111.9680, 86,179,206,"2,575"
Wed 05:13:48 PM,33.4330,-111.9518, 86,189,217,"3,150"
Wed 05:14:04 PM,33.4336,-111.9327, 88,204,235,"3,825"
Wed 05:14:27 PM,33.4340,-111.9078, 89,221,254,"4,600"
Wed 05:14:45 PM,33.4331,-111.8824, 100,241,277,"5,325"
Wed 05:15:03 PM,33.4228,-111.8627, 137,247,284,"6,175"
Wed 05:15:21 PM,33.4060,-111.8505, 155,251,289,"7,025"
Wed 05:15:37 PM,33.3875,-111.8466, 180,258,297,"7,750"
Wed 05:15:56 PM,33.3664,-111.8578, 215,263,303,"8,625"
Wed 05:16:15 PM,33.3533,-111.8775, 248,253,291,"9,600"
Wed 05:16:33 PM,33.3535,-111.9009, 284,238,274,"10,700"
Wed 05:16:58 PM,33.3577,-111.9344, 274,253,291,"11,650"
Wed 05:17:28 PM,33.3610,-111.9825, 276,288,331,"12,425"
Wed 05:17:57 PM,33.3663,-112.0303, 280,324,373,"13,025"
Wed 05:18:27 PM,33.3742,-112.0821, 280,341,392,"14,000"
Wed 05:19:12 PM,33.3869,-112.1683, 280,344,396,"16,400"
Wed 05:19:42 PM,33.3952,-112.2245, 280,347,399,"17,725"
Wed 05:20:12 PM,33.4036,-112.2813, 280,350,403,"19,050"
Wed 05:20:33 PM,33.4096,-112.3216, 280,354,407,"19,875"
Wed 05:21:03 PM,33.4182,-112.3806, 280,356,410,"21,125"
Wed 05:21:33 PM,33.4270,-112.4403, 280,375,432,"21,750"
Wed 05:22:03 PM,33.4357,-112.5005, 280,375,432,"22,900"
Wed 05:22:33 PM,33.4444,-112.5603, 280,378,435,"23,875"
Wed 05:22:51 PM,33.4492,-112.6015, 276,384,442,"24,350"
Wed 05:23:13 PM,33.4508,-112.6473, 271,390,449,"24,850"
Wed 05:23:43 PM,33.4517,-112.7117, 271,395,455,"25,700"
Wed 05:24:04 PM,33.4525,-112.7577, 273,398,458,"26,225"
Wed 05:24:25 PM,33.4579,-112.8035, 282,399,459,"26,700"
Wed 05:25:10 PM,33.4882,-112.8992, 293,405,466,"27,750"
Wed 05:25:40 PM,33.5088,-112.9584, 293,405,466,"28,000"
