Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 07:28:27 PM    Departure (PHX) @ Wednesday 04:28:27 PM MST,,,FlightAware ADS-B (KFFZ)
Wed 07:28:27 PM,33.4310,-112.0052, 91,157,181,"1,100"
Wed 07:28:43 PM,33.4308,-111.9913, 91,147,169,"1,975"
Wed 07:28:59 PM,33.4310,-111.9775, 88,159,183,"2,450"
Wed 07:29:15 PM,33.4317,-111.9614, 87,195,224,"2,675"
Wed 07:29:31 PM,33.4323,-111.9448, 88,209,241,"3,125"
Wed 07:29:47 PM,33.4329,-111.9266, 88,214,246,"3,900"
Wed 07:30:13 PM,33.4340,-111.8913, 91,233,268,"5,100"
Wed 07:30:29 PM,33.4295,-111.8718, 119,235,270,"5,875"
Wed 07:30:48 PM,33.4145,-111.8544, 143,239,275,"6,725"
Wed 07:31:06 PM,33.3966,-111.8443, 171,253,291,"7,525"
Wed 07:31:22 PM,33.3788,-111.8480, 205,260,299,"8,150"
Wed 07:31:39 PM,33.3611,-111.8615, 226,257,296,"8,925"
Wed 07:31:58 PM,33.3522,-111.8860, 263,251,289,"9,825"
Wed 07:32:15 PM,33.3529,-111.9091, 275,248,285,"10,650"
Wed 07:32:50 PM,33.3581,-111.9550, 277,264,304,"12,025"
Wed 07:33:20 PM,33.3630,-112.0020, 278,307,353,"12,325"
Wed 07:33:51 PM,33.3703,-112.0563, 280,316,364,"12,825"
Wed 07:34:22 PM,33.3783,-112.1093, 280,317,365,"12,825"
Wed 07:34:52 PM,33.3858,-112.1603, 280,316,364,"12,825"
Wed 07:35:22 PM,33.3935,-112.2127, 280,314,361,"12,825"
Wed 07:35:52 PM,33.4013,-112.2651, 280,315,362,"12,825"
Wed 07:36:22 PM,33.4087,-112.3151, 280,322,371,"13,125"
Wed 07:36:52 PM,33.4163,-112.3673, 280,331,381,"14,200"
Wed 07:37:22 PM,33.4244,-112.4227, 280,340,391,"15,125"
Wed 07:37:52 PM,33.4327,-112.4795, 280,343,395,"16,250"
Wed 07:38:22 PM,33.4406,-112.5338, 280,346,398,"17,250"
Wed 07:38:49 PM,33.4480,-112.5884, 277,349,402,"18,175"
Wed 07:39:08 PM,33.4504,-112.6227, 273,351,404,"18,775"
Wed 07:39:38 PM,33.4514,-112.6816, 271,354,407,"19,675"
Wed 07:40:08 PM,33.4521,-112.7397, 271,361,415,"20,375"
Wed 07:40:29 PM,33.4538,-112.7840, 276,361,415,"21,000"
Wed 07:40:46 PM,33.4588,-112.8131, 286,359,413,"21,475"
