Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 06:42:00 PM    Left Gate (PHX) @ Wednesday 03:42:00 PM MST,,,Airline
,,,
Taxi Time: 11 minutes,,,
Wed 06:53:17 PM    Departure (PHX) @ Wednesday 03:53:17 PM MST,,,FlightAware ADS-B (KPHX)
Wed 06:53:17 PM,33.4310,-112.0006, 90,170,196,"1,025"
Wed 06:53:33 PM,33.4309,-111.9847, 91,168,193,"1,700"
Wed 06:53:49 PM,33.4313,-111.9708, 87,174,200,"2,300"
Wed 06:54:05 PM,33.4321,-111.9534, 87,206,237,"2,825"
Wed 06:54:21 PM,33.4329,-111.9336, 87,224,258,"3,600"
Wed 06:54:44 PM,33.4338,-111.9052, 89,236,272,"4,950"
Wed 06:55:02 PM,33.4326,-111.8813, 107,239,275,"6,125"
Wed 06:55:18 PM,33.4232,-111.8633, 136,243,280,"7,125"
Wed 06:55:34 PM,33.4070,-111.8523, 161,255,293,"8,075"
Wed 06:55:51 PM,33.3872,-111.8483, 183,260,299,"9,025"
Wed 06:56:07 PM,33.3694,-111.8564, 215,257,296,"9,900"
Wed 06:56:26 PM,33.3565,-111.8785, 251,251,289,"11,100"
Wed 06:56:45 PM,33.3537,-111.9021, 273,244,281,"12,200"
Wed 06:57:13 PM,33.3577,-111.9431, 276,265,305,"13,700"
Wed 06:57:43 PM,33.3616,-111.9892, 276,317,365,"14,150"
Wed 06:58:05 PM,33.3662,-112.0305, 280,336,387,"15,000"
Wed 06:58:46 PM,33.3773,-112.1053, 280,347,399,"17,125"
Wed 06:59:16 PM,33.3860,-112.1633, 280,353,406,"18,725"
Wed 06:59:46 PM,33.3948,-112.2228, 280,355,409,"20,375"
Wed 07:00:16 PM,33.4033,-112.2799, 280,363,418,"21,775"
Wed 07:00:46 PM,33.4123,-112.3410, 280,369,425,"23,150"
Wed 07:01:16 PM,33.4209,-112.3996, 280,370,426,"24,475"
Wed 07:01:46 PM,33.4300,-112.4623, 280,376,433,"25,625"
Wed 07:02:16 PM,33.4387,-112.5222, 280,383,441,"26,750"
Wed 07:02:46 PM,33.4475,-112.5832, 279,390,449,"27,675"
Wed 07:03:28 PM,33.4510,-112.6767, 271,400,460,"28,950"
Wed 07:03:58 PM,33.4520,-112.7453, 271,405,466,"29,900"
Wed 07:04:17 PM,33.4549,-112.7890, 279,406,467,"30,450"
