Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 08:40:51 PM    Departure (PHX) @ Wednesday 05:40:51 PM MST,,,FlightAware ADS-B (KCHD)
Wed 08:40:51 PM,33.4311,-111.9989, 90,181,208,"1,250"
Wed 08:41:07 PM,33.4314,-111.9829, 88,172,198,"2,100"
Wed 08:41:23 PM,33.4320,-111.9670, 86,189,217,"2,375"
Wed 08:41:39 PM,33.4328,-111.9504, 87,209,241,"2,550"
Wed 08:41:55 PM,33.4335,-111.9310, 88,224,258,"2,825"
Wed 08:42:15 PM,33.4343,-111.9054, 88,234,269,"3,475"
Wed 08:42:32 PM,33.4335,-111.8832, 107,243,280,"4,075"
Wed 08:42:48 PM,33.4239,-111.8649, 140,254,292,"4,400"
Wed 08:43:06 PM,33.4034,-111.8570, 180,262,302,"5,100"
Wed 08:43:22 PM,33.3852,-111.8647, 214,267,307,"5,625"
Wed 08:43:41 PM,33.3720,-111.8893, 254,275,316,"6,275"
Wed 08:43:57 PM,33.3721,-111.9135, 278,274,315,"7,000"
Wed 08:44:21 PM,33.3762,-111.9494, 277,277,319,"8,000"
Wed 08:44:51 PM,33.3815,-111.9959, 278,280,322,"9,250"
Wed 08:45:36 PM,33.3896,-112.0668, 278,316,364,"10,275"
Wed 08:46:06 PM,33.3963,-112.1234, 278,345,397,"10,600"
Wed 08:46:36 PM,33.4029,-112.1793, 278,350,403,"11,625"
Wed 08:47:06 PM,33.4092,-112.2351, 278,352,405,"12,800"
Wed 08:47:36 PM,33.4160,-112.2948, 278,354,407,"13,950"
Wed 08:48:06 PM,33.4224,-112.3520, 278,355,409,"15,100"
Wed 08:48:36 PM,33.4289,-112.4104, 278,357,411,"16,050"
Wed 08:49:06 PM,33.4356,-112.4698, 278,363,418,"16,950"
Wed 08:49:36 PM,33.4423,-112.5299, 278,365,420,"17,950"
Wed 08:50:03 PM,33.4484,-112.5858, 277,369,425,"18,675"
Wed 08:50:21 PM,33.4503,-112.6216, 271,370,426,"19,275"
Wed 08:50:51 PM,33.4511,-112.6817, 271,372,428,"20,150"
Wed 08:51:21 PM,33.4519,-112.7439, 271,378,435,"20,825"
Wed 08:51:42 PM,33.4535,-112.7884, 277,383,441,"21,275"
Wed 08:52:26 PM,33.4798,-112.8766, 293,384,442,"22,425"
Wed 08:52:56 PM,33.5003,-112.9355, 293,389,448,"23,025"
Wed 08:53:26 PM,33.5211,-112.9952, 293,393,452,"23,675"
Wed 08:53:56 PM,33.5422,-113.0555, 293,395,455,"24,350"
Wed 08:54:26 PM,33.5639,-113.1179, 293,400,460,"24,900"
Wed 08:54:56 PM,33.5842,-113.1764, 293,405,466,"25,350"
