Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 09:52:03 AM    Departure (PHX) @ Wednesday 06:52:03 AM MST,,,FlightAware ADS-B (KPHX)
Wed 09:52:03 AM,33.4311,-112.0058, 89,143,165,"1,225"
Wed 09:52:19 AM,33.4312,-111.9933, 88,135,155,"2,075"
Wed 09:52:35 AM,33.4316,-111.9813, 88,151,174,"2,550"
Wed 09:52:51 AM,33.4321,-111.9664, 88,185,213,"2,800"
Wed 09:53:07 AM,33.4327,-111.9479, 88,206,237,"3,225"
Wed 09:53:23 AM,33.4333,-111.9296, 88,219,252,"3,825"
Wed 09:53:42 AM,33.4341,-111.9051, 88,238,274,"4,500"
Wed 09:53:58 AM,33.4338,-111.8843, 101,246,283,"5,275"
Wed 09:54:16 AM,33.4241,-111.8631, 136,255,293,"6,075"
Wed 09:54:34 AM,33.4055,-111.8476, 158,260,299,"6,900"
Wed 09:54:50 AM,33.3870,-111.8454, 187,257,296,"7,725"
Wed 09:55:07 AM,33.3678,-111.8551, 211,253,291,"8,700"
Wed 09:55:26 AM,33.3548,-111.8725, 250,246,283,"9,550"
Wed 09:55:49 AM,33.3527,-111.9030, 276,244,281,"10,575"
Wed 09:56:19 AM,33.3570,-111.9436, 277,256,295,"11,825"
Wed 09:56:49 AM,33.3617,-111.9904, 277,301,346,"12,100"
Wed 09:57:19 AM,33.3676,-112.0395, 280,301,346,"13,325"
Wed 09:57:50 AM,33.3755,-112.0923, 280,305,351,"14,675"
Wed 09:58:20 AM,33.3830,-112.1424, 280,312,359,"15,750"
Wed 09:58:50 AM,33.3905,-112.1933, 280,308,354,"17,075"
Wed 09:59:20 AM,33.3976,-112.2414, 280,313,360,"18,050"
Wed 09:59:50 AM,33.4051,-112.2924, 280,317,365,"18,975"
Wed 10:00:20 AM,33.4128,-112.3448, 280,323,372,"19,900"
Wed 10:00:50 AM,33.4207,-112.3989, 280,331,381,"20,675"
Wed 10:01:20 AM,33.4287,-112.4537, 280,334,384,"21,600"
Wed 10:01:50 AM,33.4363,-112.5065, 280,331,381,"22,650"
Wed 10:02:20 AM,33.4445,-112.5625, 280,336,387,"23,425"
Wed 10:02:36 AM,33.4480,-112.5909, 277,338,389,"23,875"
Wed 10:02:59 AM,33.4505,-112.6361, 272,340,391,"24,575"
Wed 10:03:29 AM,33.4513,-112.6918, 271,344,396,"25,325"
Wed 10:03:59 AM,33.4520,-112.7501, 271,348,400,"26,050"
Wed 10:04:18 AM,33.4537,-112.7874, 278,347,399,"26,450"
Wed 10:04:34 AM,33.4587,-112.8147, 287,345,397,"26,800"
Wed 10:05:15 AM,33.4833,-112.8873, 293,346,398,"27,825"
Wed 10:05:45 AM,33.5020,-112.9407, 293,349,402,"28,550"
Wed 10:06:15 AM,33.5201,-112.9926, 293,351,404,"29,250"
Wed 10:06:45 AM,33.5394,-113.0481, 293,353,406,"29,975"
Wed 10:07:17 AM,33.5608,-113.1093, 293,369,425,"30,000"
Wed 10:07:48 AM,33.5799,-113.1643, 293,366,421,"30,000"
Wed 10:08:18 AM,33.5997,-113.2215, 293,366,421,"30,000"
Wed 10:08:48 AM,33.6200,-113.2800, 293,366,421,"30,000"
Wed 10:09:18 AM,33.6391,-113.3352, 292,367,422,"30,000"
