Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 10:48:28 AM    Departure (PHX) @ Wednesday 07:48:28 AM MST,,,FlightAware ADS-B (KFFZ)
Wed 10:48:28 AM,33.4311,-111.9965, 89,165,190,"1,250"
Wed 10:48:44 AM,33.4314,-111.9812, 88,167,192,"2,000"
Wed 10:49:00 AM,33.4321,-111.9663, 86,180,207,"2,500"
Wed 10:49:16 AM,33.4326,-111.9489, 90,198,228,"2,950"
Wed 10:49:32 AM,33.4329,-111.9298, 88,221,254,"3,325"
Wed 10:49:52 AM,33.4339,-111.9047, 88,231,266,"4,225"
Wed 10:50:09 AM,33.4337,-111.8828, 97,236,272,"4,975"
Wed 10:50:25 AM,33.4246,-111.8639, 131,245,282,"5,600"
Wed 10:50:43 AM,33.4073,-111.8506, 154,257,296,"6,375"
Wed 10:50:59 AM,33.3878,-111.8470, 184,254,292,"7,150"
Wed 10:51:17 AM,33.3702,-111.8554, 214,250,288,"7,950"
Wed 10:51:33 AM,33.3587,-111.8729, 246,242,278,"8,750"
Wed 10:51:56 AM,33.3549,-111.9037, 266,244,281,"9,775"
Wed 10:52:36 AM,33.3589,-111.9605, 277,271,312,"11,050"
Wed 10:53:06 AM,33.3632,-112.0070, 276,290,334,"12,200"
Wed 10:53:50 AM,33.3727,-112.0729, 280,282,325,"14,675"
Wed 10:54:20 AM,33.3797,-112.1205, 280,285,328,"16,225"
Wed 10:54:50 AM,33.3874,-112.1711, 280,326,375,"16,625"
Wed 10:55:20 AM,33.3954,-112.2252, 280,343,395,"17,650"
Wed 10:55:50 AM,33.4037,-112.2818, 280,345,397,"19,075"
Wed 10:56:28 AM,33.4138,-112.3516, 280,352,405,"20,625"
Wed 10:56:58 AM,33.4225,-112.4108, 280,356,410,"21,850"
Wed 10:57:28 AM,33.4311,-112.4698, 280,359,413,"23,025"
Wed 10:57:58 AM,33.4398,-112.5295, 280,363,418,"24,125"
Wed 10:58:28 AM,33.4479,-112.5863, 279,367,422,"25,150"
Wed 10:58:48 AM,33.4504,-112.6312, 271,373,429,"25,800"
Wed 10:59:18 AM,33.4513,-112.6910, 271,378,435,"26,650"
Wed 10:59:48 AM,33.4521,-112.7560, 271,383,441,"27,475"
Wed 11:00:07 AM,33.4552,-112.7935, 279,382,440,"27,925"
Wed 11:00:28 AM,33.4661,-112.8381, 291,388,447,"28,000"
Wed 11:01:04 AM,33.4917,-112.9115, 293,390,449,"27,975"
Wed 11:01:35 AM,33.5129,-112.9721, 293,390,449,"27,975"
Wed 11:02:06 AM,33.5341,-113.0328, 293,390,449,"27,975"
Wed 11:02:36 AM,33.5550,-113.0926, 293,390,449,"27,975"
Wed 11:03:09 AM,33.5778,-113.1579, 293,391,450,"27,975"
Wed 11:03:39 AM,33.5987,-113.2179, 293,392,451,"27,975"
Wed 11:04:12 AM,33.6216,-113.2842, 293,393,452,"27,975"
Wed 11:04:43 AM,33.6429,-113.3460, 292,394,453,"27,975"
Wed 11:05:13 AM,33.6642,-113.4077, 292,394,453,"27,975"
Wed 11:05:44 AM,33.6854,-113.4691, 293,395,455,"27,975"
Wed 11:06:14 AM,33.7064,-113.5298, 292,396,456,"27,975"
Wed 11:06:44 AM,33.7275,-113.5915, 292,396,456,"27,975"
Wed 11:07:14 AM,33.7485,-113.6530, 292,396,456,"27,975"
