Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 12:06:51 AM    Departure (PHX) @ Wednesday 09:06:51 PM MST,,,FlightAware ADS-B (KPHX)
Thu 12:06:51 AM,33.4311,-112.0191, 270,180,207,"1,575"
Thu 12:07:07 AM,33.4303,-112.0363, 265,178,205,"2,675"
Thu 12:07:23 AM,33.4285,-112.0526, 261,201,231,"3,150"
Thu 12:07:39 AM,33.4248,-112.0711, 254,218,251,"3,800"
Thu 12:07:55 AM,33.4206,-112.0879, 252,225,259,"4,500"
Thu 12:08:17 AM,33.4132,-112.1153, 252,238,274,"5,575"
Thu 12:08:47 AM,33.4021,-112.1559, 252,260,299,"6,875"
Thu 12:09:07 AM,33.3951,-112.1839, 256,260,299,"8,000"
Thu 12:09:24 AM,33.3934,-112.2091, 273,262,302,"9,075"
Thu 12:10:04 AM,33.4012,-112.2661, 280,285,328,"10,750"
Thu 12:10:34 AM,33.4085,-112.3161, 280,325,374,"11,250"
Thu 12:11:04 AM,33.4164,-112.3697, 280,336,387,"12,475"
Thu 12:11:34 AM,33.4245,-112.4254, 280,341,392,"13,825"
Thu 12:12:04 AM,33.4330,-112.4844, 280,349,402,"15,125"
Thu 12:12:34 AM,33.4410,-112.5392, 280,333,383,"17,000"
Thu 12:13:04 AM,33.4485,-112.5906, 279,319,367,"18,800"
Thu 12:13:47 AM,33.4510,-112.6671, 271,323,372,"20,550"
Thu 12:14:17 AM,33.4518,-112.7208, 271,331,381,"21,400"
Thu 12:14:45 AM,33.4526,-112.7743, 273,338,389,"22,225"
Thu 12:15:10 AM,33.4599,-112.8180, 288,341,392,"22,950"
Thu 12:15:51 AM,33.4849,-112.8915, 292,346,398,"24,250"
Thu 12:16:21 AM,33.5032,-112.9441, 293,351,404,"24,975"
Thu 12:16:52 AM,33.5230,-113.0009, 293,351,404,"25,000"
Thu 12:17:23 AM,33.5418,-113.0548, 292,349,402,"25,000"
Thu 12:17:53 AM,33.5612,-113.1103, 293,349,402,"25,000"
Thu 12:18:23 AM,33.5791,-113.1620, 293,352,405,"25,200"
Thu 12:18:53 AM,33.5976,-113.2148, 293,353,406,"26,050"
Thu 12:19:23 AM,33.6169,-113.2704, 292,357,411,"26,825"
Thu 12:19:53 AM,33.6361,-113.3257, 293,360,414,"27,575"
Thu 12:20:23 AM,33.6559,-113.3830, 292,362,417,"28,325"
Thu 12:20:53 AM,33.6743,-113.4370, 292,364,419,"29,000"
Thu 12:21:23 AM,33.6934,-113.4923, 293,366,421,"29,625"
Thu 12:21:53 AM,33.7130,-113.5491, 292,368,423,"30,250"
Thu 12:22:23 AM,33.7325,-113.6059, 292,366,421,"30,950"
Thu 12:22:53 AM,33.7511,-113.6604, 292,369,425,"31,425"
Thu 12:23:23 AM,33.7712,-113.7192, 292,368,423,"32,000"
Thu 12:23:53 AM,33.7907,-113.7765, 292,359,413,"32,000"
Thu 12:24:23 AM,33.8087,-113.8292, 292,352,405,"32,000"
Thu 12:24:53 AM,33.8276,-113.8850, 292,350,403,"32,000"
Thu 12:25:23 AM,33.8462,-113.9397, 292,351,404,"32,000"
Thu 12:25:53 AM,33.8648,-113.9944, 292,351,404,"32,000"
Thu 12:26:23 AM,33.8821,-114.0454, 292,350,403,"32,000"
Thu 12:26:51 AM,33.9001,-114.0990, 290,351,404,"32,000"
Thu 12:27:32 AM,33.9157,-114.1763, 282,351,404,"32,000"
Thu 12:28:03 AM,33.9256,-114.2343, 282,349,402,"32,000"
Thu 12:28:33 AM,33.9353,-114.2909, 281,348,400,"32,000"
Thu 12:29:03 AM,33.9453,-114.3499, 282,347,399,"32,000"
Thu 12:29:33 AM,33.9546,-114.4053, 282,347,399,"32,000"
Thu 12:30:03 AM,33.9640,-114.4616, 281,348,400,"32,000"
Thu 12:30:34 AM,33.9739,-114.5206, 281,351,404,"32,025"
Thu 12:31:04 AM,33.9838,-114.5797, 281,354,407,"32,000"
Thu 12:31:34 AM,33.9932,-114.6359, 281,355,409,"32,000"
Thu 12:32:04 AM,34.0025,-114.6922, 281,357,411,"32,000"
Thu 12:32:34 AM,34.0121,-114.7504, 281,357,411,"32,000"
Thu 12:33:04 AM,34.0223,-114.8118, 281,357,411,"32,000"
Thu 12:33:34 AM,34.0319,-114.8702, 281,358,412,"32,000"
Thu 12:34:04 AM,34.0412,-114.9267, 281,360,414,"32,000"
Thu 12:34:34 AM,34.0507,-114.9851, 281,360,414,"32,000"
Thu 12:35:04 AM,34.0604,-115.0449, 281,358,412,"32,000"
Thu 12:35:34 AM,34.0699,-115.1034, 281,357,411,"32,000"
Thu 12:36:05 AM,34.0800,-115.1651, 281,359,413,"32,000"
Thu 12:36:35 AM,34.0897,-115.2248, 281,360,414,"32,000"
Thu 12:37:05 AM,34.0988,-115.2811, 281,361,415,"32,000"
Thu 12:37:36 AM,34.1085,-115.3421, 281,362,417,"32,000"
Thu 12:38:06 AM,34.1181,-115.4020, 281,362,417,"32,000"
Thu 12:38:36 AM,34.1275,-115.4599, 281,362,417,"32,000"
Thu 12:38:54 AM,34.1333,-115.4962, 282,363,418,"32,000"
Thu 12:39:24 AM,34.1429,-115.5571, 282,362,417,"32,000"
Thu 12:39:54 AM,34.1522,-115.6164, 281,362,417,"32,000"
Thu 12:40:17 AM,34.1593,-115.6627, 278,363,418,"32,000"
Thu 12:40:35 AM,34.1613,-115.6998, 270,370,426,"32,000"
Thu 12:40:55 AM,34.1589,-115.7391, 263,376,433,"32,000"
Thu 12:41:16 AM,34.1547,-115.7835, 264,375,432,"32,000"
Thu 12:41:46 AM,34.1487,-115.8470, 263,377,434,"32,000"
Thu 12:42:17 AM,34.1426,-115.9101, 263,377,434,"32,000"
Thu 12:42:48 AM,34.1361,-115.9758, 264,378,435,"32,000"
Thu 12:43:18 AM,34.1299,-116.0398, 263,380,437,"32,000"
