Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Wed 02:11:17 PM    Departure (PHX) @ Wednesday 11:11:17 AM MST,,,FlightAware ADS-B (KPHX)
Wed 02:11:17 PM,33.4311,-111.9998, 90,169,194,"1,125"
Wed 02:11:33 PM,33.4311,-111.9847, 89,168,193,"1,850"
Wed 02:11:49 PM,33.4316,-111.9697, 88,181,208,"2,375"
Wed 02:12:05 PM,33.4324,-111.9521, 87,200,230,"2,825"
Wed 02:12:21 PM,33.4331,-111.9345, 87,220,253,"3,225"
Wed 02:12:44 PM,33.4341,-111.9050, 88,237,273,"4,225"
Wed 02:13:00 PM,33.4330,-111.8819, 102,248,285,"5,000"
Wed 02:13:19 PM,33.4211,-111.8609, 136,255,293,"5,975"
Wed 02:13:37 PM,33.4033,-111.8485, 160,261,300,"6,850"
Wed 02:13:54 PM,33.3831,-111.8478, 193,262,302,"7,700"
Wed 02:14:10 PM,33.3657,-111.8597, 223,265,305,"8,450"
Wed 02:14:27 PM,33.3546,-111.8817, 247,268,308,"9,100"
Wed 02:14:43 PM,33.3545,-111.9027, 278,255,293,"9,950"
Wed 02:15:05 PM,33.3576,-111.9335, 275,257,296,"11,175"
Wed 02:15:35 PM,33.3609,-111.9792, 276,295,339,"11,825"
Wed 02:15:56 PM,33.3644,-112.0163, 278,318,366,"12,350"
Wed 02:16:26 PM,33.3720,-112.0675, 280,326,375,"13,650"
Wed 02:16:56 PM,33.3801,-112.1218, 280,336,387,"14,875"
Wed 02:17:26 PM,33.3884,-112.1782, 280,339,390,"16,275"
Wed 02:17:56 PM,33.3968,-112.2349, 280,344,396,"17,650"
Wed 02:18:26 PM,33.4051,-112.2910, 280,341,392,"19,125"
Wed 02:18:56 PM,33.4134,-112.3472, 280,345,397,"20,300"
Wed 02:19:26 PM,33.4215,-112.4027, 280,345,397,"21,500"
Wed 02:19:56 PM,33.4296,-112.4585, 280,353,406,"22,400"
Wed 02:20:26 PM,33.4381,-112.5169, 280,355,409,"23,475"
Wed 02:20:56 PM,33.4466,-112.5757, 280,359,413,"24,450"
Wed 02:21:21 PM,33.4505,-112.6257, 273,365,420,"25,100"
Wed 02:21:51 PM,33.4512,-112.6844, 271,372,428,"25,825"
Wed 02:22:21 PM,33.4522,-112.7494, 271,376,433,"26,625"
Wed 02:22:40 PM,33.4551,-112.7877, 279,378,435,"26,975"
Wed 02:23:00 PM,33.4635,-112.8273, 288,380,437,"27,375"
Wed 02:23:40 PM,33.4907,-112.9070, 292,391,450,"27,975"
Wed 02:24:10 PM,33.5117,-112.9674, 293,396,456,"28,000"
Wed 02:24:40 PM,33.5330,-113.0285, 293,397,457,"28,000"
Wed 02:25:10 PM,33.5543,-113.0895, 293,397,457,"28,000"
