Name,Latitude,Longitude,Outbound Course,Distance this Leg,Distance Remaining,Distance Flown,Type
KPHX,33.4342778,-112.0115833,92,n/a,256,0,Origin Airport
PXR,33.4330172,-111.9702019,333,2,257,2,VOR-TAC (NAVAID)
JONHH,33.8047500,-112.1972056,333,29,230,28,Reporting Point
GINKE,33.8790417,-112.2428417,333,6,224,34,Reporting Point
KARLO,34.2911778,-112.4976556,2,32,194,66,Reporting Point
ZADER,34.4522861,-112.4908972,2,11,188,76,Reporting Point
DRK,34.7025522,-112.4803417,360,17,178,92,VOR-TAC (NAVAID)
DRK,34.7025522,-112.4803417,319,0,178,92,VOR-TAC (NAVAID)
DILLY,34.8284889,-112.6131472,319,12,167,102,Reporting Point
,35.1892167,-112.9966806,314,33,136,134,Computer Nav Fix
PGS,35.6247119,-113.5444667,305,43,95,175,VOR-DME (NAVAID)
MILKI,35.7032222,-113.6808639,305,9,86,183,Reporting Point
TENZO,35.9384611,-114.0926306,305,28,60,210,Reporting Point
CROWE,36.0742278,-114.3327278,305,16,46,225,Reporting Point
MEADS,36.1636750,-114.4915611,261,11,37,236,Reporting Point
BAMAA,36.1339667,-114.7315139,261,14,24,242,Reporting Point
LAPIN,36.1300611,-114.7628194,261,2,22,243,Reporting Point
KIDDS,36.1131889,-114.8969778,261,8,14,247,Reporting Point
LAS,36.0797014,-115.1597981,87,15,0,256,VOR-TAC (NAVAID)
KLAS,36.0800439,-115.1522347,n/a,0,0,256,Destination Airport
