Name,Latitude,Longitude,Outbound Course,Distance this Leg,Distance Remaining,Distance Flown,Type
KPHX,33.4342778,-112.0115833,254,n/a,370,0,Origin Airport
WULKO,33.3904444,-112.1970833,280,11,360,11,Waypoint
KEENS,33.4501389,-112.6008611,271,24,336,34,Waypoint
IZZZO,33.4527500,-112.8000556,293,11,324,46,Waypoint
WLVRN,33.7998333,-113.8031667,292,63,265,106,Reporting Point
ESTWD,33.9051389,-114.1135833,282,19,246,125,Waypoint
MCQWN,34.0562222,-115.0189722,281,53,194,178,Waypoint
MDLER,34.1638333,-115.6894444,263,39,157,217,Waypoint
MNROE,34.1347778,-115.9896667,263,17,139,234,Waypoint
HLYWD,34.1042500,-116.2987778,263,18,121,251,Waypoint
BRUEN,34.0731667,-116.5883889,264,17,105,267,Waypoint
AVATR,34.0451944,-116.8880000,261,17,87,284,Waypoint
DAAAY,34.0266667,-117.0310278,262,8,79,292,Waypoint
WADUP,34.0031389,-117.2291111,262,11,68,303,Waypoint
NEILE,33.9936111,-117.3085000,262,5,63,307,Waypoint
SEAVU,33.9724167,-117.4885000,268,10,53,317,Reporting Point
KLAX,33.9424964,-118.4080486,n/a,53,0,370,Destination Airport
