Name,Latitude,Longitude,Outbound Course,Distance this Leg,Distance Remaining,Distance Flown,Type
KPHX,33.4342778,-112.0115833,89,n/a,370,0,Origin Airport
SPRKY,33.4358333,-111.8910556,12,7,377,7,Waypoint
GOALY,33.6515556,-111.8366111,352,15,378,18,Waypoint
JOLAR,33.7334722,-111.8503056,306,6,377,23,Waypoint
ZEPER,34.0275833,-112.3343611,320,34,348,45,Reporting Point
MAYSA,34.5671667,-112.8801389,320,49,319,93,Waypoint
RRSTA,34.7523056,-113.0696111,270,17,310,109,Waypoint
BUGGA,34.7189167,-115.7184444,281,151,163,230,Reporting Point
JOEES,34.7980278,-116.2399722,268,30,137,260,Waypoint
DNUTT,34.7873889,-116.5566667,263,18,121,277,Waypoint
JOHHN,34.7730556,-116.7053889,263,9,113,284,Waypoint
BASAL,34.7577778,-116.8618333,263,9,105,292,Reporting Point
DYVER,34.6960000,-117.4625278,263,34,75,324,Waypoint
CHKNZ,34.6789444,-117.6228611,263,9,68,333,Waypoint
KOPLE,34.6533056,-117.8635833,262,14,58,346,Reporting Point
PMD,34.6313889,-118.0638333,255,11,52,357,VOR-TAC (NAVAID)
JANNY,34.5662500,-118.3562222,255,17,43,372,Reporting Point
PUCCK,34.5491667,-118.4322222,255,4,42,376,Waypoint
EIFEL,34.5360000,-118.4907778,201,3,41,379,Reporting Point
UMBER,34.4803333,-118.5160278,171,4,38,380,Reporting Point
KLAX,33.9424964,-118.4080486,n/a,38,0,370,Destination Airport
