name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"36.0831, 115.1482",2024-03-09T00:00:00,39.6,34.6,11.4,30.9,0,0,,0,0,9.6,7.2,155,1026,64,15,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
"36.0831, 115.1482",2024-03-09T01:00:00,38.9,33.8,11.6,32.04,0,0,,0,0,11,7.2,157,1026,1.2,15,0,0,0,10,Clear,clear-night,remote
"36.0831, 115.1482",2024-03-09T02:00:00,34.8,30.8,16.1,45.94,0,0,,0,0,11.2,4.5,150,1026.2,0,8.7,0,0,0,10,Clear,clear-night,54808099999
"36.0831, 115.1482",2024-03-09T03:00:00,36.6,30.7,11.6,35.12,0,0,,0,0,13.4,7.6,161.9,1025,0,15,0,0,0,10,Clear,clear-night,remote
"36.0831, 115.1482",2024-03-09T04:00:00,35.9,29.8,11.6,36.13,0,0,,0,0,14.3,7.6,164.4,1025,0,15,0,0,0,10,Clear,clear-night,remote
"36.0831, 115.1482",2024-03-09T05:00:00,33.2,28.9,13.7,44.26,0,0,,0,0,8.9,4.5,130,1025.3,0,7.5,0,0,0,10,Clear,clear-night,54808099999
"36.0831, 115.1482",2024-03-09T06:00:00,34.6,28.5,11.7,38.29,0,0,,0,0,12.3,7.2,159.6,1025,0,15,0,0,0,10,Clear,clear-night,remote
"36.0831, 115.1482",2024-03-09T07:00:00,34.4,28,12.1,39.19,0,0,,0,0,13.9,7.6,168.3,1025,0,15,4,0,0,10,Clear,clear-day,remote
"36.0831, 115.1482",2024-03-09T08:00:00,37.1,31.9,17,43.55,0,0,,0,0,11.2,6.7,140,1026,0,11.2,124,0.4,1,10,Clear,clear-day,54808099999
"36.0831, 115.1482",2024-03-09T09:00:00,43.8,38.1,15,30.86,0,0,,0,0,17.2,10.7,177.4,1026,0,15,339,1.2,3,10,Clear,clear-day,remote
"36.0831, 115.1482",2024-03-09T10:00:00,48.5,43.6,16.2,27.32,0,0,,0,0,16.3,11.6,182,1025,0,15,538,1.9,5,10,Clear,clear-day,remote
"36.0831, 115.1482",2024-03-09T11:00:00,50.6,50.6,18.8,28.1,0,0,,0,0,20.1,11.2,170,1026.1,0,12.4,694,2.5,7,10,Clear,clear-day,54808099999
"36.0831, 115.1482",2024-03-09T12:00:00,55.1,55.1,19.3,24.38,0,0,,0,0,15.9,13.2,192.2,1025,0,15,792,2.9,8,10,Clear,clear-day,remote
"36.0831, 115.1482",2024-03-09T13:00:00,57.3,57.3,20.6,23.79,0,0,,0,0,14.8,12.8,192.7,1023,0,15,824,3,8,10,Clear,clear-day,remote
"36.0831, 115.1482",2024-03-09T14:00:00,57.5,57.5,22.7,25.89,0,0,,0,0,22.4,15.7,200,1023.3,0,13,788,2.8,8,10,Clear,clear-day,54808099999
"36.0831, 115.1482",2024-03-09T15:00:00,59.8,59.8,22.5,23.63,0,0,,0,0,15,12.8,196.5,1022,0,15,687,2.5,7,10,Clear,clear-day,remote
"36.0831, 115.1482",2024-03-09T16:00:00,59.8,59.8,23.3,24.36,0,0,,0,0,14.5,12.5,195.1,1021,0,15,529,1.9,5,10,Clear,clear-day,remote
"36.0831, 115.1482",2024-03-09T17:00:00,57.3,57.3,22.7,26.06,0,0,,0,0,24.6,13.4,180,1021.9,0,13,330,1.2,3,10,Clear,clear-day,54808099999
"36.0831, 115.1482",2024-03-09T18:00:00,54.8,54.8,27.2,34.43,0,0,,0,0,16.3,8.5,176.8,1022,0,15,119,0.4,1,10,Clear,clear-day,remote
"36.0831, 115.1482",2024-03-09T19:00:00,51,51,26.3,38.11,0,0,,0,0,21.5,9.4,174.3,1022,0,15,0,0,0,10,Clear,clear-night,remote
"36.0831, 115.1482",2024-03-09T20:00:00,48.8,45.9,25.1,39.19,0,0,,0,0,24.6,6.7,170,1023.1,0,9.3,0,0,0,10,Clear,clear-night,54808099999
"36.0831, 115.1482",2024-03-09T21:00:00,49.2,44.2,26.1,40.44,0,0,,0,0,29.8,12.8,180.1,1023,0.2,15,0,0,0,10,Clear,clear-night,remote
"36.0831, 115.1482",2024-03-09T22:00:00,48.3,43.1,26.3,42.14,0,0,,0,0,30.6,12.5,181.1,1023,0,15,0,0,0,10,Clear,clear-night,remote
"36.0831, 115.1482",2024-03-09T23:00:00,47.6,42.3,26.1,42.97,0,0,,0,0,30.9,12.3,180.7,1023,0,15,0,0,0,10,Clear,clear-night,remote
"36.0831, 115.1482",2024-03-10T00:00:00,46.3,41,26.3,45.4,0,0,,0,0,29.1,11.2,178.2,1023,0,15,0,0,0,10,Clear,clear-night,remote
"36.0831, 115.1482",2024-03-10T01:00:00,44.9,39.7,26.3,47.94,0,0,,0,0,26.4,10.1,172.5,1023,0,15,0,0,0,10,Clear,clear-night,remote
"36.0831, 115.1482",2024-03-10T02:00:00,42.5,37.2,26.3,52.43,0,0,,0,0,24.6,8.9,160,1023.6,0,9.9,0,0,0,10,Clear,clear-night,54808099999
"36.0831, 115.1482",2024-03-10T03:00:00,41.8,36.2,26.5,54.31,0,0,,0,0,25.3,9.2,176.5,1023,0,15,0,0,0,10,Clear,clear-night,remote
"36.0831, 115.1482",2024-03-10T04:00:00,41.3,35.5,26.9,56.28,0,0,,0,0,25.9,9.4,178.2,1023,0,15,0,0,0,10,Clear,clear-night,remote
