name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"33.4291, -111.9991",2024-03-09T00:00:00,57.8,57.8,44.9,61.98,0,0,,0,0,4.7,5.8,110,1016.8,0,9.9,0,0,0,3,Clear,clear-night,"72278903192,KSDL,72278023183,KPHX,F0970,72278303185,KFFZ"
"33.4291, -111.9991",2024-03-09T01:00:00,56.9,56.9,46.1,67.12,0,0,,0,0,4.7,5.8,90,1016.8,0,9.9,0,0,0,10,Clear,clear-night,"72278903192,KSDL,72278023183,KPHX,F0970,72278303185,KFFZ"
"33.4291, -111.9991",2024-03-09T02:00:00,56,56,44,63.91,0,0,,0,0,3.4,4.7,90,1017.1,0,9.9,0,0,0,10,Clear,clear-night,"72278903192,KSDL,72278023183,KPHX,F0970,72278303185,KFFZ"
"33.4291, -111.9991",2024-03-09T03:00:00,55.1,55.1,44,66.03,0,0,,0,0,3.4,8,120,1017,0,9.9,0,0,0,10,Clear,clear-night,"72278903192,KSDL,72278023183,KPHX,F0970,72278303185,KFFZ"
"33.4291, -111.9991",2024-03-09T04:00:00,53.9,53.9,44,69.11,0,0,,0,0,4.7,4.7,110,1016.9,0,9.9,0,0,0,10,Clear,clear-night,"72278903192,KSDL,72278023183,KPHX,F0970,72278303185,KFFZ"
"33.4291, -111.9991",2024-03-09T05:00:00,53,53,43.1,68.98,0,0,,0,0,4.7,3.4,110,1017.1,29.7,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72278903192,KSDL,72278023183,KPHX,F0970,72278303185,KFFZ"
"33.4291, -111.9991",2024-03-09T06:00:00,52.1,52.1,43.1,71.32,0,0,,0,0,4.7,8,90,1017.4,49.9,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72278903192,KSDL,72278023183,KPHX,F0970,72278303185,KFFZ"
"33.4291, -111.9991",2024-03-09T07:00:00,52.1,52.1,43.1,71.33,0,0,,0,0,4.7,3.4,150,1018.1,49.9,9.9,21,0.1,0,10,Partially cloudy,partly-cloudy-day,"72278903192,KSDL,72278023183,KPHX,F0970,72278303185,KFFZ"
"33.4291, -111.9991",2024-03-09T08:00:00,55.1,55.1,42.2,61.61,0,0,,0,0,5.8,9.2,110,1018.9,29.7,9.9,221,0.8,2,10,Partially cloudy,partly-cloudy-day,"72278903192,KSDL,72278023183,KPHX,F0970,72278303185,KFFZ"
"33.4291, -111.9991",2024-03-09T09:00:00,59.1,59.1,43.1,55.31,0,0,,0,0,6.9,12.7,90,1019.3,29.7,9.9,425,1.5,4,3,Partially cloudy,partly-cloudy-day,"72278903192,KSDL,72278023183,KPHX,F0970,72278303185,KFFZ"
"33.4291, -111.9991",2024-03-09T10:00:00,62.9,62.9,42.2,46.7,0,0,,0,0,8.1,6.9,130,1019.5,29.7,9.9,605,2.2,6,10,Partially cloudy,partly-cloudy-day,"72278903192,KSDL,72278023183,KPHX,F0970,72278303185,KFFZ"
"33.4291, -111.9991",2024-03-09T11:00:00,65.9,65.9,42.2,41.97,0,0,,0,0,10.3,10.3,120,1019,29.7,9.9,737,2.7,7,10,Partially cloudy,partly-cloudy-day,"72278903192,KSDL,72278023183,KPHX,F0970,72278303185,KFFZ"
