Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1707145646,2024-02-05T15:07:26Z,NKS1368,"36.08514,-115.153435",0,0,340
1707145658,2024-02-05T15:07:38Z,NKS1368,"36.084938,-115.153328",0,4,354
1707145671,2024-02-05T15:07:51Z,NKS1368,"36.084721,-115.153313",0,3,351
1707145684,2024-02-05T15:08:04Z,NKS1368,"36.084515,-115.153282",0,3,331
1707145701,2024-02-05T15:08:21Z,NKS1368,"36.084309,-115.153152",0,2,295
1707145723,2024-02-05T15:08:43Z,NKS1368,"36.084652,-115.153313",0,1,292
1707145926,2024-02-05T15:12:06Z,NKS1368,"36.084309,-115.153244",0,4,281
1707145932,2024-02-05T15:12:12Z,NKS1368,"36.084232,-115.15345",0,8,250
1707145938,2024-02-05T15:12:18Z,NKS1368,"36.084091,-115.153671",0,9,236
1707145943,2024-02-05T15:12:23Z,NKS1368,"36.083977,-115.153885",0,9,239
1707145948,2024-02-05T15:12:28Z,NKS1368,"36.083885,-115.154121",0,9,241
1707145953,2024-02-05T15:12:33Z,NKS1368,"36.083778,-115.154366",0,9,241
1707145960,2024-02-05T15:12:40Z,NKS1368,"36.083633,-115.154671",0,9,236
1707145966,2024-02-05T15:12:46Z,NKS1368,"36.083397,-115.154877",0,10,210
1707145972,2024-02-05T15:12:52Z,NKS1368,"36.083153,-115.154884",0,10,177
1707145978,2024-02-05T15:12:58Z,NKS1368,"36.08292,-115.154732",0,10,154
1707145983,2024-02-05T15:13:03Z,NKS1368,"36.082695,-115.154617",0,11,154
1707145988,2024-02-05T15:13:08Z,NKS1368,"36.082455,-115.154472",0,12,154
1707145995,2024-02-05T15:13:15Z,NKS1368,"36.082069,-115.154251",0,13,154
1707146002,2024-02-05T15:13:22Z,NKS1368,"36.081665,-115.154015",0,14,154
1707146006,2024-02-05T15:13:26Z,NKS1368,"36.081436,-115.153854",0,15,149
1707146010,2024-02-05T15:13:30Z,NKS1368,"36.081253,-115.15361",0,15,129
1707146013,2024-02-05T15:13:33Z,NKS1368,"36.08115,-115.153381",0,15,115
1707146016,2024-02-05T15:13:36Z,NKS1368,"36.081104,-115.153122",0,16,106
1707146018,2024-02-05T15:13:38Z,NKS1368,"36.081059,-115.152908",0,17,104
1707146021,2024-02-05T15:13:41Z,NKS1368,"36.081009,-115.152611",0,16,101
1707146024,2024-02-05T15:13:44Z,NKS1368,"36.080956,-115.152367",0,13,104
1707146029,2024-02-05T15:13:49Z,NKS1368,"36.080826,-115.15213",0,12,126
1707146033,2024-02-05T15:13:53Z,NKS1368,"36.080605,-115.152031",0,12,163
1707146037,2024-02-05T15:13:57Z,NKS1368,"36.080383,-115.152039",0,12,180
1707146041,2024-02-05T15:14:01Z,NKS1368,"36.080132,-115.152039",0,13,180
1707146045,2024-02-05T15:14:05Z,NKS1368,"36.07988,-115.152023",0,13,180
1707146049,2024-02-05T15:14:09Z,NKS1368,"36.079639,-115.152023",0,13,180
1707146056,2024-02-05T15:14:16Z,NKS1368,"36.0793,-115.152016",0,11,180
1707146061,2024-02-05T15:14:21Z,NKS1368,"36.079044,-115.151985",0,11,171
1707146067,2024-02-05T15:14:27Z,NKS1368,"36.078804,-115.151764",0,13,140
1707146071,2024-02-05T15:14:31Z,NKS1368,"36.078747,-115.151451",0,13,98
1707146075,2024-02-05T15:14:35Z,NKS1368,"36.078766,-115.151108",0,15,90
1707146078,2024-02-05T15:14:38Z,NKS1368,"36.078758,-115.150841",0,16,90
1707146082,2024-02-05T15:14:42Z,NKS1368,"36.078739,-115.150536",0,16,95
1707146086,2024-02-05T15:14:46Z,NKS1368,"36.078716,-115.150101",0,17,95
1707146092,2024-02-05T15:14:52Z,NKS1368,"36.078678,-115.149452",0,20,95
1707146094,2024-02-05T15:14:54Z,NKS1368,"36.078655,-115.149208",0,21,95
