Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1707360497,2024-02-08T02:48:17Z,SWA616,"33.433491,-111.996956",0,0,22
1707361550,2024-02-08T03:05:50Z,SWA616,"33.432922,-111.997307",0,2,56
1707361573,2024-02-08T03:06:13Z,SWA616,"33.432804,-111.997513",0,2,106
1707361590,2024-02-08T03:06:30Z,SWA616,"33.43285,-111.997734",0,2,137
1707361616,2024-02-08T03:06:56Z,SWA616,"33.43306,-111.997894",0,2,191
1707361640,2024-02-08T03:07:20Z,SWA616,"33.433262,-111.997818",0,2,196
1707361819,2024-02-08T03:10:19Z,SWA616,"33.43293,-111.99791",0,8,199
1707361827,2024-02-08T03:10:27Z,SWA616,"33.432632,-111.998032",0,8,194
1707361834,2024-02-08T03:10:34Z,SWA616,"33.432404,-111.998009",0,6,171
1707361844,2024-02-08T03:10:44Z,SWA616,"33.432209,-111.997772",0,6,123
1707361852,2024-02-08T03:10:52Z,SWA616,"33.432163,-111.997559",0,6,104
1707361858,2024-02-08T03:10:58Z,SWA616,"33.432152,-111.997345",0,7,92
1707361863,2024-02-08T03:11:03Z,SWA616,"33.43214,-111.997139",0,7,90
1707361868,2024-02-08T03:11:08Z,SWA616,"33.43214,-111.996933",0,8,90
1707361874,2024-02-08T03:11:14Z,SWA616,"33.43214,-111.996689",0,7,90
1707361882,2024-02-08T03:11:22Z,SWA616,"33.43214,-111.996353",0,7,90
1707361890,2024-02-08T03:11:30Z,SWA616,"33.43214,-111.99604",0,8,90
1707361897,2024-02-08T03:11:37Z,SWA616,"33.43214,-111.99572",0,8,90
1707361903,2024-02-08T03:11:43Z,SWA616,"33.43214,-111.995399",0,9,90
1707361912,2024-02-08T03:11:52Z,SWA616,"33.43214,-111.994934",0,10,90
1707361920,2024-02-08T03:12:00Z,SWA616,"33.43214,-111.994476",0,11,90
1707361927,2024-02-08T03:12:07Z,SWA616,"33.43214,-111.993996",0,12,92
1707361931,2024-02-08T03:12:11Z,SWA616,"33.432072,-111.993767",0,12,112
1707361936,2024-02-08T03:12:16Z,SWA616,"33.431873,-111.993538",0,12,140
1707361942,2024-02-08T03:12:22Z,SWA616,"33.43158,-111.993431",0,12,174
1707361946,2024-02-08T03:12:26Z,SWA616,"33.431362,-111.993446",0,10,185
1707361952,2024-02-08T03:12:32Z,SWA616,"33.431133,-111.993561",0,8,210
1707361961,2024-02-08T03:12:41Z,SWA616,"33.431046,-111.993896",0,10,261
1707361964,2024-02-08T03:12:44Z,SWA616,"33.431034,-111.994125",0,14,267
