Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 04:52:00 PM    Left Gate (PHX) @ Thursday 02:52:00 PM MST,,,Airline
,,,
Taxi Time: 22 minutes,,,
Thu 05:14:35 PM    Departure (PHX) @ Thursday 03:14:35 PM MST,,,FlightAware ADS-B (KDVT)
Thu 05:14:35 PM,33.4310,-112.0214, 269,154,177,"1,575"
Thu 05:14:51 PM,33.4306,-112.0353, 268,157,181,"2,225"
Thu 05:15:07 PM,33.4303,-112.0507, 270,166,191,"2,725"
Thu 05:15:23 PM,33.4305,-112.0654, 272,187,215,"3,125"
Thu 05:15:39 PM,33.4311,-112.0845, 272,211,243,"3,500"
Thu 05:16:07 PM,33.4326,-112.1176, 273,229,264,"4,875"
Thu 05:16:37 PM,33.4346,-112.1560, 275,227,261,"6,900"
Thu 05:16:55 PM,33.4403,-112.1766, 302,238,274,"7,850"
Thu 05:17:11 PM,33.4537,-112.1922, 329,250,288,"8,725"
Thu 05:17:28 PM,33.4725,-112.1978, 358,260,299,"9,725"
Thu 05:17:44 PM,33.4909,-112.1982, 0,267,307,"10,500"
Thu 05:18:15 PM,33.5309,-112.1969, 0,276,318,"12,200"
Thu 05:18:34 PM,33.5560,-112.1982, 358,296,341,"12,775"
Thu 05:19:04 PM,33.5996,-112.2020, 356,332,382,"13,550"
Thu 05:19:28 PM,33.6383,-112.2083, 347,336,387,"14,750"
Thu 05:19:58 PM,33.6838,-112.2232, 345,349,402,"16,000"
Thu 05:20:28 PM,33.7311,-112.2384, 345,350,403,"17,650"
Thu 05:20:58 PM,33.7771,-112.2532, 345,362,417,"18,725"
Thu 05:21:15 PM,33.8030,-112.2660, 331,363,418,"19,425"
Thu 05:21:55 PM,33.8615,-112.3124, 326,370,426,"21,175"
Thu 05:22:25 PM,33.9033,-112.3457, 326,381,438,"22,225"
Thu 05:22:55 PM,33.9496,-112.3825, 326,390,449,"23,200"
Thu 05:23:25 PM,33.9916,-112.4162, 327,398,458,"24,100"
Thu 05:23:55 PM,34.0382,-112.4531, 326,371,427,"26,250"
Thu 05:24:25 PM,34.0816,-112.4880, 326,363,418,"27,750"
Thu 05:24:55 PM,34.1236,-112.5219, 326,382,440,"28,000"
Thu 05:25:25 PM,34.1698,-112.5589, 326,407,468,"28,000"
Thu 05:25:58 PM,34.2249,-112.6033, 326,433,498,"28,000"
Thu 05:26:28 PM,34.2725,-112.6415, 326,445,512,"28,150"
Thu 05:26:58 PM,34.3262,-112.6848, 326,431,496,"29,475"
Thu 05:27:28 PM,34.3735,-112.7230, 326,432,497,"29,975"
Thu 05:27:58 PM,34.4242,-112.7640, 326,437,503,"30,000"
Thu 05:28:29 PM,34.4772,-112.8070, 326,441,507,"30,000"
Thu 05:28:59 PM,34.5278,-112.8480, 326,438,504,"30,000"
Thu 05:29:22 PM,34.5660,-112.8792, 324,433,498,"30,000"
Thu 05:30:02 PM,34.6291,-112.9430, 320,428,493,"30,000"
Thu 05:30:32 PM,34.6743,-112.9891, 320,424,488,"30,000"
Thu 05:31:02 PM,34.7193,-113.0354, 320,422,486,"29,975"
Thu 05:31:32 PM,34.7636,-113.0808, 319,422,486,"29,950"
