Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 05:37:00 PM    Left Gate (PHX) @ Thursday 03:37:00 PM MST,,,Airline
,,,
Taxi Time: 9 minutes,,,
Thu 05:46:25 PM    Departure (PHX) @ Thursday 03:46:25 PM MST,,,FlightAware ADS-B (KPHX)
Thu 05:46:25 PM,33.4308,-112.0330, 269,174,200,"1,950"
Thu 05:46:41 PM,33.4309,-112.0488, 271,182,209,"2,550"
Thu 05:46:57 PM,33.4314,-112.0679, 272,208,239,"2,825"
Thu 05:47:13 PM,33.4320,-112.0857, 273,221,254,"3,375"
Thu 05:47:39 PM,33.4333,-112.1177, 272,207,238,"5,100"
Thu 05:48:03 PM,33.4342,-112.1438, 271,203,234,"6,425"
Thu 05:48:21 PM,33.4352,-112.1657, 281,212,244,"7,325"
Thu 05:48:37 PM,33.4425,-112.1823, 309,222,255,"8,100"
Thu 05:48:53 PM,33.4558,-112.1938, 334,233,268,"8,825"
Thu 05:49:11 PM,33.4751,-112.1970, 2,251,289,"9,625"
Thu 05:49:37 PM,33.5063,-112.1963, 0,268,308,"10,750"
Thu 05:49:53 PM,33.5272,-112.1962, 359,273,314,"11,500"
Thu 05:50:26 PM,33.5704,-112.1998, 356,309,356,"12,450"
Thu 05:50:56 PM,33.6176,-112.2044, 353,352,405,"12,900"
Thu 05:51:40 PM,33.6902,-112.2256, 345,390,449,"13,975"
Thu 05:52:10 PM,33.7439,-112.2429, 345,402,463,"15,150"
Thu 05:52:40 PM,33.7984,-112.2604, 345,408,470,"16,450"
Thu 05:53:10 PM,33.8531,-112.2781, 345,412,474,"17,725"
Thu 05:53:40 PM,33.9090,-112.2959, 345,417,480,"18,925"
Thu 05:54:10 PM,33.9650,-112.3140, 345,426,490,"19,925"
Thu 05:54:28 PM,33.9990,-112.3258, 340,430,495,"20,525"
Thu 05:54:47 PM,34.0351,-112.3464, 330,432,497,"21,100"
Thu 05:55:05 PM,34.0645,-112.3718, 320,437,503,"21,600"
Thu 05:55:35 PM,34.1106,-112.4182, 320,442,509,"22,525"
Thu 05:56:06 PM,34.1608,-112.4687, 320,446,513,"23,375"
Thu 05:56:36 PM,34.2078,-112.5161, 320,447,514,"24,250"
Thu 05:57:06 PM,34.2560,-112.5647, 320,450,518,"25,100"
Thu 05:57:36 PM,34.3049,-112.6137, 320,450,518,"26,075"
Thu 05:58:06 PM,34.3505,-112.6594, 320,445,512,"27,100"
Thu 05:58:36 PM,34.3978,-112.7073, 320,420,483,"27,575"
Thu 05:59:06 PM,34.4411,-112.7511, 320,403,464,"27,900"
Thu 05:59:37 PM,34.4844,-112.7953, 320,400,460,"28,000"
Thu 06:00:07 PM,34.5294,-112.8413, 320,398,458,"28,000"
Thu 06:00:37 PM,34.5694,-112.8824, 320,397,457,"28,000"
Thu 06:01:07 PM,34.6110,-112.9250, 320,395,455,"28,000"
Thu 06:01:37 PM,34.6532,-112.9680, 320,395,455,"28,000"
Thu 06:02:07 PM,34.6954,-113.0113, 320,395,455,"28,000"
Thu 06:02:37 PM,34.7370,-113.0540, 320,395,455,"28,000"
Thu 06:03:17 PM,34.7886,-113.1158, 314,394,453,"28,000"
Thu 06:03:49 PM,34.8302,-113.1682, 314,393,452,"28,000"
Thu 06:04:21 PM,34.8695,-113.2180, 314,392,451,"28,000"
Thu 06:04:52 PM,34.9092,-113.2682, 314,391,450,"28,000"
Thu 06:05:22 PM,34.9460,-113.3154, 312,391,450,"28,000"
Thu 06:05:39 PM,34.9670,-113.3421, 318,386,444,"27,975"
Thu 06:06:10 PM,35.0127,-113.3807, 327,361,415,"27,975"
Thu 06:06:41 PM,35.0535,-113.4132, 327,355,409,"28,000"
Thu 06:06:59 PM,35.0784,-113.4314, 335,354,407,"28,000"
Thu 06:07:16 PM,35.1053,-113.4415, 347,356,410,"28,000"
Thu 06:07:46 PM,35.1537,-113.4553, 347,356,410,"28,000"
Thu 06:08:07 PM,35.1866,-113.4643, 350,356,410,"28,000"
Thu 06:08:25 PM,35.2161,-113.4653, 6,359,413,"28,000"
Thu 06:08:41 PM,35.2449,-113.4607, 8,360,414,"28,000"
Thu 06:09:11 PM,35.2942,-113.4527, 8,361,415,"28,000"
Thu 06:09:29 PM,35.3229,-113.4483, 5,362,417,"28,000"
Thu 06:09:45 PM,35.3493,-113.4527, 338,358,412,"28,000"
Thu 06:10:01 PM,35.3723,-113.4705, 321,363,418,"28,000"
Thu 06:10:17 PM,35.3913,-113.4932, 311,372,428,"28,000"
Thu 06:11:01 PM,35.4358,-113.5706, 304,385,443,"27,375"
Thu 06:11:31 PM,35.4655,-113.6239, 304,386,444,"26,425"
Thu 06:12:01 PM,35.4960,-113.6787, 304,382,440,"25,375"
Thu 06:12:31 PM,35.5253,-113.7314, 304,378,435,"24,325"
Thu 06:13:01 PM,35.5550,-113.7847, 304,373,429,"23,300"
Thu 06:13:31 PM,35.5845,-113.8376, 304,368,423,"22,275"
Thu 06:14:01 PM,35.6121,-113.8872, 304,363,418,"21,350"
Thu 06:14:31 PM,35.6420,-113.9414, 304,360,414,"20,325"
Thu 06:15:01 PM,35.6681,-113.9890, 304,356,410,"19,425"
Thu 06:15:31 PM,35.6960,-114.0395, 304,353,406,"18,450"
Thu 06:16:01 PM,35.7243,-114.0908, 304,345,397,"17,675"
Thu 06:16:31 PM,35.7502,-114.1380, 304,321,369,"17,400"
Thu 06:16:52 PM,35.7651,-114.1678, 298,312,359,"17,050"
Thu 06:17:22 PM,35.7859,-114.2148, 298,309,356,"16,325"
Thu 06:17:52 PM,35.8068,-114.2624, 299,304,350,"15,600"
Thu 06:18:22 PM,35.8260,-114.3057, 298,301,346,"14,850"
Thu 06:18:40 PM,35.8395,-114.3344, 308,296,341,"14,375"
Thu 06:18:57 PM,35.8572,-114.3514, 335,291,335,"14,075"
Thu 06:19:27 PM,35.8952,-114.3686, 340,292,336,"13,575"
Thu 06:19:57 PM,35.9333,-114.3854, 340,290,334,"13,100"
Thu 06:20:27 PM,35.9697,-114.4016, 340,286,329,"12,600"
Thu 06:20:46 PM,35.9947,-114.4133, 334,285,328,"12,275"
Thu 06:21:04 PM,36.0110,-114.4326, 300,288,331,"11,850"
Thu 06:21:37 PM,36.0217,-114.4869, 283,292,336,"10,900"
Thu 06:22:07 PM,36.0318,-114.5342, 286,290,334,"10,150"
