Flight Number,Date,Taxi Takeoff,Average Delay Takeoff,Gate Departure Actual,Gate Departure Estimated,Takeoff Actual,Takeoff Estimated,Taxi Landing,Average Delay Landing,Landing Actual,Landing Estimated,Gate Arrival Actual,Gate Arrival Estimated
SWA2388,WEDNESDAY 27-MAR-2024,Taxi Time: 14 minutes,Average Delay: 10-20 minutes,01:59PM MST,Scheduled 02:00PM MST,02:13PM MST,Scheduled 02:10PM MST,Taxi Time: 14 minutes,Average Delay: 10-20 minutes,03:00PM PDT,Scheduled 02:57PM PDT,03:12PM PDT,Scheduled 03:10PM PDT
FFT1895,WEDNESDAY 27-MAR-2024,Taxi Time: 27 minutes,Average Delay: Less than 10 minutes,01:10PM MST,Scheduled 01:13PM MST,01:37PM MST,Scheduled 01:23PM MST,Taxi Time: 27 minutes,Average Delay: Less than 10 minutes,02:25PM PDT,Scheduled 02:10PM PDT,02:31PM PDT,Scheduled 02:28PM PDT
SWA1051,WEDNESDAY 27-MAR-2024,Taxi Time: 13 minutes,Average Delay: Less than 10 minutes,12:45PM MST,Scheduled 12:45PM MST,12:58PM MST,Scheduled 12:55PM MST,Taxi Time: 13 minutes,Average Delay: Less than 10 minutes,01:44PM PDT,Scheduled 01:43PM PDT,01:50PM PDT,Scheduled 01:55PM PDT
NKS2043,WEDNESDAY 27-MAR-2024,Taxi Time: 14 minutes,Average Delay: Less than 10 minutes,11:12AM MST,Scheduled 11:20AM MST,11:26AM MST,Scheduled 11:30AM MST,Taxi Time: 14 minutes,Average Delay: Less than 10 minutes,12:12PM PDT,Scheduled 12:18PM PDT,12:17PM PDT,Scheduled 12:34PM PDT
SWA1979,WEDNESDAY 27-MAR-2024,Taxi Time: 17 minutes,Average Delay: 10-20 minutes,10:53AM MST,Scheduled 10:40AM MST,11:10AM MST,Scheduled 10:50AM MST,Taxi Time: 17 minutes,Average Delay: 10-20 minutes,11:55AM PDT,Scheduled 11:38AM PDT,12:02PM PDT,Scheduled 11:55AM PDT
AAL2109,WEDNESDAY 27-MAR-2024,Taxi Time: 20 minutes,Average Delay: 20-40 minutes,11:51AM MST,Scheduled 10:32AM MST,12:11PM MST,Scheduled 10:42AM MST,Taxi Time: 20 minutes,Average Delay: 20-40 minutes,01:00PM PDT,Scheduled 11:31AM PDT,01:06PM PDT,Scheduled 11:54AM PDT
SNC1367,,,,,,,,,,,,,
SWA3084,WEDNESDAY 27-MAR-2024,Taxi Time: 22 minutes,Average Delay: Less than 10 minutes,09:06AM MST,Scheduled 09:10AM MST,09:28AM MST,Scheduled 09:20AM MST,Taxi Time: 22 minutes,Average Delay: Less than 10 minutes,10:16AM PDT,Scheduled 10:06AM PDT,10:22AM PDT,Scheduled 10:25AM PDT
SWA953,WEDNESDAY 27-MAR-2024,Taxi Time: 20 minutes,Average Delay: Less than 10 minutes,07:35AM MST,Scheduled 07:40AM MST,07:55AM MST,Scheduled 07:50AM MST,Taxi Time: 20 minutes,Average Delay: Less than 10 minutes,08:40AM PDT,Scheduled 08:37AM PDT,08:46AM PDT,Scheduled 08:50AM PDT
AAL1611,WEDNESDAY 27-MAR-2024,Taxi Time: 16 minutes,Average Delay: Less than 10 minutes,07:19AM MST,Scheduled 07:25AM MST,07:35AM MST,Scheduled 07:35AM MST,Taxi Time: 16 minutes,Average Delay: Less than 10 minutes,08:22AM PDT,Scheduled 08:22AM PDT,08:30AM PDT,Scheduled 08:41AM PDT
SWA2684,WEDNESDAY 27-MAR-2024,Taxi Time: 13 minutes,Average Delay: Less than 10 minutes,06:29AM MST,Scheduled 06:30AM MST,06:42AM MST,Scheduled 06:40AM MST,Taxi Time: 13 minutes,Average Delay: Less than 10 minutes,07:28AM PDT,Scheduled 07:27AM PDT,07:36AM PDT,Scheduled 07:40AM PDT
FFT2517,TUESDAY 26-MAR-2024,Taxi Time: 22 minutes,Average Delay: More than 1 hour,09:44PM MST,Scheduled 08:45PM MST,10:06PM MST,Scheduled 08:55PM MST,Taxi Time: 22 minutes,Average Delay: More than 1 hour,10:53PM PDT,Scheduled 09:47PM PDT,11:10PM PDT,Scheduled 10:01PM PDT
SWA2596,TUESDAY 26-MAR-2024,Taxi Time: 13 minutes,Average Delay: 10-20 minutes,08:47PM MST,Scheduled 08:40PM MST,09:00PM MST,Scheduled 08:50PM MST,Taxi Time: 13 minutes,Average Delay: 10-20 minutes,10:00PM PDT,Scheduled 09:43PM PDT,10:08PM PDT,Scheduled 09:50PM PDT
AAL2106,TUESDAY 26-MAR-2024,Taxi Time: 15 minutes,Average Delay: Less than 10 minutes,08:22PM MST,Scheduled 08:24PM MST,08:37PM MST,Scheduled 08:34PM MST,Taxi Time: 15 minutes,Average Delay: Less than 10 minutes,09:29PM PDT,Scheduled 09:18PM PDT,09:35PM PDT,Scheduled 09:38PM PDT
SWA2871,TUESDAY 26-MAR-2024,Taxi Time: 17 minutes,Average Delay: 20-40 minutes,07:34PM MST,Scheduled 07:30PM MST,07:51PM MST,Scheduled 07:40PM MST,Taxi Time: 17 minutes,Average Delay: 20-40 minutes,08:49PM PDT,Scheduled 08:27PM PDT,08:56PM PDT,Scheduled 08:40PM PDT
SWA3975,TUESDAY 26-MAR-2024,Taxi Time: 11 minutes,Average Delay: 20-40 minutes,05:46PM MST,Scheduled 05:50PM MST,05:57PM MST,Scheduled 06:00PM MST,Taxi Time: 11 minutes,Average Delay: 20-40 minutes,06:47PM PDT,Scheduled 06:46PM PDT,06:52PM PDT,Scheduled 07:00PM PDT
FFT2133,TUESDAY 26-MAR-2024,Taxi Time: 29 minutes,Average Delay: 40 minutes - 1 hour,05:03PM MST,Scheduled 05:07PM MST,05:32PM MST,Scheduled 05:17PM MST,Taxi Time: 29 minutes,Average Delay: 40 minutes - 1 hour,06:23PM PDT,Scheduled 06:04PM PDT,06:30PM PDT,Scheduled 06:21PM PDT
AAL1977,TUESDAY 26-MAR-2024,Taxi Time: 36 minutes,Average Delay: Less than 10 minutes,05:02PM MST,Scheduled 05:05PM MST,05:38PM MST,Scheduled 05:15PM MST,Taxi Time: 36 minutes,Average Delay: Less than 10 minutes,06:30PM PDT,Scheduled 06:05PM PDT,06:36PM PDT,Scheduled 06:17PM PDT
SWA3001,TUESDAY 26-MAR-2024,Taxi Time: 22 minutes,Average Delay: 40 minutes - 1 hour,04:37PM MST,Scheduled 04:40PM MST,04:59PM MST,Scheduled 04:50PM MST,Taxi Time: 22 minutes,Average Delay: 40 minutes - 1 hour,05:48PM PDT,Scheduled 05:39PM PDT,05:54PM PDT,Scheduled 05:45PM PDT
SWA745,TUESDAY 26-MAR-2024,Taxi Time: 9 minutes,Average Delay: Less than 10 minutes,03:28PM MST,Scheduled 03:35PM MST,03:37PM MST,Scheduled 03:45PM MST,Taxi Time: 9 minutes,Average Delay: Less than 10 minutes,04:25PM PDT,Scheduled 04:28PM PDT,04:31PM PDT,Scheduled 04:45PM PDT
RGY923,,,,,,,,,,,,,
AAL1541,TUESDAY 26-MAR-2024,Taxi Time: 16 minutes,Average Delay: 20-40 minutes,01:54PM MST,Scheduled 02:00PM MST,02:10PM MST,Scheduled 02:10PM MST,Taxi Time: 16 minutes,Average Delay: 20-40 minutes,03:00PM PDT,Scheduled 02:56PM PDT,03:09PM PDT,Scheduled 03:11PM PDT
SWA2388,TUESDAY 26-MAR-2024,Taxi Time: 7 minutes,Average Delay: 10-20 minutes,01:59PM MST,Scheduled 02:00PM MST,02:06PM MST,Scheduled 02:10PM MST,Taxi Time: 7 minutes,Average Delay: 10-20 minutes,02:52PM PDT,Scheduled 02:59PM PDT,03:04PM PDT,Scheduled 03:10PM PDT
