,message_flight.centre,message_flight.source,message_flight.system,message_flight.timestamp,message_flight_arrival.arrivalPoint,message_flight_arrival_runwayPositionAndTime_runwayTime_estimated.time,message_flight_arrival_runwayPositionAndTime_runwayTime_estimated,message_flight_controllingUnit.unitIdentifier,message_flight_controllingUnit.sectorIdentifier,message_flight_controllingUnit,message_flight_departure.departurePoint,message_flight_departure_runwayPositionAndTime_runwayTime_actual.time,message_flight_departure_runwayPositionAndTime_runwayTime_actual,message_flight_enRoute_position.targetPositionTime,message_flight_enRoute_position.positionTime,message_flight_enRoute_position.reportSource,message_flight_enRoute_position_actualSpeed_surveillance.uom,message_flight_enRoute_position_actualSpeed_surveillance,message_flight_enRoute_position_altitude.uom,message_flight_enRoute_position_altitude,message_flight_enRoute_position_position_location.srsName,message_flight_enRoute_position_position_location_pos,message_flight_enRoute_position_targetAltitude.uom,message_flight_enRoute_position_targetAltitude,message_flight_enRoute_position_targetPosition.srsName,message_flight_enRoute_position_targetPosition_pos,message_flight_enRoute_position_trackVelocity_x.uom,message_flight_enRoute_position_trackVelocity_x,message_flight_enRoute_position_trackVelocity_y.uom,message_flight_enRoute_position_trackVelocity_y,message_flight_flightIdentification.computerId,message_flight_flightIdentification.siteSpecificPlanId,message_flight_flightIdentification.aircraftIdentification,message_flight_flightIdentification,message_flight_flightStatus.fdpsFlightStatus,message_flight_flightStatus,message_flight_gufi.codeSpace,message_flight_gufi,message_flight_operator_operatingOrganization_organization.name,message_flight_operator_operatingOrganization_organization,message_flight_supplementalData_additionalFlightInformation_nameValue.name,message_flight_supplementalData_additionalFlightInformation_nameValue.value,message_flight_supplementalData_additionalFlightInformation_nameValue,message_flight_supplementalData_additionalFlightInformation_nameValue[1].name,message_flight_supplementalData_additionalFlightInformation_nameValue[1].value,message_flight_supplementalData_additionalFlightInformation_nameValue[1],message_flight_supplementalData_additionalFlightInformation_nameValue[2].name,message_flight_supplementalData_additionalFlightInformation_nameValue[2].value,message_flight_supplementalData_additionalFlightInformation_nameValue[2],message_flight_supplementalData_additionalFlightInformation_nameValue[3].name,message_flight_supplementalData_additionalFlightInformation_nameValue[3].value,message_flight_supplementalData_additionalFlightInformation_nameValue[3],message_flight_supplementalData_additionalFlightInformation_nameValue[4].name,message_flight_supplementalData_additionalFlightInformation_nameValue[4].value,message_flight_supplementalData_additionalFlightInformation_nameValue[4],message_flight_supplementalData_additionalFlightInformation_nameValue[5].name,message_flight_supplementalData_additionalFlightInformation_nameValue[5].value,message_flight_supplementalData_additionalFlightInformation_nameValue[5],message_flight_assignedAltitude_simple.uom,message_flight_assignedAltitude_simple,message_flight_flightPlan.identifier,message_flight_flightPlan,message_flight_enRoute_boundaryCrossings_handoff_receivingUnit.unitIdentifier,message_flight_enRoute_boundaryCrossings_handoff_receivingUnit.sectorIdentifier,message_flight_enRoute_boundaryCrossings_handoff_receivingUnit,message_flight_departure,message_flight_supplementalData_additionalFlightInformation_nameValue[6].name,message_flight_supplementalData_additionalFlightInformation_nameValue[6].value,message_flight_supplementalData_additionalFlightInformation_nameValue[6],message_flight_supplementalData_additionalFlightInformation_nameValue[7].name,message_flight_supplementalData_additionalFlightInformation_nameValue[7].value,message_flight_supplementalData_additionalFlightInformation_nameValue[7],message_flight_supplementalData_additionalFlightInformation_nameValue[8].name,message_flight_supplementalData_additionalFlightInformation_nameValue[8].value,message_flight_supplementalData_additionalFlightInformation_nameValue[8],message_flight_supplementalData_additionalFlightInformation_nameValue[9].name,message_flight_supplementalData_additionalFlightInformation_nameValue[9].value,message_flight_supplementalData_additionalFlightInformation_nameValue[9],message_flight_arrival
0,ZMP,TH,SLC,2024-01-08T23:38:16.988Z,KORD,2024-01-09T01:28:00Z,NaN,ZMP,20,NaN,KSEA,2024-01-08T22:02:00Z,NaN,2024-01-08T23:38:12Z,2024-01-08T23:38:11Z,SURVEILLANCE,KNOTS,472.0,FEET,35000.0,urn:ogc:def:crs:EPSG::4326,45.520833 -103.891667,FEET,35000.0,urn:ogc:def:crs:EPSG::4326,45.520556 -103.890278,KNOTS,455.0,KNOTS,-123.0,288,314,AAL2398,NaN,ACTIVE,NaN,urn:uuid,816dcfcc-0299-4555-a1aa-1dd240ebe274,AAL,NaN,MSG_SEQ_NO,27033941,NaN,FDPS_GUFI,us.fdps.2024-01-08T20:19:46Z.000/18/201,NaN,FLIGHT_PLAN_SEQ_NO,6,NaN,SOURCE_TIME_AND_SEQ,2338165013,NaN,SOURCE_TIME,23_38_16,NaN,ADSB_02M_52B,-AC741C,NaN,FEET,35000.0,KS73186201,NaN,,,,,,,,,,,,,,,,,
1,ZMP,TH,SLC,2024-01-08T23:38:16.988Z,PANC,2024-01-09T05:19:00Z,NaN,ZMP,30,NaN,KMEM,2024-01-08T22:32:00Z,NaN,2024-01-08T23:38:08Z,2024-01-08T23:38:08Z,SURVEILLANCE,KNOTS,504.0,FEET,36000.0,urn:ogc:def:crs:EPSG::4326,42.743056 -94.451111,FEET,36000.0,urn:ogc:def:crs:EPSG::4326,42.743889 -94.451944,KNOTS,-333.0,KNOTS,377.0,017,198,FDX9051,NaN,ACTIVE,NaN,urn:uuid,b9361ad4-2eb1-4f54-a29c-8a81f38083f1,FDX,NaN,MSG_SEQ_NO,27033943,NaN,FDPS_GUFI,us.fdps.2024-01-08T19:16:26Z.000/12/200,NaN,FLIGHT_PLAN_SEQ_NO,9,NaN,SOURCE_TIME_AND_SEQ,2338165013,NaN,SOURCE_TIME,23_38_16,NaN,ADSB_02M_52B,-A75A10,NaN,FEET,36000.0,KM69386200,NaN,ZMP,19,NaN,,,,,,,,,,,,,,
2,ZMP,TH,SLC,2024-01-08T23:38:16.988Z,KMSP,2024-01-08T23:22:00Z,NaN,MMM,1I,NaN,MMUN,,,2024-01-08T23:38:14Z,2024-01-08T23:38:14Z,SURVEILLANCE,KNOTS,348.0,FEET,10500.0,urn:ogc:def:crs:EPSG::4326,44.555278 -93.2075,FEET,10400.0,urn:ogc:def:crs:EPSG::4326,44.555278 -93.207222,KNOTS,3.0,KNOTS,337.0,390,217,SCX574,NaN,ACTIVE,NaN,urn:uuid,f9430ed0-204b-4a60-be50-b805a5acd988,SCX,NaN,MSG_SEQ_NO,27033946,NaN,FDPS_GUFI,us.fdps.2024-01-08T18:26:18Z.000/07/201,NaN,FLIGHT_PLAN_SEQ_NO,14,NaN,SOURCE_TIME_AND_SEQ,2338165013,NaN,SOURCE_TIME,23_38_16,NaN,ADSB_POS_174A,44.555278/-93.207222,NaN,FEET,32000.0,KH66378201,NaN,,,,NaN,ADSB_ALT_175A,10400.0,NaN,ADSB_VEL_176A,+3/+337,NaN,ADSB_TIME_177A,2024-01-08T23:38:14Z,NaN,ADSB_02M_52B,-AB04F3,NaN,
3,ZMP,TH,SLC,2024-01-08T23:38:16.988Z,KLGA,2024-01-09T02:06:00Z,NaN,ZMP,39,NaN,KDEN,2024-01-08T22:58:00Z,NaN,2024-01-08T23:38:12Z,2024-01-08T23:38:11Z,SURVEILLANCE,KNOTS,474.0,FEET,31000.0,urn:ogc:def:crs:EPSG::4326,40.804444 -98.714444,FEET,31000.0,urn:ogc:def:crs:EPSG::4326,40.804722 -98.712778,KNOTS,465.0,KNOTS,91.0,488,336,UAL2375,NaN,ACTIVE,NaN,urn:uuid,a09f8e23-b49d-42e6-aa09-6eb71d569fd6,UAL,NaN,MSG_SEQ_NO,27033945,NaN,FDPS_GUFI,us.fdps.2024-01-08T17:02:39Z.000/03/200,NaN,FLIGHT_PLAN_SEQ_NO,3,NaN,SOURCE_TIME_AND_SEQ,2338165013,NaN,SOURCE_TIME,23_38_16,NaN,ADSB_02M_52B,-A553CE,NaN,FEET,31000.0,KD61359200,NaN,,,,,,,,,,,,,,,,,
4,ZMP,TH,SLC,2024-01-08T23:38:16.988Z,KTVF,2024-01-08T23:48:00Z,NaN,ZMP,24,NaN,KMSP,2024-01-08T22:48:00Z,NaN,2024-01-08T23:38:11Z,2024-01-08T23:38:11Z,SURVEILLANCE,KNOTS,274.0,FEET,9200.0,urn:ogc:def:crs:EPSG::4326,47.650556 -95.648611,FEET,9100.0,urn:ogc:def:crs:EPSG::4326,47.650556 -95.648611,KNOTS,-174.0,KNOTS,216.0,900,462,BMJ1323,NaN,ACTIVE,NaN,urn:uuid,1975c20d-7266-4eea-9703-6a5a602c9a4d,BMJ,NaN,MSG_SEQ_NO,27033950,NaN,FDPS_GUFI,us.fdps.2024-01-08T22:00:01Z.000/15/203,NaN,FLIGHT_PLAN_SEQ_NO,6,NaN,SOURCE_TIME_AND_SEQ,2338165013,NaN,SOURCE_TIME,23_38_16,NaN,ADSB_POS_174A,47.650556/-95.648611,NaN,FEET,8000.0,KP79201203,NaN,,,,,ADSB_ALT_175A,9100.0,NaN,ADSB_VEL_176A,-174/+216,NaN,ADSB_TIME_177A,2024-01-08T23:38:11Z,NaN,ADSB_02M_52B,-A34DBF,NaN,
5,ZMP,TH,SLC,2024-01-08T23:38:16.988Z,KJFK,2024-01-09T01:20:00Z,NaN,ZMP,05,NaN,KSEA,2024-01-08T20:51:00Z,NaN,2024-01-08T23:38:11Z,2024-01-08T23:38:11Z,SURVEILLANCE,KNOTS,451.0,FEET,35000.0,urn:ogc:def:crs:EPSG::4326,44.255 -91.301667,FEET,35000.0,urn:ogc:def:crs:EPSG::4326,44.254722 -91.301111,KNOTS,383.0,KNOTS,-237.0,459,29,JBU1264,NaN,ACTIVE,NaN,urn:uuid,40012d66-ed26-43c2-9fe1-3cb4dc466113,JBU,NaN,MSG_SEQ_NO,27033949,NaN,FDPS_GUFI,us.fdps.2024-01-08T17:17:26Z.000/18/200,NaN,FLIGHT_PLAN_SEQ_NO,7,NaN,SOURCE_TIME_AND_SEQ,2338165013,NaN,SOURCE_TIME,23_38_16,NaN,ADSB_02M_52B,-AD1560,NaN,FEET,35000.0,KS62246200,NaN,,,,,,,,,,,,,,,,,
6,ZMP,TH,SLC,2024-01-08T23:38:16.988Z,KSEA,2024-01-09T03:16:00Z,NaN,ZMP,05,NaN,KEWR,2024-01-08T21:28:00Z,NaN,2024-01-08T23:38:13Z,2024-01-08T23:38:12Z,SURVEILLANCE,KNOTS,409.0,FEET,32000.0,urn:ogc:def:crs:EPSG::4326,43.459722 -90.492778,FEET,32000.0,urn:ogc:def:crs:EPSG::4326,43.459722 -90.492778,KNOTS,-367.0,KNOTS,185.0,008,164,ASA281,NaN,ACTIVE,NaN,urn:uuid,2f141d10-f62e-43f2-beff-ed709306bd87,ASA,NaN,MSG_SEQ_NO,27033955,NaN,FDPS_GUFI,us.fdps.2024-01-08T20:07:13Z.000/13/200,NaN,FLIGHT_PLAN_SEQ_NO,8,NaN,SOURCE_TIME_AND_SEQ,2338165013,NaN,SOURCE_TIME,23_38_16,NaN,ADSB_POS_174A,43.459722/-90.492778,NaN,FEET,32000.0,KN72433200,NaN,,,,,ADSB_ALT_175A,32000.0,NaN,ADSB_VEL_176A,-367/+185,NaN,ADSB_TIME_177A,2024-01-08T23:38:12Z,NaN,ADSB_02M_52B,-A54AAE,NaN,
7,ZMP,TH,SLC,2024-01-08T23:38:16.988Z,KDVL,2024-01-09T00:26:00Z,NaN,ZMP,24,NaN,KBJI,2024-01-08T23:25:00Z,NaN,2024-01-08T23:38:11Z,2024-01-08T23:38:11Z,SURVEILLANCE,KNOTS,172.0,FEET,6000.0,urn:ogc:def:crs:EPSG::4326,47.626389 -95.64,FEET,6000.0,urn:ogc:def:crs:EPSG::4326,47.626389 -95.64,KNOTS,-168.0,KNOTS,42.0,779,63,BMJ83,NaN,ACTIVE,NaN,urn:uuid,f41fd049-581f-4773-a610-6b4dd04ce175,BMJ,NaN,MSG_SEQ_NO,27033957,NaN,FDPS_GUFI,us.fdps.2024-01-08T23:03:23Z.000/15/200,NaN,FLIGHT_PLAN_SEQ_NO,2,NaN,SOURCE_TIME_AND_SEQ,2338165013,NaN,SOURCE_TIME,23_38_16,NaN,ADSB_POS_174A,47.626389/-95.64,NaN,FEET,6000.0,KP83003200,NaN,,,,,ADSB_ALT_175A,6000.0,NaN,ADSB_VEL_176A,-168/+42,NaN,ADSB_TIME_177A,2024-01-08T23:38:11Z,NaN,ADSB_02M_52B,-A6FEA3,NaN,
8,ZMP,TH,SLC,2024-01-08T23:38:16.988Z,KCVG,2024-01-09T01:21:00Z,NaN,ZMP,42,NaN,KDEN,2024-01-08T23:02:00Z,NaN,2024-01-08T23:38:09Z,2024-01-08T23:38:09Z,SURVEILLANCE,KNOTS,460.0,FEET,39000.0,urn:ogc:def:crs:EPSG::4326,40.131111 -99.38,FEET,39000.0,urn:ogc:def:crs:EPSG::4326,40.131111 -99.38,KNOTS,461.0,KNOTS,19.0,858,250,FFT9205,NaN,ACTIVE,NaN,urn:uuid,bc5e90b1-8a48-418e-ab9c-3919c55414dc,FFT,NaN,MSG_SEQ_NO,27033959,NaN,FDPS_GUFI,us.fdps.2024-01-08T21:00:51Z.000/03/201,NaN,FLIGHT_PLAN_SEQ_NO,5,NaN,SOURCE_TIME_AND_SEQ,2338165013,NaN,SOURCE_TIME,23_38_16,NaN,ADSB_POS_174A,40.131111/-99.38,NaN,FEET,39000.0,KD75651201,NaN,,,,,ADSB_ALT_175A,39000.0,NaN,ADSB_VEL_176A,+461/+19,NaN,ADSB_TIME_177A,2024-01-08T23:38:09Z,NaN,ADSB_02M_52B,-A7DA5F,NaN,
9,ZMP,TH,SLC,2024-01-08T23:38:16.988Z,KCMX,2024-01-08T23:43:00Z,NaN,ZMP,04,NaN,KORD,2024-01-08T22:53:00Z,NaN,2024-01-08T23:38:12Z,2024-01-08T23:38:12Z,SURVEILLANCE,KNOTS,284.0,FEET,6600.0,urn:ogc:def:crs:EPSG::4326,46.791944 -88.208056,FEET,6600.0,urn:ogc:def:crs:EPSG::4326,46.791944 -88.208056,KNOTS,3.0,KNOTS,284.0,777,61,SKW5023,NaN,ACTIVE,NaN,urn:uuid,e71f595d-1981-4e38-bbed-eef160c981b0,SKW,NaN,MSG_SEQ_NO,27033963,NaN,FDPS_GUFI,us.fdps.2024-01-08T21:06:39Z.000/06/200,NaN,FLIGHT_PLAN_SEQ_NO,8,NaN,SOURCE_TIME_AND_SEQ,2338165013,NaN,SOURCE_TIME,23_38_16,NaN,ADSB_02M_52B,-ACED8F,NaN,FEET,100.0,KG75999200,NaN,,,,,,,,,,,,,,,,,
